,現地平均気圧 (hPa),海面平均気圧 (hPa),降水量合計 (mm),最大日降水量 (mm),最大1時間降水量 (mm),最大10分間降水量 (mm),日平均気温,日最高気温,日最低気温,最高気温,最低気温,平均湿度 (%),最小湿度 (%),平均風速 (m/s),最大風速 (m/s),最大風速の風向,最大瞬間風速 (m/s),最大瞬間風速風向,日照時間 (h),全天日射量 (MJ/M**2),降雪合計 (cm),降雪の日合計の最大 (cm),最深積雪,雲量,雪日数,霧日数,雷日数
1,1016.5,1017.1,126.5,84.5,17.0,10.0,6.4,10.2,2.7,16.1,-0.6,64.0,22.0,3.5,13.4,北西,21.9,北西,156.8,,,,,,4 ),0 ),
2,1018.3,1018.9,34.0,9.0,4.5,1.0,6.3,11.0,2.0,17.3,-5.5,64.0,24.0,3.5,14.4,北北西,27.1,西北西,181.0,,,,,,5.0,0.0,
3,1013.6,1014.2,127.5,36.5,7.0,2.0,8.7,13.2,4.1,19.1,-0.4,68.0,20.0,4.0,16.6,北西,26.0,西北西,197.9,,,,,,3.0,1.0,
4,1012.6,1013.2,176.5,74.5,14.5,4.0,10.8,15.0,6.4,20.9,1.5,68.0,25.0,4.1,15.4,南南東,29.3,北北東,218.7,,,,,,0.0,0.0,
5,1011.1,1011.7,139.5,47.5,12.5,3.0,17.2,21.2,13.8,27.7,7.0,80.0,21.0,3.3,9.7,北北西,18.5,北西,194.8,,,,,,0.0,1.0,
6,1007.5,1008.1,186.0,35.0,32.0,13.5,20.7,24.1,18.1,32.6,16.5,86.0,40.0,2.7,10.9,南南東,23.2,西北西,158.1,,,,,,0.0,8.0,
7,1008.9,1009.5,255.5,47.5,35.5,13.5,21.1,24.0,19.3,29.9,16.8,93.0,55.0,2.4,9.0,北北東,13.5,北北東,33.5,,,,,,0.0,6.0,
8,1011.0,1011.6,47.0,28.5,18.5,10.5,26.1,29.6,23.5,32.8,19.9,85.0,54.0,2.6,8.1,南,12.4,南,279.3,,,,,,0.0,1.0,
9,1012.4,1013.0,163.5,54.0,23.5,10.0,23.2,26.6,20.8,31.9,14.3,85.0,44.0,3.1,10.2,北北東,18.4,北北東,127.2,,,,,,0.0,0.0,
10,1017.1,1017.7,93.5,32.0,5.5,1.5,16.5,20.2,13.2,24.7,7.6,77.0,30.0,2.7,9.8,北北西,16.3,西北西,119.3,,,,,,0.0,0.0,
11,1019.7,1020.3,19.5,9.0,2.5,1.0,12.3,16.9,7.4,22.7,2.1,70.0,25.0,3.2,14.8,北北西,22.6,北西,185.7,,,,,,0.0,1.0,
12,1016.2,1016.8,15.5,4.5,2.0,1.0,5.8,10.5,1.6,15.5,-2.6,67.0,28.0,3.2,13.4,北西,20.4,北北西,179.3,,,,,,2.0,0.0,
