,現地平均気圧 (hPa),海面平均気圧 (hPa),降水量合計 (mm),最大1時間降水量 (mm),最大10分間降水量 (mm),平均気温,最高気温,最低気温,日平均湿度 (%),最小湿度 (%),平均風速 (m/s),最大風速 (m/s),最大風速の風向,最大瞬間風速 (m/s),最大瞬間風速風向,日照時間 (h),降雪合計 (cm),最深積雪,天気概況昼,天気概況夜
1,1018.0,1025.2,,,,5.0,9.6,1.0,67.0,51.0,1.4,4.6,北北西,8.6,北北西,2.5,,,,
2,1016.8,1023.9,0.0,0.0,0.0,6.4,12.0,1.9,70.0,47.0,1.4,3.2,西南西,6.2,西,5.2,,,,
3,1012.7,1019.7,,,,7.2,12.8,2.0,69.0,46.0,1.2,2.7,西,5.9,西,4.0,,,,
4,1010.0,1017.0,0.0,0.0,0.0,7.6,12.1,4.8,75.0,52.0,1.4,4.2,西北西,11.5,西,2.9,,,,
5,1018.2,1025.3,0.0,0.0,0.0,5.6,9.9,1.6,59.0,38.0,2.7,6.1,北北西,11.5,北,6.2,,,,
6,1020.0,1027.2,,,,5.6,12.2,-0.1,62.0,34.0,1.5,3.7,北北西,7.1,北北西,6.8,,,,
7,1016.2,1023.4,10.0,3.0,1.0,4.9,6.5,1.5,88.0,64.0,1.1,2.3,北北西,3.9,北,0.0,,,,
8,999.5,1006.3,12.0,8.0,2.0,10.8,17.6,6.4,80.0,49.0,2.4,6.0,西南西,16.3,西,4.8,,,,
9,1007.1,1014.0,0.0,0.0,0.0,9.7,13.9,5.1,65.0,45.0,3.0,7.1,北北西,13.8,西北西,7.3,,,,
10,1010.1,1017.1,0.0,0.0,0.0,7.7,12.6,3.1,67.0,44.0,2.2,4.7,北北西,10.1,北北西,8.8,,,,
11,1009.3,1016.4,,,,5.2,11.4,0.1,77.0,49.0,1.2,3.0,東,5.2,東,7.2,,,,
12,1004.8,1011.8,0.0,0.0,0.0,6.0,10.3,3.0,85.0,64.0,1.1,2.5,北北東,4.2,北北東,0.1,,,,
13,1008.1,1015.1,,,,7.5,12.8,3.0,62.0,41.0,3.0,6.9,西,14.0,西,7.4,,,,
14,1014.5,1021.6,2.5,1.0,0.5,5.8,11.6,0.0,72.0,40.0,1.4,3.1,西南西,5.8,南西,5.1,,,,
15,1012.7,1019.8,0.5,1.0,0.5,6.1,11.1,1.8,76.0,52.0,2.1,6.3,北北西,12.3,北北西,6.4,,,,
16,1015.6,1022.8,,,,4.2,9.7,0.0,74.0,46.0,1.1,2.9,北北東,4.3,北,2.4,,,,
17,1011.2,1018.3,1.5,1.0,0.5,5.2,8.7,1.1,84.0,66.0,1.2,2.1,南南西,4.7,南西,0.0,,,,
18,1005.2,1012.2,0.5,1.0,0.5,6.8,11.1,2.9,69.0,40.0,2.5,5.8,北北西,12.2,北西,7.9,,,,
19,1008.9,1016.0,,,,7.0,11.9,1.9,61.0,37.0,1.6,3.4,南西,6.8,北北西,6.5,,,,
20,1009.7,1016.7,0.0,0.0,0.0,7.4,12.5,1.7,68.0,44.0,1.4,3.0,西,7.3,西,3.8,,,,
21,1017.3,1024.4,0.0,0.0,0.0,5.8,9.1,-0.2,65.0,52.0,2.3,6.0,西,12.5,北北西,1.4,,,,
22,1021.3,1028.5,0.0,0.0,0.0,4.6,9.7,-2.2,71.0,40.0,1.0,2.2,北,3.8,北北東,3.1,,,,
23,1014.1 ),1021.2 ),11.5 ),3.5 ),1.0 ),8.3 ),12.1,5.9,95 ),75.0,1.4 ),3.4,北西,7.3,西北西,0.0 ],,,,
24,1017.0,1024.0,,,,10.6,14.0,7.2,70.0,48.0,2.2,5.4,北,10.0,北西,1.7,,,,
25,1019.9,1027.0,0.0,0.0,0.0,7.5,12.2,3.7,56.0,33.0,1.5,3.9,北,7.8,北北西,2.7,,,,
26,1017.5,1024.6,0.5,0.5,0.5,7.4,11.7,5.1,84.0,62.0,0.9,2.3,南西,3.9,南南西,0.6,,,,
27,1013.3,1020.3,4.0,2.0,1.0,7.0,9.7,4.9,78.0,54.0,1.7,7.5,東南東,15.0,南東,0.0,,,,
28,1003.1,1010.0,4.0,2.5,1.0,10.3,13.5,6.6,92.0,75.0,2.1,3.5,西南西,7.7,南西,0.0,,,,
29,999.6,1006.5,2.0,1.5,0.5,11.0,16.5,5.4,79.0,53.0,2.0,5.3,北北西,9.8,北北西,6.0,,,,
30,998.5,1005.4,0.0,0.0,0.0,8.0,13.4,3.5,70.0,50.0,2.2,5.0,北北西,9.4,北,7.7,,,,
31,1003.9,1010.9,1.0,0.5,0.5,5.0,9.4,1.9,77.0,48.0,2.6,4.8,北北西,11.5,北,4.3,,,,
