,降水量合計 (mm),最大1時間降水量 (mm),最大10分間降水量 (mm),平均気温,最高気温,最低気温,平均風速 (m/s),最大風速 (m/s),最大風向,最大瞬間風速 (m/s),最大瞬間風速風向,最多風向,日照時間 (h),降雪合計 (cm),最深積雪 (cm)
1,0.0,0.0,0.0,4.9,9.2,1.5,1.5,3.8,北北西,8.1,西北西,北北西,3.4,,
2,0.0,0.0,0.0,6.8,11.9,3.2,1.9,3.8,西北西,6.5,北,西,2.4,,
3,0.0,0.0,0.0,7.1,12.3,3.1,1.5,3.2,北北東,5.7,北,北,4.7,,
4,1.0,1.0,0.5,7.9,12.5,5.0,2.6,5.6,西北西,11.4,北西,西北西,2.6,,
5,0.0,0.0,0.0,5.3,8.5,2.0,3.3,6.0,北,12.3,北,北西,5.4,,
6,0.0,0.0,0.0,5.6,11.0,0.4,1.9,5.1,北西,8.6,北西,西北西,6.4,,
7,10.0,2.5,1.0,5.1,6.7,2.5,1.9,3.7,北,5.9,北,北,0.0,,
8,13.5,8.5,2.5,10.5,17.7,6.7,3.6,7.2,西,15.1,西,西,3.3,,
9,0.5,0.5,0.5,9.8,13.6,7.3,3.7,8.1,北西,15.1,西北西,北西,6.5,,
10,0.0,0.0,0.0,8.5,13.2,4.2,3.2,5.9,西北西,10.6,北西,西北西,8.7,,
11,0.0,0.0,0.0,5.7,11.1,1.1,1.4,3.3,北,5.4,北北東,西,7.3,,
12,0.0,0.0,0.0,5.8,8.9,3.6,1.3,2.8,北,4.2,北,北,0.0,,
13,0.0,0.0,0.0,8.1,12.6,4.0,1.9,4.9,西北西,8.2,西北西,北北東,7.1,,
14,2.0,1.5,0.5,6.3,10.7,1.6,1.6,3.5,北北東,5.3,北,北,4.7,,
15,0.5,1.5,0.5,6.7,11.2,3.0,2.5,5.8,北北西,13.3,北北西,西北西,7.2,,
16,0.0,0.0,0.0,4.3,9.0,0.8,1.4,3.2,西,5.0,西,西北西,1.1,,
17,0.0,0.0,0.0,5.7,8.5,1.8,1.8,3.3,北,5.2,北北東,北,0.0,,
18,0.5,0.5,0.5,7.3,12.3,4.1,2.9,5.8,北西,12.2,西北西,北西,7.5,,
19,0.0,0.0,0.0,7.8,11.8,2.8,1.8,3.6,北西,6.0,北西,北西,5.7,,
20,0.0,0.0,0.0,8.3,14.1,4.0,2.2,4.9,西北西,8.5,西,北西,4.4,,
21,0.0,0.0,0.0,6.5,10.6,2.0,3.1,6.3,北,11.3,北,北西,4.1,,
22,0.0,0.0,0.0,5.5,9.9,-0.2,1.4,2.9,北,5.1,北,北,3.0,,
23,15.0,3.0,1.0,8.3,10.4,6.5,2.1,4.1,北,7.0,北,北,0.0,,
24,0.0,0.0,0.0,10.4,14.0,7.2,2.8,6.3,西北西,11.2,北北西,北西,1.8,,
25,0.0,0.0,0.0,7.4,11.7,4.0,1.8,4.6,西北西,7.6,西北西,西北西,2.6,,
26,0.5,0.5,0.5,8.4,12.1,5.9,1.2,3.0,南南西,4.6,南南西,北,1.7,,
27,1.5,1.0,0.5,7.5,10.3,5.4,1.8,3.6,東南東,9.9,南南東,北,0.2,,
28,5.0,3.0,1.5,9.6,14.0,5.8,1.7,3.0,西南西,5.5,西南西,北,0.5,,
29,1.5,1.0,0.5,11.4,15.9,8.1,3.1,7.5,北西,13.5,北西,西北西,7.6,,
30,0.0,0.0,0.0,8.4,13.0,5.8,3.5,6.6,西北西,13.8,北,西北西,5.9,,
31,0.0,0.0,0.0,6.3,10.6,4.0,4.9,8.6,北西,16.1,北西,北西,7.4,,
