,降水量合計 (mm),最大1時間降水量 (mm),最大10分間降水量 (mm),平均気温,最高気温,最低気温,平均風速 (m/s),最大風速 (m/s),最大風向,最大瞬間風速 (m/s),最大瞬間風速風向,最多風向,日照時間 (h),降雪合計 (cm),最深積雪 (cm)
1,2.5,0.5,0.5,-7.2,-4.5,-9.7,5.0,7.5,西南西,14.1,南西,西南西,0.1,,
2,1.0,0.5,0.5,-4.9,-2.5,-6.4,4.3,7.4,西北西,14.0,西,西南西,0.1,,
3,4.5,2.5,1.0,-6.1,-2.4,-13.9,3.1,6.5,西北西,11.2,西北西,西南西,0.0,,
4,2.0,1.0,0.5,-10.9,-4.9,-16.9,0.8,5.4,北北西,8.9,北西,南東,1.0,,
5,0.0,0.0,0.0,-12.4,-3.8,-21.0,0.7,4.5,西北西,7.5,北西,南東,1.9,,
6,0.0,0.0,0.0,-3.3,-0.8,-15.1,3.0,5.7,北北西,9.9,北,西北西,0.3,,
7,0.0,0.0,0.0,-1.9,-0.1,-4.1,1.1,5.2,北西,8.3,北西,西北西,0.0,,
8,0.0,0.0,0.0,-5.5,-1.9,-10.8,1.9,4.5,東北東,10.1,東,南,3.5,,
9,0.0,0.0,0.0,-10.2,-1.5,-17.0,0.7,3.5,北北東,6.0,北東,北西,4.7,,
10,0.0,0.0,0.0,-9.8,-3.9,-19.2,0.3,1.2,南東,1.8,南東,東南東,0.0,,
11,0.5,0.5,0.5,-2.1,1.2,-5.3,0.9,4.5,南南西,6.5,南南西,南,1.5,,
12,2.5,1.5,0.5,-2.7,-0.2,-5.3,0.9 ),4.0 ),西北西 ),5.6 ),西北西 ),北西 ),0.1,,
13,2.5,1.5,0.5,-5.5,-1.8,-9.7,1.0 ],3.4 ],南西 ],5.7 ],西北西 ],西 ],2.4,,
14,1.0,1.0,0.5,-8.0,-3.6,-16.3,1.0,5.6,南,8.9,南南西,北西,3.9,,
15,0.0,0.0,0.0,-11.3,-5.1,-19.0,0.3,1.3,南南西,2.7,南西,東北東,1.1,,
16,0.0,0.0,0.0,-7.7,-3.5,-15.0,0.8 ],3.3 ],西 ],5.8 ],西 ],南東 ],1.0,,
17,1.0,0.5,0.5,-4.5,-2.1,-8.2,1.6,5.4,西北西,9.4,西北西,西,2.2,,
18,0.0,0.0,0.0,-8.8,-1.3,-17.6,0.6,2.7,東南東,4.1,北北西,北,6.9,,
19,0.0,0.0,0.0,-9.8,-2.4,-19.5,0.5,2.6,南,3.9,南,東南東,5.7,,
20,1.0,0.5,0.5,-4.5,-1.5,-9.3,0.5 ),5.0 ),西北西 ),8.6 ),西北西 ),北北西,0.4,,
21,0.5,0.5,0.5,-7.7,-2.9,-14.3,1.6,5.2,北西,8.7,西北西,西北西,4.1,,
22,7.5,2.5,1.0,-1.2,1.6,-11.9,2.8,6.3,西南西,12.3,西,西南西,2.3,,
23,0.0,0.0,0.0,-5.3,0.3,-9.9,0.7,2.8,西南西,5.7,南西,南東,6.6,,
24,5.0,2.0,1.0,-6.2,-1.6,-9.5,4.0,9.3,西北西,16.5,西北西,西北西,0.0,,
25,0.0,0.0,0.0,-9.7,-7.8,-15.4,4.3,8.4,西北西,14.8,北西,西北西,0.4,,
26,0.0,0.0,0.0,-8.5,-3.0,-16.1,2.3,6.1,西,10.8,西,西,4.0,,
27,0.0,0.0,0.0,-6.7,-1.8,-19.0,2.0,4.8,北西,7.6,西北西,西北西,6.3,,
28,0.0,0.0,0.0,-13.3,-1.7,-22.4,0.3,1.2,南,2.1,東南東,東南東,8.2,,
29,0.0,0.0,0.0,-5.9,-0.6,-16.2,1.6,4.6,東,7.7,東北東,東北東,0.0,,
30,4.5,1.0,0.5,-1.0,0.2,-2.4,4.3,9.2,北北東,19.8,北北東,北北東,0.0,,
31,2.5,0.5,0.5,-3.1,-1.7,-4.0,4.3,7.3,北東,14.6,北東,北北東,0.0,,
