,降水量合計 (mm),最大1時間降水量 (mm),最大10分間降水量 (mm),平均気温,最高気温,最低気温,平均風速 (m/s),最大風速 (m/s),最大風向,最大瞬間風速 (m/s),最大瞬間風速風向,最多風向,日照時間 (h),降雪合計 (cm),最深積雪 (cm)
1,7.0,1.5,0.5,-7.9,-6.7,-9.6,2.8,4.9,南,9.7,南西,南,0.0,17.0,42.0
2,4.5,1.0,0.5,-6.2,-5.1,-6.8,2.6,4.2,南南東,7.9,南西,南,0.0,8.0,47.0
3,1.5,0.5,0.5,-5.6,-3.5,-9.5,2.8,6.8,北西,10.8,西,西,0.0,3.0,48.0
4,0.0,0.0,0.0,-9.7,-5.5,-14.6,1.5,3.2,南南東,4.9,南南東,東南東,1.3,1.0,45.0
5,0.5,0.5,0.5,-8.7,-4.1,-13.2,1.5,3.5,東南東,5.0,東南東,南東,0.5,4.0,40.0
6,0.0,0.0,0.0,-5.1,-2.4,-10.6,2.1,7.0,北西,9.7,北北西,北北西,0.2,1.0,39.0
7,0.0,0.0,0.0,-7.0,-1.7,-18.4,0.5,1.8,北西,3.5,西,西南西,2.4,0.0,37.0
8,0.0,0.0,0.0,-13.3,-8.5,-17.8,0.3,1.8,北北西,2.7,北北西,北北西,0.0,0.0,34.0
9,0.0,0.0,0.0,-11.7,-3.2,-20.7,0.9,4.8,北西,6.1,北西,北北西,4.2,0.0,33.0
10,0.0,0.0,0.0,-15.1,-7.0,-23.9,0.6,2.2,北北西,3.1,北北西,南東,6.6,0.0,32.0
11,1.0,1.0,0.5,-5.2,-1.9,-10.2,1.3,3.0,東南東,4.4,南南西,南東,0.1,4.0,36.0
12,0.0,0.0,0.0,-2.8,0.3,-7.0,1.8,4.6,西北西,6.3,西北西,南東,2.1,0.0,35.0
13,0.0,0.0,0.0,-5.8,-2.2,-9.8,1.8,3.5,南,5.4,南,南東,0.9,1.0,34.0
14,0.0,0.0,0.0,-6.1,-2.7,-9.7,1.3,3.4,南南西,5.4,南,南東,1.1,3.0,36.0
15,0.0,0.0,0.0,-9.3,-6.1,-16.1,0.7,2.4,北西,3.1,北,北西,5.5,0.0,35.0
16,0.0,0.0,0.0,-6.1,-3.7,-8.4,1.8,3.7,南南西,6.0,南,南東,1.9,4.0,38.0
17,0.0,0.0,0.0,-5.8,-2.3,-9.7,2.0,4.0,南,7.5,西,南南東,2.8,3.0,40.0
18,0.0,0.0,0.0,-10.1,-3.1,-19.7,0.9,2.2,南南西,3.3,南西,南東,7.9,0.0,37.0
19,0.0,0.0,0.0,-14.9,-9.6,-21.3,0.4,2.0,西北西,3.0,西,南東,3.6,0.0,35.0
20,1.0,0.5,0.5,-9.6,-5.4,-17.0,0.3 ],1.5 ],北西 ],2.3 ],北北西 ],北北西 ],0.0,4.0,38.0
21,0.0,0.0,0.0,-8.1,-3.7,-13.9,1.2 ],2.2 ],南東 ],3.4 ],南東 ],南東 ],2.5,1.0,39.0
22,2.0,1.0,0.5,-2.9,-0.3,-8.2,3.3,5.1,南南東,9.2,南南東,南南東,1.2,13.0,46.0
23,0.0,0.5,0.0,-4.5,1.4,-14.9,1.2,3.1,東南東,4.8,西北西,東南東,3.8,2.0,48.0
24,3.0,1.0,0.5,-6.9,-3.1,-9.9,2.3,8.2,西,13.5,西,南南東,1.5,8.0,51.0
25,0.0,0.0,0.0,-10.3,-5.9,-16.8,1.9,6.6,北西,8.7,北西,北北西,0.9,0.0,51.0
26,0.5,0.5,0.5,-10.7,-6.0,-22.0,2.1,4.5,南南東,7.5,南東,南南東,5.7,4.0,49.0
27,0.0,0.0,0.0,-9.5,-1.2,-21.8,1.0,2.9,東南東,4.2,南南東,南東,4.1,0.0,49.0
28,0.0,0.0,0.0,-17.8,-11.7,-25.2,0.3,1.4,南東,3.3,南西,西北西,6.8,0.0,45.0
29,0.0,0.0,0.0,-11.3,-5.8,-20.5,0.5,1.4,北北西,2.2,東,北北西,0.0,1.0,44.0
30,0.0,0.0,0.0,-2.7,0.4,-7.2,4.7,8.7,北北西,12.3,北北西,北北西,0.0,0.0,43.0
31,0.0,0.0,0.0,-2.8,-0.5,-4.6,7.0,9.5,北西,13.6,北北西,北北西,0.0,2.0,35.0
