,降水量合計 (mm),最大1時間降水量 (mm),最大10分間降水量 (mm),平均気温,最高気温,最低気温,平均風速 (m/s),最大風速 (m/s),最大風向,最大瞬間風速 (m/s),最大瞬間風速風向,最多風向,日照時間 (h),降雪合計 (cm),最深積雪 (cm)
1,1.0,1.0,0.5,-8.1,-6.6,-9.8,2.2,4.2,西南西,11.0,西,南西,0.0,,
2,1.5,0.5,0.5,-6.5,-5.6,-7.2,1.7,3.4,南西,8.0,南南西,南南西,0.0,,
3,0.5,0.5,0.5,-6.1,-3.0,-10.6,2.0,5.9,北西,11.2,南西,南西,0.0,,
4,0.0,0.0,0.0,-10.1,-5.6,-16.1,1.3,2.8,南南東,6.1,南西,南南西,0.6,,
5,2.0,0.5,0.5,-9.4,-4.9,-13.9,1.2,3.3,南南東,4.2,南東,南南西,1.4,,
6,0.0,0.0,0.0,-5.0,-2.4,-12.1,1.8,4.7,北西,8.3,北西,北西,1.7,,
7,0.0,0.0,0.0,-5.2,-1.8,-12.9,0.9,2.8,南東,3.9,南南西,南南東,1.6,,
8,0.0,0.0,0.0,-12.0,-6.5,-16.7,1.1,3.7,北北西,5.7,北北東,北西,0.3,,
9,0.0,0.0,0.0,-9.8,-3.7,-17.9,1.5,3.5,北,5.3,北北西,南,4.0,,
10,0.0,0.0,0.0,-14.3,-8.6,-22.1,0.6,2.2,南,2.9,南東,南南東,5.5,,
11,0.0,0.0,0.0,-6.2,-1.1,-12.0,1.0,4.0,南南東,6.0,南南東,南,1.9,,
12,0.0,0.0,0.0,-2.8,-0.7,-8.2,1.5,4.5,南南東,6.6,南南東,南南西,1.8,,
13,0.0,0.0,0.0,-7.1,-3.7,-13.3,1.5,3.3,南南東,5.3,南南東,南,0.8,,
14,1.0,0.5,0.5,-6.9,-3.4,-12.9,1.0,2.8,南,5.2,南西,南南西,0.3,,
15,0.0,0.0,0.0,-10.1,-5.7,-14.6,0.9,3.1,南南東,4.9,南,南南東,5.1,,
16,0.5,0.5,0.5,-7.0,-3.6,-10.3,1.1,2.5,南西,5.2,南,南南西,2.6,,
17,0.5,0.5,0.5,-6.1,-1.2,-10.5,1.9,4.3,南南東,7.4,南西,南,3.2,,
18,0.0,0.0,0.0,-10.8,-3.2,-18.2,1.1,2.7,南南東,3.8,南,南南東,7.6,,
19,0.0,0.0,0.0,-14.8,-7.8,-23.1,0.5,1.7,南南東,2.4,南南東,南南東,4.6,,
20,0.5,0.5,0.5,-9.2,-5.4,-15.3,0.4 ],1.5 ],南南東 ],2.4 ],南東 ],東南東 ],0.0,,
21,0.5,0.5,0.5,-8.3,-4.7,-15.3,1.1 ],2.7 ],南 ],3.9 ],西 ],南 ],0.5,,
22,2.0,0.5,0.5,-3.5,-0.8,-13.6,2.4,4.2,南,8.6,南,南,2.1,,
23,0.5,1.0,0.5,-4.7,0.0,-15.2,1.3,2.8,南,4.6,西,南,5.9,,
24,2.5,1.0,0.5,-7.6,-2.8,-12.9,2.0,4.7,西,10.5,西南西,西,0.2,,
25,1.5,1.0,0.5,-10.6,-7.1,-20.2,2.1,5.0,西北西,10.9,北西,西南西,0.8,,
26,0.0,0.0,0.0,-10.9,-5.5,-23.3,1.7,3.0,南,7.1,南南西,南,1.5,,
27,0.0,0.0,0.0,-9.5,-2.1,-21.6,1.2,2.5,南南東,4.4,南,南南東,4.5,,
28,0.0,0.0,0.0,-17.2,-9.0,-25.4,0.8,2.4,南南東,3.4,南,南南東,6.2,,
29,0.0,0.0,0.0,-11.1,-5.7,-20.0,0.4,2.0,南南東,2.3,南,南,0.0,,
30,0.5,0.5,0.5,-2.3,-0.7,-6.1,4.3 ),6.4 ),北 ),12.3 ),北東 ),北北東 ),0.0,,
31,0.0,0.0,0.0,-3.2,-1.4,-4.5,4.5,7.5,北北東,14.1,北東,北北東,0.0,,
