,降水量合計 (mm),最大1時間降水量 (mm),最大10分間降水量 (mm),平均気温,最高気温,最低気温,平均風速 (m/s),最大風速 (m/s),最大風向,最大瞬間風速 (m/s),最大瞬間風速風向,最多風向,日照時間 (h),降雪合計 (cm),最深積雪 (cm)
1,8.5,2.0,0.5,-7.9,-6.4,-9.7,3.6,6.6,西,13.1,西南西,西南西,0.0,28.0,93.0
2,5.0,1.0,0.5,-6.3,-5.2,-7.0,3.0,6.8,西,11.6,西南西,南西,0.0,9.0,101.0
3,4.5,1.0,0.5,-5.8,-4.1,-8.8,3.0,6.5,西,10.2,西,西,0.0,12.0,109.0
4,3.0,1.0,0.5,-9.6,-6.2,-17.3,1.6,5.7,西,9.5,西,南南東,2.1,3.0,109.0
5,1.0,1.0,0.5,-10.9,-4.7,-19.7,0.3 ],1.3 ],北 ],2.1 ],北西 ],東南東 ],1.4,5.0,104.0
6,3.5,1.0,0.5,-5.1,-1.8,-12.8,2.0 ],5.8 ],北西 ],11.1 ],北北西 ],西南西 ],0.7,9.0,109.0
7,0.0,0.0,0.0,-6.0,-0.2,-17.0,0.7,1.9,西南西,2.9,南南西,西北西,2.2,0.0,105.0
8,0.0,0.0,0.0,-11.9,-4.4,-18.8,1.0,5.8,北,10.1,北,北,0.0,0.0,98.0
9,0.0,0.0,0.0,-8.7,-2.6,-21.1,2.4,6.1,北,9.7,北,北,2.8,0.0,93.0
10,0.0,0.0,0.0,-15.8,-7.7,-24.2,0.3,1.5,東南東,2.1,東南東,南,5.0,0.0,89.0
11,0.0,0.0,0.0,-7.4,-1.9,-14.9,0.5,2.1,北西,3.0,西北西,南,0.6,0.0,87.0
12,0.5,0.5,0.5,-3.3,-0.2,-13.0,1.3,3.6,西南西,6.8,西,南南東,1.3,6.0,90.0
13,0.5,0.5,0.5,-7.3,-3.5,-14.2,1.0,2.9,南南西,4.5,南南西,東,1.8,6.0,91.0
14,3.5,1.0,0.5,-7.3,-3.4,-13.3,0.8,3.3,南西,5.4,西南西,南南西,0.0,13.0,101.0
15,0.0,0.0,0.0,-9.4,-3.4,-14.7,0.3,2.0,北,2.3,北,北,3.7,1.0,101.0
16,5.5,1.5,0.5,-7.4,-3.2,-14.1,0.9,3.8,南南西,6.1,西南西,南,2.4,21.0,113.0
17,3.0,1.0,0.5,-7.8,-3.1,-17.1,1.5,4.8,西,7.9,西,南南西,1.1,9.0,118.0
18,0.0,0.0,0.0,-12.4,-4.0,-19.6,0.6,2.6,北,2.9,北北西,北,5.0,1.0,110.0
19,0.0,0.0,0.0,-15.2,-6.6,-24.0,0.2 ),1.3 ),北北東 ),1.7 ),西 ),北 ),3.3,1.0,104.0
20,0.0,0.0,0.0,-9.0,-3.4,-15.8,0.2 ],1.4 ],北 ],2.1 ],北北東 ],西南西 ],0.4,1.0,98.0
21,1.0,0.5,0.5,-6.9,-3.2,-10.7,1.6 ],4.7 ],西北西 ],8.7 ],西 ],南南西 ],0.7,4 ),99.0
22,4.5,1.0,0.5,-3.5,-0.3,-9.2,3.0,6.6,南南西,11.5,南南西,南南西,0.5,16.0,109.0
23,0.5,0.5,0.5,-6.1,0.4,-17.8,1.1,3.4,西,6.5,西,南南東,3.6,2.0,111.0
24,10.0,2.5,0.5,-8.7,-3.6,-18.8,2.5,8.0,西南西,12.6,西南西,西,0.9,28.0,127.0
25,1.0,0.5,0.5,-9.3,-6.9,-12.6,2.9,8.1,西,12.6,西北西,西,0.7,2.0,125.0
26,0.5,0.5,0.5,-10.4,-6.3,-16.8,1.4,3.5,南南西,5.0,南南西,南南東,1.0,2.0,117.0
27,0.0,0.0,0.0,-8.3,-1.2,-22.1,1.3,3.4,南東,6.8,南東,北,4.5,2.0,116.0
28,0.0,0.0,0.0,-17.2,-6.5,-27.0,0.3,1.6,北,2.1,北北東,北,8.1,0.0,109.0
29,0.0,0.0,0.0,-9.2,-2.7,-19.8,0.7,2.0,北北東,2.8,北東,北,0.0,2.0,107.0
30,1.0,0.5,0.5,-1.1,0.1,-3.5,6.9,11.7,北北東,18.4,北北東,北北東,0.0,4.0,107.0
31,0.0,0.0,0.0,-2.5,-0.7,-4.2,6.6,9.1,北北東,15.7,北,北北東,0.1,0.0,104.0
