,降水量合計 (mm),最大1時間降水量 (mm),最大10分間降水量 (mm),平均気温,最高気温,最低気温,平均風速 (m/s),最大風速 (m/s),最大風向,最大瞬間風速 (m/s),最大瞬間風速風向,最多風向,日照時間 (h),降雪合計 (cm),最深積雪 (cm)
1,3.0,1.0,0.5,-8.8,-7.9,-10.4,2.0,4.9,西,9.1,西,南南西,0.0,,
2,1.0,0.5,0.5,-7.3,-6.4,-8.9,1.9,3.7,東南東,7.5,西,南西,0.0,,
3,3.0,1.0,0.5,-6.3,-4.4,-11.4,1.9,5.7,西北西,10.8,西北西,西南西,0.0,,
4,0.5,0.5,0.5,-9.4,-7.6,-14.5,0.7,2.8,北西,4.6,北西,南南東,0.2,,
5,1.0,0.5,0.5,-8.9,-5.4,-12.2,1.3,2.9,東南東,4.6,西北西,東南東,2.0,,
6,0.5,0.5,0.5,-6.4,-4.4,-11.1,1.5,4.3,北西,7.4,北西,南東,0.0,,
7,0.0,0.0,0.0,-5.4,-3.2,-10.2,1.2,3.2,東南東,5.2,東南東,北西,0.0,,
8,0.0,0.0,0.0,-9.9,-5.7,-14.0,1.0,3.4,東南東,5.5,東南東,東南東,0.0,,
9,0.0,0.0,0.0,-10.8,-4.4,-16.2,1.2,3.6,東南東,5.9,北西,南東,5.2,,
10,0.0,0.0,0.0,-11.2,-5.8,-17.4,1.9,3.6,東南東,6.0,東,東南東,7.9,,
11,0.5,0.5,0.5,-6.0,-1.4,-13.4,1.4,3.5,東南東,5.9,東南東,南東,0.3,,
12,0.0,0.0,0.0,-4.5,-2.2,-7.9,1.2,3.3,北西,5.7,北西,南東,0.2,,
13,0.0,0.0,0.0,-6.4,-3.7,-9.9,1.1,3.1,西南西,5.4,西南西,東南東,2.5,,
14,0.0,0.0,0.0,-6.5,-3.9,-8.6,1.2,2.6,南東,4.8,南南東,東南東,1.0,,
15,0.0,0.0,0.0,-9.5,-5.6,-14.9,1.5,3.0,東南東,4.7,東南東,南東,7.9,,
16,0.0,0.0,0.0,-7.9,-4.8,-10.8,1.4,3.4,東南東,4.9,東南東,南東,2.8,,
17,0.0,0.0,0.0,-6.7,-3.5,-12.9,1.5,2.9,東南東,5.0,南東,南南東,2.4,,
18,0.0,0.0,0.0,-10.4,-6.2,-13.5,2.2,3.6,東南東,6.0,東南東,東南東,8.2,,
19,0.0,0.0,0.0,-9.7,-5.5,-16.2,1.4,4.0,東南東,5.8,東南東,南東,5.7,,
20,2.5,0.5,0.5,-5.7,-4.6,-8.6,0.5 ),1.8 ),西北西 ),2.6 ),西北西 ),南東 ),0.0,,
21,0.5,1.0,0.5,-6.5,-4.3,-9.6,1.0 ),3.6 ),西 ),6.6 ),西北西 ),東南東,3.9,,
22,0.5,0.5,0.5,-3.2,0.2,-8.8,2.9,5.2,南東,8.2,南東,南東,1.4,,
23,1.5,1.0,0.5,-4.8,0.3,-9.6,1.8,4.2,東南東,6.2,東南東,東南東,5.8,,
24,2.5,1.0,0.5,-7.5,-3.6,-9.9,3.1,5.8,西北西,11.9,西北西,西北西,1.2,,
25,3.5,1.5,0.5,-10.2,-8.2,-13.4,1.8,4.4,北西,8.3,西,西北西,1.2,,
26,0.5,0.5,0.5,-10.5,-7.6,-15.4,1.5,5.2,東南東,7.7,南東,南東,5.4,,
27,0.0,0.0,0.0,-8.1,-3.4,-14.5,1.6,5.0,東南東,7.4,東南東,東南東,3.7,,
28,0.0,0.0,0.0,-11.7,-6.6,-18.0,1.5,4.3,東南東,7.2,東南東,南東,7.9,,
29,0.0,0.0,0.0,-4.2,0.4,-13.4,1.4,4.4,東南東,6.4,東南東,東南東,0.0,,
30,0.0,0.0,0.0,-1.7,1.9,-6.8,3.2,8.2,北,15.0,北北東,北,0.0,,
31,0.0,0.0,0.0,-0.7,1.2,-4.0,5.1,9.5,北北東,17.5,北,北,0.4,,
