,降水量合計 (mm),最大1時間降水量 (mm),最大10分間降水量 (mm),平均気温,最高気温,最低気温,平均風速 (m/s),最大風速 (m/s),最大風向,最大瞬間風速 (m/s),最大瞬間風速風向,最多風向,日照時間 (h),降雪合計 (cm),最深積雪 (cm)
1,1.5,0.5,0.5,-8.4,-7.2,-10.1,4.7,7.0,西南西,14.8,西南西,西南西,0.0,,
2,0.5,0.5,0.5,-6.4,-5.0,-7.4,4.4,7.5,西南西,13.1,南西,西南西,0.4,,
3,0.5,0.5,0.5,-6.0,-4.2,-9.4,3.6,6.5,西南西,13.0,西南西,西南西,0.0,,
4,0.5,0.5,0.5,-9.5,-6.5,-13.1,1.3,4.8,西南西,8.0,西南西,西南西,2.4,,
5,2.5,1.5,0.5,-8.7,-5.3,-13.4,1.6 ],4.1 ],西南西 ],7.3 ],西 ],西南西 ],2.1,,
6,0.5,0.5,0.5,-6.2,-2.9,-12.6,1.6,5.0,西南西,10.5,南西,西南西,0.0,,
7,0.0,0.0,0.0,-5.2,-1.7,-12.9,0.9,2.5,西,4.3,西南西,西北西,0.9,,
8,0.0,0.0,0.0,-11.7,-6.5,-15.6,0.8,2.8,西,4.3,西,東,0.1,,
9,0.0,0.0,0.0,-9.7,-2.9,-15.8,0.6,3.0,西南西,4.8,西,東,3.1,,
10,0.0,0.0,0.0,-10.9,-3.3,-18.2,0.8,2.2,西南西,3.4,西,東北東,5.0,,
11,3.0,2.5,0.5,-5.6,-0.5,-12.6,0.6,2.1,東北東,3.5,東南東,東,0.4,,
12,0.0,0.0,0.0,-2.7,-0.7,-7.7,1.7,4.1,西南西,7.4,南西,西南西,0.9,,
13,0.5,0.5,0.5,-8.0,-3.4,-14.7,1.0,3.7,西南西,6.9,西,西南西,0.7,,
14,0.5,0.5,0.5,-7.6,-3.6,-14.6,0.1 ),0.7 ),東北東 ),3.0 ),西 ),西北西 ),1.6,,
15,0.0,0.0,0.0,-8.6,-4.2,-12.8,1.2 ],3.0 ],西 ],4.7 ],西 ],東北東 ],5.0,,
16,0.0,0.0,0.0,-7.3,-4.1,-11.0,1.1 ),4.6 ),西南西 ),9.3 ),西南西 ),西南西 ),2.1,,
17,0.5,0.5,0.5,-6.6,-2.9,-11.7,1.7,6.5,西南西,11.7,西南西,西南西,3.0,,
18,0.0,0.0,0.0,-9.9,-2.9,-14.9,0.9,3.5,西南西,5.5,西南西,東北東,7.6,,
19,0.0,0.0,0.0,-10.9,-3.4,-17.5,0.9,2.3,南西,3.2,南南西,東北東,4.5,,
20,1.5,1.0,0.5,-7.1,-4.1,-11.5,0.7,3.3,西北西,4.8,西,東,0.0,,
21,0.5,0.5,0.5,-6.2,-3.7,-10.1,1.8 ),3.9 ),西南西 ),6.5 ),西南西 ),西南西 ),2.9,,
22,1.0,1.0,0.5,-3.7,-0.3,-12.1,2.0,6.1,西南西,11.9,西,西南西,1.6,,
23,1.0,1.0,0.5,-4.6,-0.7,-13.5,1.5,4.1,西南西,7.6,西南西,西,4.9,,
24,1.5,0.5,0.5,-8.4,-3.7,-14.5,2.8,6.7,南西,14.4,南西,西南西,0.5,,
25,0.0,0.0,0.0,-10.7,-7.7,-19.1,3.0,6.8,南西,12.6,南南西,西南西,1.3,,
26,0.0,0.0,0.0,-11.3,-6.1,-21.7,1.7,5.2,西南西,10.0,西南西,東,2.0,,
27,0.5,0.5,0.5,-8.2,-2.2,-17.1,1.0,3.8,南西,8.7,南西,西,4.8,,
28,0.0,0.0,0.0,-12.6,-4.2,-20.2,1.0,3.5,西南西,4.6,西,東,7.8,,
29,0.0,0.0,0.0,-8.2,-4.3,-14.5,0.8,2.9,西南西,4.1,北西,南西,0.0,,
30,0.0,0.0,0.0,-1.8,1.1,-6.9,2.4,5.8,東北東,12.4,北東,東北東,0.0,,
31,0.0,0.0,0.0,-1.8,-0.4,-3.6,3.6,6.0,東北東,13.0,東北東,東北東,0.0,,
