,降水量合計 (mm),最大1時間降水量 (mm),最大10分間降水量 (mm),平均気温,最高気温,最低気温,平均風速 (m/s),最大風速 (m/s),最大風向,最大瞬間風速 (m/s),最大瞬間風速風向,最多風向,日照時間 (h),降雪合計 (cm),最深積雪 (cm)
1,2.5,0.5,0.5,-7.8,-6.7,-9.2,2.5,4.9,西,9.7,西南西,南,0.0,,
2,0.5,0.5,0.5,-6.4,-5.2,-7.4,1.6,3.7,西南西,6.5,西,南南東,0.4,,
3,1.5,0.5,0.5,-5.4,-3.2,-10.1,1.9,4.0,西,8.5,西,南,0.0,,
4,1.5,0.5,0.5,-8.6,-6.0,-11.4,0.7,2.1,西,4.0,西南西,東南東,1.3,,
5,2.0,1.0,0.5,-8.5,-5.5,-11.3,0.5 ],1.8 ],南 ],3.3 ],東南東 ],南東 ],3.2,,
6,0.0,0.0,0.0,-5.7,-3.5,-11.6,,,,,,,0.0,,
7,0.0,0.0,0.0,-5.3,-2.3,-12.2,1.0 ],2.1 ],北北西 ],3.3 ],北北西 ],南東 ],1.0,,
8,0.0,0.0,0.0,-10.7,-8.2,-14.1,0.3,1.3,南西,2.7,南南東,南東,0.0,,
9,0.0,0.0,0.0,-10.9,-4.0,-15.7,1.1,4.0,北北西,5.3,北北西,南東,6.3,,
10,0.0,0.0,0.0,-12.8,-7.5,-18.7,0.7,2.0,東南東,3.0,東南東,南東,7.4,,
11,0.5,0.5,0.5,-8.8,-2.9,-15.5,0.5,1.9,北西,3.1,西北西,南東,0.2,,
12,1.0,0.5,0.5,-4.3,-2.1,-10.0,0.8,2.0,南,3.9,西北西,南南東,0.7,,
13,0.5,0.5,0.5,-6.2,-2.5,-10.5,0.6,2.3,南西,3.8,南西,南東,1.2,,
14,0.0,0.0,0.0,-5.6,-2.8,-8.3,0.7,2.6,南,4.6,南,南東,1.8,,
15,0.0,0.0,0.0,-9.7,-5.4,-14.2,0.8,1.9,南東,3.2,南東,南東,7.2,,
16,0.0,0.0,0.0,-7.3,-3.3,-10.4,0.9,2.3,南,4.6,南南東,南南東,2.1,,
17,1.5,0.5,0.5,-6.0,-2.3,-13.3,1.3,2.9,南,5.4,南南東,南南東,2.1,,
18,0.0,0.0,0.0,-11.9,-6.8,-16.7,0.9,2.0,南東,4.3,東南東,南東,7.6,,
19,0.0,0.0,0.0,-12.1,-7.3,-17.7,0.5,1.5,南東,2.3,東南東,南東,5.4,,
20,2.0,0.5,0.5,-6.6,-3.6,-9.8,0.4,1.6,北北西,2.2,西,北北西,0.0,,
21,0.5,1.0,0.5,-6.3,-4.2,-9.4,0.8 ],3.2 ],西 ],5.5 ],西 ],南東 ],4.4,,
22,0.5,0.5,0.5,-2.3,0.0,-7.6,2.3,4.4,南,8.7,南,南,1.6,,
23,1.0,1.0,0.5,-4.4,0.2,-9.9,1.0,3.4,北西,5.8,南,南東,7.6,,
24,4.5,1.0,0.5,-7.3,-3.4,-11.8,2.4,5.8,西,10.9,西,西,0.6,,
25,2.0,1.0,0.5,-9.5,-7.2,-12.8,2.0,5.0,北,9.2,西,西,1.6,,
26,0.0,0.0,0.0,-10.0,-5.9,-15.7,0.9,3.1,南,6.1,南,南,6.6,,
27,0.0,0.0,0.0,-7.4,-2.3,-15.9,0.9,2.0,南南東,4.0,南南東,南東,4.5,,
28,0.0,0.0,0.0,-13.5,-8.3,-19.7,0.7,1.7,東南東,3.4,東南東,南東,7.3,,
29,0.0,0.0,0.0,-7.3,-1.1,-14.0,0.6,1.8,東南東,3.2,東南東,南東,0.0,,
30,0.0,0.0,0.0,-1.5,1.5,-5.7,4.3,9.5,北北東,16.6,北北東,北北東,0.0,,
31,0.0,0.0,0.0,-1.0,1.5,-3.9,6.0,10.5,北北東,17.3,北北東,北,0.1,,
