,降水量合計 (mm),最大1時間降水量 (mm),最大10分間降水量 (mm),平均気温,最高気温,最低気温,平均風速 (m/s),最大風速 (m/s),最大風向,最大瞬間風速 (m/s),最大瞬間風速風向,最多風向,日照時間 (h),降雪合計 (cm),最深積雪 (cm)
1,6.0,1.5,0.5,-7.4,-6.0,-9.1,3.0,5.7,西,12.7,西,南西,0.0,,
2,7.5,1.0,0.5,-5.7,-4.5,-6.6,2.5,5.4,西南西,10.7,南西,南西,0.0,,
3,3.0,1.0,0.5,-4.9,-3.3,-8.3,2.7,5.1,西,11.3,西,西南西,0.0,,
4,0.0,0.0,0.0,-10.5,-5.4,-19.6,0.6,2.8,西,5.2,南西,南西,0.3,,
5,3.0,1.0,0.5,-12.2,-4.3,-21.4,0.4 ],1.9 ],南西 ],4.6 ],南西 ],北西 ],3.0,,
6,1.0,0.5,0.5,-6.5,-2.1,-14.6,1.0,5.5,北西,9.6,北北西,北西,0.3,,
7,0.0,0.0,0.0,-6.7,-0.2,-17.4,0.2 ),1.2 ),北東 ),2.6 ),東北東 ),北北西 ),1.2,,
8,0.0,0.0,0.0,-12.6,-6.3,-19.2,0.4 ],1.5 ],南東 ],2.5 ],北北東 ],南南東 ],0.0,,
9,0.0,0.0,0.0,-11.2,-2.2,-21.7,1.1,3.8,北西,6.8,北,北北西,4.6,,
10,0.0,0.0,0.0,-17.0,-4.6,-25.0,0.2,1.3,北北西,2.2,北北東,北西,7.2,,
11,1.5,1.5,1.0,-10.8,-4.8,-20.1,0.1 ],0.4 ],西北西 ],1.2 ],西 ],北北西 ],0.1,,
12,0.0,0.0,0.0,-5.8,-1.0,-16.2,1.1 ],3.0 ],西 ],5.1 ],西南西 ],西南西 ],1.2,,
13,0.5,0.5,0.5,-8.8,-3.0,-16.7,0.5,3.1,西南西,5.3,西南西,北西,1.3,,
14,0.5,0.5,0.5,-7.8,-2.7,-14.0,0.0 ),0.8 ),東南東 ),2.8 ),南南東 ),東 ),1.0,,
15,0.0,0.0,0.0,-9.2,-3.5,-16.0,,,,,,,2.9,,
16,1.5,0.5,0.5,-7.8,-3.2,-12.8,1.1 ],4.3 ],西南西 ],8.2 ],西南西 ],西南西 ],2.7,,
17,1.5,0.5,0.5,-7.8,-2.5,-20.0,1.1,4.5,西南西,8.3,西南西,西南西,2.6,,
18,0.0,0.0,0.0,-15.6,-3.7,-21.6,0.2,1.1,北西,1.9,北北西,北西,7.5,,
19,0.0,0.0,0.0,-15.1,-3.9,-24.7,0.2,1.1,北,2.0,北,北北西,5.0,,
20,0.5,0.5,0.5,-8.2,-2.2,-15.2,0.0 ],0.5 ],北北西 ],0.9 ],北北東 ],静穏 ],0.0,,
21,0.5,0.5,0.5,-7.5,-2.6,-12.6,1.0 ],4.4 ],西 ],6.5 ],西北西 ],西 ],2.7,,
22,8.0,2.0,0.5,-4.2,0.9,-11.5,0.7 ),3.5 ),南南西 ),10.9 ),南 ),南南西 ),1.9,,
23,1.0,2.0,0.5,-8.0,0.7,-19.7,0.7 ),4.2 ),西南西 ),7.1 ),西南西 ),北,4.5,,
24,6.5,2.0,0.5,-9.7,-3.4,-21.3,2.1,6.2,西北西,12.8,南西,西,1.1,,
25,3.5,1.0,0.5,-8.8,-5.8,-14.1,2.2,6.0,西,10.5,西,西北西,1.6,,
26,2.0,1.5,0.5,-11.0,-5.3,-20.2,0.1 ],0.9 ],南西 ],1.9 ],西北西 ],西北西 ],4.2,,
27,1.0,0.5,0.5,-11.1,-1.2,-25.9,0.6 ],2.9 ],西南西 ],5.1 ],西南西 ],北 ],5.4,,
28,0.0,0.0,0.0,-17.4,-4.0,-27.9,0.2,0.8,北北西,1.3,北西,北西,7.7,,
29,0.0,0.0,0.0,-9.3,-2.8,-19.6,0.1,0.9,北北東,1.9,北,北北西,0.0,,
30,0.0,0.0,0.0,-1.2,1.2,-6.2,2.8,5.5,北北東,11.8,北東,北,0.0,,
31,0.0,0.0,0.0,-1.8,0.1,-4.2,3.8,6.7,北北東,14.3,北,北,0.2,,
