,降水量合計 (mm),最大1時間降水量 (mm),最大10分間降水量 (mm),平均気温,最高気温,最低気温,平均風速 (m/s),最大風速 (m/s),最大風向,最大瞬間風速 (m/s),最大瞬間風速風向,最多風向,日照時間 (h),降雪合計 (cm),最深積雪 (cm)
1,3.5,1.0,0.5,-7.9,-6.0,-9.9,3.2,6.4,西,13.8,南西,西南西,0.5,9.0,58.0
2,3.0,0.5,0.5,-6.0,-4.7,-6.9,2.5,5.1,西,9.4,西南西,西南西,0.0,2.0,60.0
3,2.5,0.5,0.5,-6.1,-3.6,-9.6,1.9,4.1,西,8.9,西南西,西南西,0.0,5.0,61.0
4,4.5,0.5,0.5,-9.7,-6.3,-16.6,0.5 ],2.3 ],北東 ],4.2 ],北東 ],東北東 ],0.5,9.0,68.0
5,3.0,1.0,0.5,-11.2,-6.3,-17.5,0.5 ],1.8 ],東南東 ],2.7 ],東南東 ],南南西 ],0.0,6.0,70.0
6,0.0,0.0,0.0,-6.0,-1.9,-12.0,1.5,5.1,北北西,9.3,北西,北北西,0.9,1.0,68.0
7,0.0,0.0,0.0,-3.0,-0.6,-6.7,0.7,2.9,西北西,6.0,北西,北西,1.4,0.0,64.0
8,0.0,0.0,0.0,-11.6,-6.7,-15.6,0.4,2.2,北北西,3.0,北,北北西,1.2,0.0,60.0
9,0.0,0.0,0.0,-10.8,-2.7,-17.3,0.9,3.2,北北西,5.8,北西,北北西,4.7,0.0,58.0
10,0.0,0.0,0.0,-12.6,-7.4,-20.7,0.3,1.2,西南西,1.9,南東,南南東,0.0,2.0,58.0
11,0.0,0.0,0.0,-4.8,-1.5,-8.3,1.4,3.3,南東,4.9,南東,南南東,1.8,0.0,57.0
12,1.5,0.5,0.5,-3.1,-0.9,-6.6,0.9,3.6,南西,5.3,南南西,南南東,0.7,8.0,61.0
13,1.5,0.5,0.5,-6.0,-3.3,-9.2,0.6 ],1.8 ],東南東 ],2.9 ],南西 ],南東 ],1.8,7.0,66.0
14,0.0,0.5,0.0,-8.4,-3.4,-12.8,0.8 ],4.8 ],北西 ],7.5 ],北西 ],北西 ],3.1,0.0,66.0
15,0.0,0.0,0.0,-9.6,-3.9,-14.5,0.6,1.8,東南東,2.7,南東,南東,3.3,0.0,61.0
16,0.0,0.0,0.0,-8.1,-3.9,-11.6,0.8,2.8,西,5.2,西,南,1.2,4.0,60.0
17,1.0,0.5,0.5,-7.5,-3.6,-12.9,0.7,4.1,南西,6.4,西南西,南西,0.0,7.0,66.0
18,0.0,0.0,0.0,-10.1,-3.3,-17.9,0.6,3.3,東南東,4.5,東,東南東,3.5,0.0,65.0
19,0.0,0.0,0.0,-13.0,-6.4,-19.9,0.5,2.0,南東,2.7,南東,南,5.6,0.0,61.0
20,0.0,0.0,0.0,-9.6,-5.1,-17.2,0.3,1.4,南西,1.8,西南西,南西,0.1,0.0,59.0
21,0.5,0.5,0.5,-8.2,-4.4,-14.1,0.1 ],0.8 ],北 ],1.7 ],西南西 ],北北西 ],2.0,5.0,62.0
22,3.5,1.0,0.5,-3.8,1.0,-11.0,2.5 ],4.3 ],南東 ],6.7 ],南東 ],南東 ],2.2,11.0,70.0
23,0.0,1.0,0.0,-5.1,-0.7,-13.0,0.6,2.8,北西,4.7,北西,北北西,3.2,0.0,70.0
24,5.5,2.0,0.5,-8.0,-3.7,-15.7,2.1,5.7,西北西,12.0,北西,西北西,0.1,16.0,80.0
25,3.5,1.5,0.5,-10.4,-7.7,-17.1,1.9,4.9,北西,10.1,北西,北西,0.3,7.0,81.0
26,0.5,0.5,0.5,-11.4,-5.3,-18.1,1.0,3.9,東南東,6.2,南南西,東南東,0.7,1.0,79.0
27,0.5,0.5,0.5,-9.4,-2.1,-21.3,0.6,2.8,西北西,5.1,西北西,南西,4.1,4.0,78.0
28,0.0,0.0,0.0,-16.1,-5.5,-25.9,0.4,1.6,南西,2.0,南西,南西,8.1,0.0,74.0
29,0.5,0.5,0.5,-10.8,-4.2,-20.6,0.4,1.3,北北西,2.3,北北西,北北西,0.0,3.0,71.0
30,6.0,1.5,0.5,-1.7,0.3,-4.6,1.9,3.9,北西,7.8,北北西,北北西,0.0,8.0,78.0
31,1.0,0.5,0.5,-3.1,-1.1,-4.3,2.2,3.9,北北西,10.3,北東,北,0.0,7.0,82.0
