,降水量合計 (mm),最大1時間降水量 (mm),最大10分間降水量 (mm),平均気温,最高気温,最低気温,平均風速 (m/s),最大風速 (m/s),最大風向,最大瞬間風速 (m/s),最大瞬間風速風向,最多風向,日照時間 (h),降雪合計 (cm),最深積雪 (cm)
1,0.0,0.0,0.0,5.4,8.1,3.1,1.3,2.7,西,5.1,西北西,西南西,0.0,,
2,0.0,0.0,0.0,8.0,11.8,4.0,2.0,3.9,西北西,10.6,西北西,西,2.9,,
3,1.5,0.5,0.5,8.2,12.3,5.1,1.6,4.1,西,8.4,西,西,1.8,,
4,9.0,3.0,2.0,7.2,10.3,4.6,2.0,6.2,西北西,11.5,西北西,西北西,0.7,,
5,1.0,0.5,0.5,5.7,8.6,3.3,2.0,5.3,北西,9.6,西北西,北北西,1.2,,
6,0.0,0.0,0.0,5.4,10.9,0.9,2.4,3.9,西北西,5.4,北北西,西北西,4.8,,
7,7.0,3.0,1.0,7.5,13.8,2.4,2.1,5.6,南南東,12.2,南,南,0.0,,
8,19.5,12.0,5.5,13.2,18.3,8.2,4.8,11.9,西北西,21.0,西北西,西北西,3.4,,
9,3.0,1.0,0.5,8.6,12.1,6.4,1.8,5.0,西北西,9.1,西南西,西北西,1.6,,
10,5.5,2.0,1.5,6.3,9.1,3.0,2.0,5.1,西北西,9.0,西北西,西北西,1.0,,
11,0.0,0.0,0.0,6.1,13.6,0.7,1.9,4.7,南,8.2,南,西,6.3,,
12,0.5,0.5,0.5,7.1,11.6,3.2,1.8,4.3,西北西,7.8,西北西,西,0.1,,
13,0.5,0.5,0.5,7.0,11.0,3.1,2.8,6.8,西北西,12.3,西北西,西,5.0,,
14,0.0,0.0,0.0,6.0,9.7,1.2,1.5,2.9,南南東,6.3,南南西,西,2.0,,
15,3.0,1.0,0.5,5.0,9.6,1.9,1.8,4.9,北西,8.7,北西,西北西,1.4,,
16,0.0,0.0,0.0,5.9,10.6,3.1,1.7,3.6,北西,6.9,南西,西,2.7,,
17,1.0,1.0,0.5,7.4,11.6,3.5,2.6,7.3,北東,14.0,北東,北東,1.9,,
18,0.0,0.0,0.0,7.5,10.7,3.5,2.8,6.2,北東,11.6,北東,北西,3.3,,
19,0.0,0.0,0.0,6.5,10.2,1.1,1.9,3.9,南南東,6.8,南南東,西北西,3.9,,
20,0.0,0.0,0.0,7.6,10.7,4.7,1.6,4.6,北西,10.6,西南西,西北西,0.9,,
21,11.0,2.0,1.0,4.7,8.3,2.0,1.8,4.4,北東,9.3,西,西,1.1,,
22,0.0,0.0,0.0,5.6,9.5,0.0,1.6,3.7,南西,7.7,南西,西,1.5,,
23,10.5,3.0,1.0,9.6,11.8,7.4,0.9,2.5,東南東,5.5,南,西北西,0.0,,
24,1.5,1.0,1.0,9.4,12.6,6.4,2.1,4.9,北,10.4,北,西北西,0.0,,
25,0.0,0.0,0.0,6.8,9.5,4.3,2.5,4.1,北東,7.2,東北東,北西,0.7,,
26,0.0,0.0,0.0,8.7,12.9,4.8,3.1,6.7,北東,12.8,北北東,北西,4.1,,
27,8.5,5.5,1.5,8.9,10.9,6.2,3.9,9.0,東南東,13.0,東,東,0.0,,
28,13.5,2.5,1.0,10.1,14.7,7.1,1.6,4.7,東,7.6,東,西,0.3,,
29,9.5,2.0,1.0,9.6,12.6,6.9,2.9,6.7,西北西,12.9,西,西,3.0,,
30,31.0,3.5,1.5,6.4,9.0,4.3,2.2,6.2,西,11.7,西北西,西,0.7,,
31,4.5,1.5,0.5,4.2,6.4,2.9,3.0,7.7,西北西,13.6,西北西,西北西,2.1,,
