,降水量合計 (mm),最大1時間降水量 (mm),最大10分間降水量 (mm),平均気温,最高気温,最低気温,平均風速 (m/s),最大風速 (m/s),最大風向,最大瞬間風速 (m/s),最大瞬間風速風向,最多風向,日照時間 (h),降雪合計 (cm),最深積雪 (cm)
1,0.0,0.0,0.0,,,,,,,,,,,,
2,0.0,0.0,0.0,,,,,,,,,,,,
3,1.0,0.5,0.5,,,,,,,,,,,,
4,11.5,3.5,1.5,,,,,,,,,,,,
5,12.0,4.5,2.0,,,,,,,,,,,,
6,0.0,0.0,0.0,,,,,,,,,,,,
7,6.0,2.0,0.5,,,,,,,,,,,,
8,19.0,7.5,3.0,,,,,,,,,,,,
9,4.0,1.5,0.5,,,,,,,,,,,,
10,4.5,1.5,1.0,,,,,,,,,,,,
11,0.5,0.5,0.5,,,,,,,,,,,,
12,1.5,1.0,0.5,,,,,,,,,,,,
13,0.0,0.0,0.0,,,,,,,,,,,,
14,0.0,0.0,0.0,,,,,,,,,,,,
15,11.5,4.5,2.0,,,,,,,,,,,,
16,0.0,0.0,0.0,,,,,,,,,,,,
17,0.0,0.0,0.0,,,,,,,,,,,,
18,0.0,0.0,0.0,,,,,,,,,,,,
19,0.0,0.0,0.0,,,,,,,,,,,,
20,0.0,0.0,0.0,,,,,,,,,,,,
21,11.0,2.5,1.0,,,,,,,,,,,,
22,0.0,0.0,0.0,,,,,,,,,,,,
23,11.5,3.0,1.0,,,,,,,,,,,,
24,3.0,2.0,0.5,,,,,,,,,,,,
25,0.0,0.0,0.0,,,,,,,,,,,,
26,0.0,0.0,0.0,,,,,,,,,,,,
27,6.0,3.0,1.0,,,,,,,,,,,,
28,12.5,4.0,1.0,,,,,,,,,,,,
29,9.5,2.5,1.0,,,,,,,,,,,,
30,16.5,4.5,1.5,,,,,,,,,,,,
31,9.0,2.0,1.0,,,,,,,,,,,,
