,降水量合計 (mm),最大1時間降水量 (mm),最大10分間降水量 (mm),平均気温,最高気温,最低気温,平均風速 (m/s),最大風速 (m/s),最大風向,最大瞬間風速 (m/s),最大瞬間風速風向,最多風向,日照時間 (h),降雪合計 (cm),最深積雪 (cm)
1,0.0,0.0,0.0,4.7,8.8,2.3,0.8,3.3,西南西,7.5,西北西,北西,0.6,,
2,0.0,0.0,0.0,6.2,12.5,2.6,0.9,3.2,西南西,6.6,西南西,北西,6.0,,
3,0.0,0.0,0.0,6.2,12.0,2.2,0.7,2.5,西,5.7,西,西南西,1.7,,
4,7.0,3.5,1.5,6.8,11.0,3.9,1.3,4.7,北西,10.2,西北西,北西,2.2,,
5,1.5,0.5,0.5,5.0,8.2,1.9,1.6,4.3,北西,9.3,北北西,北西,1.7,,
6,0.0,0.0,0.0,3.9,10.3,-1.8,0.9,2.4,北,4.8,北,西南西,2.7,,
7,6.5,3.0,1.0,4.8,8.6,1.0,0.7,2.1,東南東,3.5,東,西南西,0.0,,
8,15.0,9.5,3.5,13.2,17.3,7.9,3.2,6.2,南南東,13.6,北北西,西北西,2.7,,
9,3.0,1.0,0.5,8.1,12.0,5.4,1.2,3.9,北西,7.2,北,北西,2.7,,
10,2.0,1.5,0.5,6.2,10.7,2.7,1.2,4.3,北,10.2,北北西,北北東,4.0,,
11,0.0,0.0,0.0,5.9,13.7,2.1,0.9,2.9,西南西,4.5,西南西,西南西,5.1,,
12,0.0,0.0,0.0,5.5,10.6,2.1,0.7,2.1,西北西,3.4,西北西,北,1.1,,
13,0.0,0.0,0.0,4.9,11.5,-0.4,1.4,3.8,南南東,7.6,北北西,南,4.8,,
14,0.0,0.0,0.0,3.3,9.1,-2.4,0.7,3.1,南南東,5.1,南南東,北西,2.1,,
15,4.0,2.0,0.5,3.0,9.1,-0.8,1.0,4.2,北西,9.2,北西,北西,2.1,,
16,0.0,0.0,0.0,3.9,10.2,0.9,0.8,1.7,南東,2.5,東南東,南東,4.2,,
17,0.5,0.5,0.5,5.4,10.3,1.3,1.0,3.9,北,7.8,北北西,北,1.8,,
18,0.0,0.0,0.0,7.1,10.5,1.9,2.7,5.6,北北西,10.9,北,北北西,4.8,,
19,0.0,0.0,0.0,4.3,10.6,-2.1,1.1,4.8,南南東,7.1,南,南南東,3.5,,
20,0.0,0.0,0.0,6.3,12.5,0.5,1.1,3.2,西,5.9,西北西,西,3.9,,
21,6.0,2.0,1.5,4.5,8.7,0.5,1.3,3.9,北,7.4,北,北北西,2.5,,
22,0.0,0.0,0.0,4.4,8.3,0.4,1.0,2.6,南南東,4.2,南東,南南東,0.6,,
23,11.0,2.5,0.5,8.6,12.3,5.4,0.7,2.0,南東,3.1,北東,北,0.0,,
24,0.5,0.5,0.5,9.3,12.7,6.4,1.9,4.4,北,9.3,北,北,0.3,,
25,0.0,0.0,0.0,6.3,8.5,3.7,1.9,4.1,北,7.9,北,北,1.2,,
26,0.0,0.0,0.0,7.9,13.2,3.5,1.3,4.1,北,9.0,北北西,北,4.3,,
27,7.0,4.0,1.0,7.6,9.8,5.7,1.4,3.0,北,6.3,北,北,0.0,,
28,12.5,4.0,1.5,9.9,15.1,5.7,1.9,5.6,南東,11.0,南南東,北北西,0.4,,
29,2.0,3.5,0.5,9.3,13.2,4.8,1.3,4.7,北西,10.0,西北西,北西,4.4,,
30,3.0,1.5,1.0,5.6,10.9,2.3,1.8,4.7,北西,7.9,西,北西,4.4,,
31,10.5,2.5,1.0,3.4,6.3,1.5,1.6,4.3,北北西,8.9,西,西北西,2.1,,
