,降水量合計 (mm),最大1時間降水量 (mm),最大10分間降水量 (mm),平均気温,最高気温,最低気温,平均風速 (m/s),最大風速 (m/s),最大風向,最大瞬間風速 (m/s),最大瞬間風速風向,最多風向,日照時間 (h),降雪合計 (cm),最深積雪 (cm)
1,2.5,1.0,0.5,5.3,8.0,2.8,2.7,9.7,西,15.1,西,南南東,0.1,,
2,1.0,0.5,0.5,8.1,10.7,5.5,3.8,8.8,西,14.0,西,南南東,3.7,,
3,11.0,6.5,2.5,9.6,11.6,5.9,6.4,10.5,西,16.8,西南西,西北西,1.3,,
4,7.0,1.5,1.0,7.5,10.4,6.1,6.0,15.1,西北西,23.7,西,北,0.4,,
5,0.0,0.5,0.0,7.2,8.3,5.8,7.3,11.4,北北西,16.0,北北西,北,1.2,,
6,0.0,0.0,0.0,7.1,9.7,3.3,2.6,6.2,北北西,9.9,北,北北東,5.3,,
7,5.0,2.0,0.5,8.9,14.0,5.5,3.1,7.0,南東,15.2,南南東,南東,0.0,,
8,16.0,14.0,4.5,12.6,16.9,8.7,9.5,22.0,西,31.4,西,西,1.9,,
9,3.5,1.0,1.0,9.3,11.3,7.1,6.2,13.9,西,23.1,西,北北西,0.2,,
10,2.5,1.5,1.0,7.5,9.6,5.0,5.0,10.1,北西,14.0,北北西,北西,1.0,,
11,0.5,0.5,0.5,8.3,12.3,4.5,3.6,9.0,西,15.5,西,南東,6.0,,
12,4.5,2.0,1.5,7.9,11.4,6.4,2.5,9.6,西,15.2,西,南南東,0.3,,
13,16.5,7.0,2.0,6.6,8.8,4.2,6.7,13.9,西北西,21.7,西,西南西,0.6,,
14,1.5,1.0,0.5,6.8,9.1,4.9,1.2,2.9,西南西,7.2,南南西,南東,1.8,,
15,2.0,1.0,0.5,6.4,8.7,3.6,4.3,11.0,北,17.8,北,北,0.3,,
16,3.0,1.0,1.0,5.4,9.0,3.4,2.1,5.2,西北西,11.3,西南西,南東,0.6,,
17,3.5,1.0,0.5,7.1,9.9,4.4,4.8,13.4,東北東,19.4,東北東,東北東,2.4,,
18,0.0,0.0,0.0,7.7,8.7,7.1,6.6,11.0,東北東,16.1,東北東,北,3.1,,
19,1.5,1.0,0.5,7.7,10.3,4.2,3.1,12.8,西,19.9,西,南南東,3.8,,
20,1.0,0.5,0.5,7.3,9.1,5.6,5.4,13.6,西,20.5,西南西,南西,0.1,,
21,2.0,1.0,1.0,6.6,8.1,4.6,6.0,10.1,西北西,16.5,西北西,北北東,0.5,,
22,0.0,0.0,0.0,7.4,10.2,3.3,1.7,4.1,南東,6.2,東南東,南東,0.7,,
23,8.5,2.5,0.5,9.9,11.2,8.1,1.5,4.3,南東,6.1,東南東,東北東,0.0,,
24,0.0,0.0,0.0,9.9,12.0,6.4,5.6,10.9,北北東,16.0,北北東,北,0.0,,
25,0.0,0.0,0.0,7.0,8.7,5.7,5.8,8.0,東北東,12.6,東北東,東北東,1.0,,
26,0.0,0.0,0.0,9.1,11.1,6.8,6.3,11.0,東北東,16.2,東,東北東,4.1,,
27,10.0,5.0,2.0,8.1,10.1,5.1,7.2,11.3,東北東,17.0,東北東,東北東,0.0,,
28,18.5,4.5,1.5,9.7,12.0,7.3,2.7,7.0,東北東,10.0,東北東,東南東,0.6,,
29,8.5,2.5,1.0,9.7,11.6,7.6,7.0,10.7,西,17.8,西,西北西,1.3,,
30,23.0,4.5,2.0,6.9,8.7,4.2,7.8,12.6,西北西,19.2,西北西,西北西,0.2,,
31,4.0,1.0,1.0,5.3,6.8,2.6,8.9,12.7,西北西,18.7,西北西,北西,1.2,,
