,現地平均気圧 (hPa),海面平均気圧 (hPa),降水量合計 (mm),最大1時間降水量 (mm),最大10分間降水量 (mm),平均気温,最高気温,最低気温,日平均湿度 (%),最小湿度 (%),平均風速 (m/s),最大風速 (m/s),最大風速の風向,最大瞬間風速 (m/s),最大瞬間風速風向,日照時間 (h),降雪合計 (cm),最深積雪,天気概況昼,天気概況夜
1,1025.8,1030.0,,,,4.0,9.9,-0.9,74.0,52.0,1.5,3.6,西南西,5.0,西,9.6,,,快晴,晴後時々曇
2,1023.9,1028.1,,,,6.1,11.9,1.2,80.0,60.0,1.9,4.1,南西,5.4,南南西,7.7,,,晴一時曇,晴
3,1020.6,1024.7,,,,7.4,13.8,3.1,80.0,48.0,2.4,7.4,西,10.8,西,6.8,,,曇時々晴,快晴
4,1019.0,1023.0,,,,7.4,14.1,2.1,73.0,43.0,2.4,6.7,西,10.1,西,9.1,,,快晴,晴
5,1023.8,1027.9,,,,7.6,15.0,1.9,67.0,40.0,2.8,6.3,北,8.6,北東,8.2,,,晴,晴後曇
6,1022.7,1026.7,0.0,0.0,0.0,9.1,12.7,4.7,72.0,50.0,2.1,4.4,東北東,5.7,東北東,0.0,,,曇後一時雨,曇一時雨
7,1013.6,1017.6,3.5,2.0,0.5,13.9,17.4,10.6,88.0,75.0,3.1,12.1,南南東,18.5,南,0.0,,,雨後一時曇,雨時々曇、雷を伴う
8,1010.6,1014.6,15.5,13.5,5.5,12.2,17.8,9.0,68.0,51.0,6.4,11.4,西北西,17.2,西,2.2,,,曇時々雨一時晴,曇
9,1016.0,1020.0,,,,10.2,14.2,7.1,68.0,42.0,2.0,5.5,北北西,8.1,北北西,5.9,,,曇時々晴,曇時々晴
10,1016.0,1020.0,,,,9.1,14.0,4.6,63.0,43.0,2.3,5.3,東北東,7.2,北北西,9.1,,,晴,薄曇時々晴
11,1013.0,1017.0,0.0,0.0,0.0,9.4,14.4,5.3,68.0,50.0,1.5,3.4,南,5.4,南南西,4.8,,,曇時々晴,曇時々雨
12,1011.3,1015.3,0.0,0.0,0.0,8.6,10.9,7.2,69.0,54.0,4.1,10.6,西北西,14.3,西,1.5,,,曇時々晴一時雨,晴後一時曇
13,1017.2,1021.2,0.0,0.0,0.0,7.7,11.2,4.2,61.0,45.0,3.9,8.1,西,11.3,西,6.1,,,晴時々曇,晴後一時曇
14,1018.8,1022.9,0.5,0.5,0.5,5.4,7.6,3.1,80.0,70.0,2.2,5.7,北北西,8.0,北北西,0.0,,,雨時々曇,晴時々曇一時雨
15,1021.2,1025.4,0.0,0.0,0.0,5.0,10.0,1.1,75.0,45.0,2.0,4.6,西,7.1,西,3.4,,,曇時々晴,曇後一時晴
16,1019.6,1023.8,,,,6.1,9.8,3.1,72.0,50.0,1.5,3.7,東北東,4.7,東北東,0.5,,,曇,曇
17,1014.2,1018.3,0.0,0.0,0.0,8.5,13.2,5.4,68.0,46.0,2.6,6.4,北,8.1,北,3.2,,,曇後時々晴一時雨,曇一時雨
18,1012.2,1016.3,0.5,0.5,0.5,8.0,12.7,3.8,82.0,46.0,2.9,7.0,南南西,9.8,西南西,4.4,,,晴後雨時々曇,晴時々曇
19,1015.1,1019.2,0.0,0.0,0.0,7.5,12.3,3.3,79.0,51.0,2.3,7.9,西南西,11.4,西,1.5,,,曇後一時晴,曇後一時晴
20,1017.5,1021.6,,,,8.2,11.3,4.2,67.0,48.0,2.7,7.6,西北西,10.7,西北西,3.4,,,曇時々晴,晴
21,1022.9,1027.0,,,,7.0,13.1,1.6,67.0,37.0,2.4,5.0,東,9.2,北東,9.6,,,晴,晴後曇
22,1020.6,1024.7,19.0,7.0,2.0,7.4,11.0,4.5,86.0,68.0,1.7,3.5,東北東,4.6,北北西,0.0,,,雨一時曇,大雨後一時曇
23,1015.3,1019.3,20.5,12.0,3.5,14.2,18.4,10.8,89.0,75.0,2.3,5.8,北西,11.0,北西,1.2,,,曇一時晴、霧を伴う,曇
24,1020.5,1024.5,0.0,0.0,0.0,14.1,17.3,11.7,74.0,61.0,3.5,7.5,北東,9.8,北東,0.9,,,曇,曇
25,1021.3,1025.3,17.0,4.5,1.5,11.0,13.1,8.4,77.0,65.0,4.5,7.5,東北東,10.3,東北東,0.1,,,曇時々雨,雨後一時曇
26,1017.8,1021.8,4.0,2.0,0.5,10.6,13.7,8.6,76.0,56.0,6.3,10.3,北東,13.9,東北東,0.2,,,曇後一時雨,雨一時曇
27,1003.1,1007.0,21.0,8.0,2.5,9.8,12.9,8.4,82.0,70.0,9.1,15.5,北東,20.8,北北東,0.4,,,雨後一時曇、大風・雷を伴う,晴時々曇一時雨
28,1007.7,1011.6,0.0,0.0,0.0,10.4,14.9,7.2,85.0,64.0,2.6,6.8,北北西,9.7,北北西,3.4,,,曇時々雨一時晴,雨時々曇一時晴
29,1008.9,1012.9,5.0,2.5,1.0,9.8,13.1,7.6,83.0,65.0,2.2,5.3,北北西,7.1,北北西,1.8,,,雨時々曇一時晴,雨時々曇
30,1007.1,1011.1,0.0,0.0,0.0,8.2,12.6,6.5,76.0,48.0,3.6,9.2,北北西,12.4,北,4.0,,,曇時々晴一時雨,雨一時曇
31,1013.8,1017.9,3.5,1.0,0.5,6.5,10.4,4.6,83.0,56.0,1.9,6.1,北北西,9.5,北北西,2.0,,,雨時々曇一時晴,晴一時曇
