,降水量合計 (mm),最大1時間降水量 (mm),最大10分間降水量 (mm),平均気温,最高気温,最低気温,平均風速 (m/s),最大風速 (m/s),最大風向,最大瞬間風速 (m/s),最大瞬間風速風向,最多風向,日照時間 (h),降雪合計 (cm),最深積雪 (cm)
1,0.0,0.0,0.0,3.3,8.9,0.6,1.0,3.7,北西,7.8,北北西,南南東,1.8,,
2,0.0,0.0,0.0,4.5,10.5,0.6,1.2,4.7,南南東,6.7,南南東,北,5.2,,
3,0.0,0.0,0.0,4.5,12.2,0.2,0.9,3.5,南南東,6.3,南南東,北,4.8,,
4,1.5,1.0,1.0,5.2,11.9,0.9,1.0,3.8,北,9.9,北西,北北西,2.8,,
5,2.5,1.5,0.5,3.6,8.5,0.9,0.8,2.2,北北西,5.8,北西,北,2.2,,
6,0.0,0.0,0.0,3.8,8.9,-0.4,0.8,2.3,北,5.1,西,北,2.6,,
7,5.0,2.5,0.5,4.1,10.6,1.3,0.6,2.3,南東,4.1,南東,南東,0.0,,
8,17.5,9.0,5.0,11.4,15.6,6.2,3.0,7.4,南南東,16.6,北北西,南南東,2.2,,
9,0.0,0.0,0.0,6.7,12.2,3.4,0.8,3.3,北北東,7.7,北東,北,2.6,,
10,0.0,0.0,0.0,5.1,11.5,1.1,1.2,3.6,北西,8.9,北西,北,4.1,,
11,0.0,0.0,0.0,4.5,12.3,-0.7,1.1,3.5,南南東,6.1,南,北,6.0,,
12,1.0,1.0,0.5,4.8,9.3,2.2,0.8,2.2,南南東,3.9,南,北,0.3,,
13,0.0,0.0,0.0,4.3,11.3,-0.3,1.5,4.7,南南東,8.3,北西,北,6.5,,
14,0.0,0.0,0.0,2.8,7.6,-1.7,0.8,3.7,南,6.0,南,北,1.2,,
15,1.0,0.5,0.5,3.4,9.1,0.2,0.9,2.3,北西,5.3,北西,北,2.8,,
16,0.0,0.0,0.0,3.0,9.7,-0.5,0.8,2.9,南南東,5.6,南南東,北,3.7,,
17,0.0,0.0,0.0,5.0,11.9,0.3,1.3,3.3,北北西,7.2,北北西,北,3.8,,
18,0.0,0.0,0.0,6.3,10.1,2.6,1.9,3.5,北北西,10.2,北西,北北東,6.1,,
19,0.0,0.0,0.0,4.1,9.3,-0.9,1.5,4.4,南南東,6.8,南南東,南南東,2.6,,
20,0.0,0.0 ),0.0 ),5.3 ),10.9 ),2.0 ),0.9 ),3.9 ),南南東 ),8.2 ),南南東 ),北北西 ),1.0 ],,
21,1.5,1.0,0.5,3.7,10.1,0.6,0.9,3.1,北西,6.9,北西,北,2.9,,
22,1.0,1.0,0.5,3.6,7.7,-0.5,0.8,2.6,南,4.4,南,南南東,0.7,,
23,17.0,3.5,1.0,8.3,12.7,5.0,0.6,2.0,南,3.5,南南東,北,0.4,,
24,0.0,0.0,0.0,8.7,13.2,4.9,1.2,3.5,北,8.6,北北西,北北西,2.6,,
25,0.0,0.0,0.0,5.5,8.1,3.3,2.1,4.6,北西,10.0,北,北,3.1,,
26,0.0,0.0,0.0,7.6,13.3,3.5,1.9,4.5,北西,9.9,北西,北,4.6,,
27,9.0,6.0,1.5,6.3,8.0,4.8,2.9,6.0,北西,10.8,北北西,北,0.0,,
28,6.0,2.5,1.0,8.7,10.7,6.5,1.4,3.3,北北西,5.4,北北西,北,0.2,,
29,0.0,0.0,0.0,7.8,12.9,3.3,1.0,4.3,北西,9.2,北西,北,3.1,,
30,0.0,0.0,0.0,4.9,10.8,1.9,1.0,2.6,北北東,6.2,北北西,北,3.3,,
31,1.0,0.5,0.5,2.9,4.8,1.4,1.1,4.0,北西,8.8,北西,北西,1.1,,
