,降水量合計 (mm),最大1時間降水量 (mm),最大10分間降水量 (mm),平均気温,最高気温,最低気温,平均風速 (m/s),最大風速 (m/s),最大風向,最大瞬間風速 (m/s),最大瞬間風速風向,最多風向,日照時間 (h),降雪合計 (cm),最深積雪 (cm)
1,0.0,0.0,0.0,3.5,9.3,-1.1,2.7,6.9,西北西,10.9,北西,西北西,5.5,,
2,0.0,0.0,0.0,4.1,11.2,-2.0,1.5,5.4,西北西,8.5,西南西,北西,6.0,,
3,0.0,0.0,0.0,5.7,12.7,1.0,2.0,6.3,西,9.2,西北西,西北西,5.3,,
4,0.0,0.0,0.0,5.5,13.0,-1.8,2.9,8.1,西北西,14.7,西,西北西,7.5,,
5,0.5,0.5,0.5,4.5,9.7,-1.0,2.4,5.9,西,9.8,西北西,北西,2.6,,
6,0.0,0.0,0.0,3.9,10.1,-1.9,1.2,4.6,西北西,5.9,西北西,北北西,3.1,,
7,1.0,0.5,0.5,5.8,7.4,2.7,0.8,3.4,西,5.0,西,西北西,0.0,,
8,12.5,8.0,3.0,11.0,16.0,6.0,5.0,11.0,西,23.1,西,西北西,4.7,,
9,0.0,0.0,0.0,7.6,13.3,1.2,2.7,6.8,北西,11.2,北西,西北西,5.6,,
10,0.0,0.0,0.0,5.8,11.0,0.4,2.6,5.8,北西,12.4,西北西,北西,7.1,,
11,0.0,0.0,0.0,4.4,11.8,-0.8,1.7,3.9,西,5.4,南東,北西,6.6,,
12,1.0,1.0,0.5,5.6,10.7,1.6,1.3,3.5,西北西,4.4,西,西北西,0.0,,
13,0.0,0.0,0.0,5.2,11.2,-0.5,3.0,6.9,西,12.9,西,西北西,6.4,,
14,0.0,0.0,0.0,3.4,8.7,-2.1,1.1,3.9,西北西,5.5,西北西,西北西,1.7,,
15,0.0,0.0,0.0,4.3,10.4,-1.3,2.9,7.7,西北西,12.1,西北西,北西,5.8,,
16,0.0,0.0,0.0,2.9,10.3,-2.5,1.7,4.3,西北西,5.8,西北西,北西,4.8,,
17,0.0,0.0,0.0,5.6,11.7,0.6,1.6,4.0,西北西,5.2,南南東,北北西,3.6,,
18,0.0,0.0,0.0,5.3,12.2,-1.2,2.0,6.5,西北西,11.1,北西,北西,8.5,,
19,0.0,0.0,0.0,3.9,10.7,-2.4,1.7,4.3,南南東,6.5,南,北西,5.5,,
20,0.0,0.0,0.0,6.1,11.5,0.7,2.6,6.6,北西,11.6,西南西,西北西,2.3,,
21,0.0,0.0 ),0.0 ),4.2 ),10.2 ),-1.2 ),1.8 ),5.5 ),西北西 ),10.4 ),西北西 ),北西 ),3.1 ],,
22,1.0,1.0,0.5,3.7,8.0,-2.3,1.2,4.0,西,5.1,西,西,0.4,,
23,21.0,5.0,1.5,8.8,12.7,5.3,1.2,3.9,西北西,4.9,西北西,北西,0.0,,
24,0.0,0.0,0.0,10.1,14.5,5.5,2.2,6.1,西北西,10.9,西北西,西北西,1.9,,
25,0.0,0.0,0.0,6.4,10.4,0.9,0.9,3.1,南東,4.8,南東,東南東,3.1,,
26,0.0,0.0,0.0,8.6,14.6,4.6,1.9,3.9,北東,6.4,北東,西,4.1,,
27,6.0,3.5,1.0,8.2,10.1,5.9,2.6,6.9,東南東,14.3,東南東,東南東,0.0,,
28,3.0,1.5,1.0,9.7,10.8,8.1,2.4,5.2,東,9.6,東,西北西,0.0,,
29,0.0,0.0,0.0,8.2,13.9,2.8,2.8,7.2,西北西,11.5,西北西,西北西,3.2,,
30,0.0,0.0,0.0,5.3,12.1,0.3,3.5,7.5,西北西,12.1,西,西北西,5.7,,
31,0.0,0.0,0.0,4.0,8.1,1.5,3.0,7.4,西,13.2,西北西,西北西,3.1,,
