,降水量合計 (mm),最大1時間降水量 (mm),最大10分間降水量 (mm),平均気温,最高気温,最低気温,平均風速 (m/s),最大風速 (m/s),最大風向,最大瞬間風速 (m/s),最大瞬間風速風向,最多風向,日照時間 (h),降雪合計 (cm),最深積雪 (cm)
1,0.0,0.0,0.0,1.5,3.3,-0.9,1.2,3.2,北北西,7.3,北,北北西,0.0,0.0,1.0
2,0.0,0.0,0.0,3.9,6.6,1.2,1.4,4.0,北,8.3,北,西,2.7,0.0,0.0
3,0.0,0.0,0.0,5.3,6.9,3.8,1.7,4.1,北,8.6,北,北,0.4,0.0,0.0
4,14.5,3.5,1.5,3.3,6.4,0.8,1.9,6.6,北,16.5,北北西,北,0.5,0.0,0.0
5,1.5,1.0,0.5,1.6,3.6,0.4,2.9,4.7,北,9.2,北北西,北,1.1,2.0,1.0
6,0.0,0.0,0.0,2.3,5.4,-1.2,1.2,3.9,南南西,5.7,南,北北西,3.8,0.0,0.0
7,7.0,2.5,0.5,7.0,12.5,1.8,3.3,5.4,南南西,10.3,南南西,南南西,0.0,0.0,0.0
8,22.5,6.0,1.5,9.1,14.0,3.9,4.3,9.1,北北西,20.1,北北西,北北西,4.8,0.0,0.0
9,10.0,2.5,1.0,4.3,7.2,1.6,1.9,5.3,北,11.1,北北西,北,0.1,0.0,0.0
10,5.0,2.0,1.0,2.3,5.8,0.1,1.8,4.2,北北西,8.1,北西,北北西,2.5,0.0,0.0
11,0.0,0.0,0.0,4.2,8.6,-0.1,1.4,3.7,北,8.2,北,南西,5.7,0.0,0.0
12,1.0,0.5,0.5,4.0,7.4,2.2,1.1,3.4,北,7.0,南南西,西北西,0.3,0.0,0.0
13,0.0,0.0,0.0,3.1,6.4,0.5,1.9,4.8,北北西,11.9,北北西,北,5.5,0.0,0.0
14,0.0,0.0,0.0,3.0,5.6,0.1,1.4,3.5,南南東,5.7,南西,南西,1.6,0.0,0.0
15,9.0,3.0,1.0,1.1,3.3,-0.2,1.6 ),4.6 ),北北西 ),10.9 ),北西 ),北北西 ),0.7,1.0,1.0
16,0.0,0.0,0.0,1.7,5.5,-0.5,1.0 ],2.1 ],西北西 ],4.9 ],西南西 ],西南西 ],1.9,0.0,0.0
17,0.5,0.5,0.5,3.3,6.6,0.5,1.7,4.5,北北西,8.4,東,北北西,2.9,0.0,0.0
18,0.0,0.5,0.5,2.7,5.0,0.8,3.1,5.6,北,9.5,北,北北西,3.5,0.0,0.0
19,0.0,0.0,0.0,3.2,6.7,-0.5,1.5,4.0,南,8.6,北北西,西南西,2.8,0.0,0.0
20,0.5,0.5,0.5,3.6,6.2,0.7,1.6 ),3.6 ),北西 ),8.5 ),北西 ),南西,2.0,0.0,0.0
21,7.0,1.5,0.5,1.1,3.1,-0.5,1.6 ),3.8 ),北 ),7.6 ),北西 ),北北西 ),1.2,1.0,1.0
22,0.0,0.0,0.0,4.1,9.8,-1.1,1.7,3.3,南南西,8.6,東北東,南南西,1.0,0.0,0.0
23,14.0,4.0,1.0,7.9,10.4,5.4,2.1,4.4,南南西,7.5,南南西,南南西,0.0,0.0,0.0
24,2.5,1.0,0.5,5.6,7.8,1.5,2.3,4.1,北北西,6.9,北,北北西,0.4,0.0,0.0
25,0.0,0.0,0.0,2.0,3.9,0.2,1.7,3.2,東,5.3,東南東,北北西,0.5,0.0,0.0
26,0.0,0.0,0.0,4.5,8.2,1.5,1.4,4.1,東,7.6,東,北北西,4.7,0.0,0.0
27,9.5,5.5,1.5,3.7,5.4,2.3,2.4,4.6,南,11.2,南南西,南南東,0.0,0.0,0.0
28,8.5,1.5,0.5,5.9,7.3,3.5,2.4,5.5,南,14.6,南,南,0.0,0.0,0.0
29,14.5,2.0,1.0,5.2,6.8,2.7,2.5,4.5,北北西,8.3,北北西,北北西,1.4,0.0,0.0
30,27.5,5.0,2.0,2.3,4.2,0.4,2.6,4.9,北北西,10.5,北西,北北西,1.6,1.0,1.0
31,13.0,3.0,1.0,-0.2,1.4,-1.2,3.9,6.6,北北西,12.9,北北西,北北西,1.1,17.0,16.0
