,現地平均気圧 (hPa),海面平均気圧 (hPa),降水量合計 (mm),最大1時間降水量 (mm),最大10分間降水量 (mm),平均気温,最高気温,最低気温,日平均湿度 (%),最小湿度 (%),平均風速 (m/s),最大風速 (m/s),最大風速の風向,最大瞬間風速 (m/s),最大瞬間風速風向,日照時間 (h),降雪合計 (cm),最深積雪,天気概況昼,天気概況夜
1,1022.1,1027.1,,,,5.0,10.7,1.4,71.0,43.0,2.5,5.1,西,8.4,西北西,6.5,,,,
2,1020.6,1025.5,,,,6.5,12.0,1.2,72.0,44.0,2.2,4.5,西北西,7.0,西北西,6.9,,,,
3,1016.6,1021.5,,,,7.2,14.2,2.7,70.0,39.0,2.0,5.3,西北西,9.2,西北西,6.3,,,,
4,1014.1,1019.0,0.0,0.0,0.0,7.1,14.5,1.5,67.0,39.0,3.2,6.7,西北西,11.4,西北西,7.5,,,,
5,1022.7,1027.7,0.0,0.0,0.0,5.4,10.2,2.7,75.0,45.0,2.2,5.6,北北東,9.2,北,3.0,,,,
6,1024.1,1029.1,,,,5.6,12.0,0.3,72.0,46.0,2.0,4.3,北東,6.9,北北東,5.1,,,,
7,1016.5,1021.4,1.5,1.0,0.5,6.0,8.9,3.6,87.0,76.0,1.4,3.0,北東,4.7,東,0.0,,,,
8,1002.4,1007.1,9.5,7.0,3.0,12.6,17.5,7.8,73.0,45.0,6.1,12.3,西,22.1,西南西,3.6,,,,
9,1011.5,1016.4,0.0,0.0,0.0,8.6,13.6,3.5,70.0,49.0,2.5,6.1,北西,11.2,北西,5.7,,,,
10,1014.4,1019.3,,,,7.3,13.3,2.9,69.0,41.0,2.4,5.2,西北西,7.8,北北西,5.9,,,,
11,1012.1,1017.0,,,,5.6,11.9,1.5,83.0,56.0,2.0,4.9,南南西,6.9,南西,7.8,,,,
12,1007.4,1012.2,0.0,0.0,0.0,6.7,10.6,3.3,87.0,70.0,1.6,3.9,南南西,5.7,南西,0.0,,,,
13,1012.2,1017.1,,,,7.1,13.3,2.1,59.0,35.0,3.4,7.1,西,12.0,西,8.7,,,,
14,1017.1,1022.1,0.0,0.0,0.0,5.0,9.8,-0.1,75.0,50.0,1.4,3.2,西,4.9,西,2.4,,,,
15,1016.8,1021.7,0.0,0.0,0.0,6.1,12.4,2.5,75.0,45.0,2.5,6.0,西,9.2,南西,6.0,,,,
16,1018.5,1023.4,,,,4.4,11.4,-0.1,79.0,49.0,1.8,4.3,南,6.1,南,5.8,,,,
17,1013.4,1018.3,,,,6.6,12.5,2.4,73.0,48.0,1.6,5.5,北北東,9.2,北北東,2.5,,,,
18,1010.0,1014.9,,,,7.9,12.3,2.7,54.0,32.0,3.8,8.2,北北東,14.7,北北東,8.6,,,,
19,1012.3,1017.3,,,,5.2,11.7,-0.2,73.0,43.0,2.1,4.1,南,5.6,南,5.9,,,,
20,1013.5,1018.4,,,,7.3,13.5,3.4,65.0,41.0,2.3,5.8,西北西,9.6,北西,2.5,,,,
21,1021.4,1026.4,0.0,0.0,0.0,5.6,12.1,1.4,71.0,41.0,2.5,6.6,北北東,10.0,北北東,4.5,,,,
22,1023.1,1028.1,1.0,1.0,0.5,5.1,9.0,0.1,80.0,58.0,1.3,2.8,北北西,4.5,北北西,0.9,,,,
23,1015.5,1020.4,22.0,5.5,1.5,9.9,12.1,6.6,98.0,92.0,1.4,4.8,東北東,7.3,東北東,0.0,,,,
24,1020.8,1025.7,,,,10.4,13.7,6.8,80.0,50.0,3.1,7.7,北,12.7,北,1.7,,,,
25,1023.9,1028.8,,,,7.3,10.4,4.8,59.0,46.0,3.7,7.9,北北東,13.3,北,3.4,,,,
26,1020.2,1025.1,0.0,0.0,0.0,9.3,14.5,5.7,56.0,32.0,2.4,5.7,北北東,9.3,北,4.1,,,,
27,1011.6,1016.5,6.0,3.0,1.0,8.3,10.1,7.0,72.0,57.0,6.0,10.6,東北東,17.6,北東,0.0,,,,
28,1003.9,1008.6,3.0,1.5,0.5,10.9,14.3,9.3,81.0,63.0,4.1,9.6,東北東,17.4,東北東,0.0,,,,
29,1004.3,1009.1,0.5,0.5,0.5,9.6,15.0,4.9,79.0,51.0,3.0,6.0,西北西,11.6,西北西,5.7,,,,
30,1003.4,1008.2,0.0,0.0,0.0,6.7,14.4,2.0,74.0,44.0,3.0,6.7,西北西,10.5,北西,8.7,,,,
31,1009.5,1014.4,0.0,0.0,0.0,4.7,9.4,1.6,70.0,40.0,3.4,7.2,西北西,14.1,西,4.2,,,,
