,現地平均気圧 (hPa),海面平均気圧 (hPa),降水量合計 (mm),最大1時間降水量 (mm),最大10分間降水量 (mm),平均気温,最高気温,最低気温,日平均湿度 (%),最小湿度 (%),平均風速 (m/s),最大風速 (m/s),最大風速の風向,最大瞬間風速 (m/s),最大瞬間風速風向,日照時間 (h),降雪合計 (cm),最深積雪,天気概況昼,天気概況夜
1,1025.8,1026.5,0.0,0.0,0.0,5.3,8.7,3.2,79.0,54.0,1.4,3.9,西南西,7.2,西,0.2,,,,
2,1024.2,1024.9,0.0,0.0,0.0,6.6,11.2,3.7,81.0,48.0,1.0,3.8,西北西,7.0,西北西,2.8,,,,
3,1020.2,1020.9,0.5,0.5,0.5,8.0,12.3,5.3,73.0,50.0,1.3,3.3,西,7.6,南西,2.4,,,,
4,1018.2,1018.9,17.5,4.5,3.0,7.1,9.9,5.4,87.0,63.0,1.9,8.5,北西,16.1,北北西,0.5,,,,
5,1027.3,1028.0,2.0,0.5,0.5,5.8,8.5,2.0,73.0,51.0,2.5,5.5,北北西,12.3,北北西,1.4,,,,
6,1028.9,1029.6,,,,4.0,9.7,-0.7,85.0,49.0,1.0,3.0,北,4.7,北北東,2.4,,,,
7,1019.0,1019.7,5.0,2.0,0.5,7.4,14.7,2.5,92.0,80.0,1.6,6.5,南,11.5,南,0.0,,,,
8,1005.1,1005.8,12.5,7.5,3.0,13.1,17.8,8.1,74.0,44.0,4.3,8.9,南,20.2,北西,3.1,,,,
9,1015.7,1016.4,4.0,1.0,0.5,8.5,11.5,6.4,81.0,53.0,1.6,6.0,西北西,11.7,西,2.6,,,,
10,1019.0,1019.7,1.0,0.5,0.5,6.8,10.7,3.7,84.0,59.0,1.7,4.8,北北東,8.5,北,3.3,,,,
11,1016.0,1016.7,0.5,0.5,0.5,6.4,14.1,2.1,87.0,42.0,1.2,4.4,北西,7.0,北北西,4.9,,,,
12,1011.4,1012.1,0.0,0.0,0.0,6.1,10.4,3.1,88.0,62.0,1.1,4.8,北北西,7.9,北西,0.5,,,,
13,1015.5,1016.2,0.0,0.0,0.0,7.3,11.4,3.7,55.0,38.0,2.5,6.0,西南西,12.8,西南西,3.3,,,,
14,1020.6,1021.3,,,,5.5,9.2,1.9,73.0,53.0,0.8,2.2,南南東,3.3,南南東,1.9,,,,
15,1021.0,1021.7,6.0,3.0,1.5,4.6,9.5,1.3,90.0,58.0,1.4,5.0,北西,11.0,北西,0.5,,,,
16,1022.6,1023.3,0.0,0.0,0.0,5.6,9.7,3.4,87.0,60.0,1.1,2.7,北西,5.2,北西,2.9,,,,
17,1018.3,1019.0,0.5,0.5,0.5,6.5,11.7,3.1,80.0,56.0,1.4,4.1,北北東,8.2,北東,2.5,,,,
18,1015.5,1016.2,0.0,0.0,0.0,7.6,10.3,2.2,59.0,44.0,2.6,5.4,北,9.7,北北東,4.5,,,,
19,1016.1,1016.8,0.0,0.0,0.0,5.0,10.9,-1.1,75.0,41.0,1.2,3.2,南南西,6.0,南南西,3.3,,,,
20,1017.2,1017.9,0.0,0.0,0.0,7.3,13.0,4.4,67.0,36.0,1.7,5.4,西北西,10.6,西北西,1.5,,,,
21,1026.0,1026.7,11.0,2.5,1.5,5.4,7.9,3.1,89.0,67.0,1.5,4.2,北,8.0,北,1.1,,,,
22,1026.7,1027.4,0.0,0.0,0.0,5.1,8.2,1.5,88.0,73.0,0.9,2.1,南南東,3.4,南東,0.9,,,,
23,1020.1,1020.8,9.5,2.5,1.0,9.2,12.8,6.0,97.0,82.0,0.7,2.1,北北西,3.9,北北東,0.0,,,,
24,1026.3,1027.0,4.0,1.5,0.5,9.4,12.4,6.7,87.0,62.0,1.6,4.5,北,9.9,北,0.0,,,,
25,1029.5,1030.2,,,,6.4,9.2,4.1,69.0,50.0,1.5,4.0,北,6.8,北北西,1.0,,,,
26,1025.8,1026.5,,,,7.6,13.0,2.8,73.0,30.0,1.3,4.2,北北東,8.1,北北東,4.0,,,,
27,1018.7,1019.4,10.5,5.5,1.5,7.6,10.4,5.8,76.0,60.0,1.4,3.7,東,7.5,東北東,0.0,,,,
28,1009.2,1009.9,12.5,2.0,1.0,8.5,11.5,5.8,96.0,83.0,0.9,2.9,北西,4.8,北西,0.3,,,,
29,1008.5,1009.2,6.5,1.5,1.0,9.2,12.2,6.5,89.0,68.0,1.5,4.6,北西,8.4,北西,2.6,,,,
30,1007.7,1008.4,28.5,5.5,2.0,6.3,9.0,4.6,91.0,79.0,1.9,6.5,北西,11.6,北西,0.5,,,,
31,1013.8,1014.5,16.0,4.5,1.5,4.7,6.9,1.4,72.0,43.0,3.1,7.3,北西,12.7,北西,1.5,,,,
