,降水量合計 (mm),最大1時間降水量 (mm),最大10分間降水量 (mm),平均気温,最高気温,最低気温,平均風速 (m/s),最大風速 (m/s),最大風向,最大瞬間風速 (m/s),最大瞬間風速風向,最多風向,日照時間 (h),降雪合計 (cm),最深積雪 (cm)
1,0.0,0.0,0.0,2.9,9.5,-2.7,1.4,3.7,北西,5.7,北北東,西北西,,,
2,0.0,0.0,0.0,3.6,10.0,-3.9,1.9,5.7,北北東,8.2,北北西,北,,,
3,0.0,0.0,0.0,5.0,12.7,-2.6,1.7,3.9,北,5.1,北北西,北西,,,
4,1.0,1.0,0.5,4.8,10.7,-2.1,2.8,10.5,北,13.9,北,北,,,
5,0.0,1.0,0.0,3.7,9.3,-1.3,3.4,10.3,北,13.9,北,北西,,,
6,0.0,0.0,0.0,4.7,10.7,-4.0,2.8,6.9,北北西,9.8,西北西,北西,,,
7,6.0,1.5,0.5,5.2,9.2,-0.3,3.4,5.7,北北西,7.2,北北西,北北西,,,
8,9.0,7.0,2.5,5.4,7.9,3.8,2.6,7.5,北北西,11.3,北,西北西,,,
9,0.0,0.0,0.0,10.1,14.2,4.8,4.2,8.1,北西,14.4,西北西,西北西,,,
10,0.0,0.0,0.0,6.7,11.2,0.1,3.7,6.8,北東,9.8,北,北東,,,
11,0.0,0.0,0.0,5.5,10.6,1.4,2.5,5.5,北北西,7.2,北北西,北西,,,
12,0.0,0.0,0.0,4.9,9.3,-1.7,2.8,4.7,北北東,6.7,北北東,北北西,,,
13,0.0,0.0,0.0,7.1,13.1,0.6,2.3,4.8,北東,7.2,東北東,北西,,,
14,0.0,0.0,0.0,7.4,13.1,2.1,2.2,5.1,北,6.7,北,北,,,
15,16.0,6.0,1.5,6.3,8.4,2.2,2.5,4.6,北,7.2,北西,北西,,,
16,0.0,0.0,0.0,4.7,9.5,-2.2,1.7,5.1,北北東,7.2,北,北北西,,,
17,1.0,0.5,0.5,6.1,10.1,3.0,3.1,6.0,北東,9.3,北東,北北西,,,
18,14.5,3.0,1.0,4.0,6.2,2.5,7.1,10.4,北,14.9,北北東,北北西,,,
19,0.0,0.0,0.0,5.0,9.9,0.4,2.7,6.2,北北西,8.2,北北西,北西,,,
20,0.0,0.0,0.0,5.8,13.6,-1.0,1.4,4.0,西北西,6.7,西,西北西,,,
21,0.0,0.0,0.0,5.4,11.2,-2.4,4.0,10.9,北西,17.0,北,北西,,,
22,0.0,0.0,0.0,3.1,6.3,-2.2,2.5,4.9,北北西,6.2,北北西,北西,,,
23,8.0,2.0,0.5,5.5,9.4,2.9,2.4,6.1,北,8.2,北北西,北西,,,
24,0.0,0.0,0.0,8.7,13.5,4.9,2.2,4.8,北,6.2,北北西,北西,,,
25,0.0,0.0,0.0,6.4,10.3,1.5,3.2,6.9,北北東,8.7,北,北北東,,,
26,2.5,1.5,0.5,4.1,6.3,1.1,2.5,5.0,北東,10.8,北,北西,,,
27,4.0,2.0,0.5,5.2,8.1,1.2,3.8,7.1,北,10.8,北北東,北東,,,
28,37.5,6.5,1.5,8.5,13.3,2.6,5.0,8.7,北北西,12.3,東北東,東北東,,,
29,24.0,9.0,2.5,12.8,18.1,7.9,4.3,11.5,東南東,17.0,東南東,東,,,
30,0.0,0.0,0.0,10.7,16.4,6.2,2.4,5.0,西南西,7.7,南西,西南西,,,
31,0.0,0.0,0.0,7.2,10.9,1.7,5.8,12.5,北西,18.0,北西,北西,,,
