,降水量合計 (mm),最大1時間降水量 (mm),最大10分間降水量 (mm),平均気温,最高気温,最低気温,平均風速 (m/s),最大風速 (m/s),最大風向,最大瞬間風速 (m/s),最大瞬間風速風向,最多風向,日照時間 (h),降雪合計 (cm),最深積雪 (cm)
1,0.0,0.0,0.0,5.2,8.3,1.4,2.5,5.9,北,10.6,北,北,5.5,,
2,0.0,0.0,0.0,6.0,10.6,2.0,2.0,4.0,北北東,6.0,北東,東,4.1,,
3,0.0,0.0,0.0,6.3,11.3,1.4,1.7,3.0,東北東,4.1,東北東,東,9.4,,
4,0.0,0.0,0.0,6.6,10.6,2.7,2.2,5.0,北北東,10.7,北北東,北北東,2.0,,
5,0.5,0.5,0.5,5.4,9.3,1.3,2.9,7.2,北北東,12.7,北北東,北,9.6,,
6,0.0,0.0,0.0,7.4,10.9,2.8,2.4,5.6,北北西,9.7,北,北,8.2,,
7,2.5,1.0,0.5,5.7,7.8,3.5,2.1,4.2,北東,6.5,北北東,北北東,0.2,,
8,21.5,14.0,5.5,5.5,7.8,3.3,1.6,6.1,北北西,10.7,北西,北北東,2.0,,
9,0.0,0.0,0.0,10.6,14.3,4.0,3.5,8.6,北北西,15.6,北,北,9.4,,
10,0.0,0.0,0.0,7.2,10.7,5.2,2.8,6.4,東北東,8.9,東北東,北北東,5.8,,
11,0.0,0.0,0.0,6.4,11.4,3.5,1.7,3.4,東北東,5.3,北北東,東北東,3.8,,
12,0.0,0.0,0.0,6.1,9.0,2.5,1.5,3.6,東北東,4.8,北東,北東,0.3,,
13,0.0,0.0,0.0,7.2,13.5,3.1,1.9,3.3,西南西,5.9,南南西,東南東,9.5,,
14,0.0,0.0,0.0,7.9,12.1,3.8,1.8,3.3,西北西,5.1,西北西,北,8.4,,
15,14.0,6.0,1.5,7.3,8.6,6.0,2.1,5.8,北北西,11.9,北,北,2.4,,
16,0.0,0.0,0.0,6.4,8.9,3.4,2.4,4.6,北,7.6,北東,北,5.0,,
17,1.5,0.5,0.5,6.7,9.6,4.9,2.9,5.0,東北東,8.5,北東,東北東,2.6,,
18,20.5,3.0,1.0,3.3,5.6,1.2,5.2,8.1,北北東,14.1,東北東,北,0.0,,
19,0.0,0.0,0.0,6.1,10.3,1.2,2.2,4.4,北,8.0,北北東,南東,8.0,,
20,0.0,0.0,0.0,7.5,12.1,2.9,1.8,4.2,西南西,7.3,西南西,北北東,9.6,,
21,0.0,0.0,0.0,6.7,10.6,2.8,3.4,6.9,北,13.3,北,北,9.6,,
22,0.0,0.0,0.0,4.8,7.5,0.7,1.7,3.6,北北東,5.8,北北東,東,3.8,,
23,8.0,3.0,1.0,5.7,7.9,4.1,1.9,3.6,北,6.5,北,北,0.0,,
24,0.0,0.0,0.0,9.8,13.8,7.1,1.9,5.5,北,11.9,北,東南東,0.4,,
25,0.0,0.0,0.0,7.3,9.8,5.0,3.3,6.2,北北東,11.2,北,東北東,1.7,,
26,9.0,3.0,0.5,4.0,7.0,1.8,2.2,4.6,東北東,7.4,東北東,東北東,0.0,,
27,4.5,2.0,0.5,4.6,7.2,2.9,3.0,6.4,北北東,13.4,北北東,北東,0.0,,
28,58.0,11.5,2.5,5.4,9.1,2.1,3.9,6.2,北,11.6,北,北,0.0,,
29,25.0,16.0,4.5,12.2,17.7,7.8,2.9,6.3,西北西,10.9,北,南西,7.3,,
30,0.0,0.0,0.0,11.5,15.9,7.2,2.9,5.9,南西,10.4,南西,南西,10.0,,
31,0.0,0.0,0.0,8.3,11.0,6.2,4.5,7.3,北北西,13.4,北,北,4.3,,
