,現地平均気圧 (hPa),海面平均気圧 (hPa),降水量合計 (mm),最大1時間降水量 (mm),最大10分間降水量 (mm),平均気温,最高気温,最低気温,日平均湿度 (%),最小湿度 (%),平均風速 (m/s),最大風速 (m/s),最大風速の風向,最大瞬間風速 (m/s),最大瞬間風速風向,日照時間 (h),降雪合計 (cm),最深積雪,天気概況昼,天気概況夜
1,979.3,982.3,,,,1.4,3.9,-0.7,78.0,56.0,1.9,5.2,東北東,6.3,北東,1.8,1.0,159.0,曇後雪,雪
2,983.5,986.6,,,,-0.3,0.4,-1.2,90.0,81.0,2.0,4.2,北北東,4.8,北北東,0.5,2.0,161.0,雪後曇,曇後一時雪
3,985.6,988.7,,,,0.9,4.7,-1.1,78.0,57.0,4.2,7.3,南,10.2,北東,6.9,,157.0,薄曇,曇
4,977.2,980.3,,,,0.5,1.5,-0.6,82.0,60.0,11.4,19.0,北東,22.8,北東,1.0,1.0,155.0,曇後雪,ふぶき後一時曇
5,988.0,991.1,,,,-0.3,1.0,-1.9,85.0,66.0,6.9,15.7,北東,20.7,北東,11.9,,154.0,曇一時雪後一時晴,晴
6,990.5,993.6,,,,0.2,3.9,-4.0,64.0,48.0,3.4,6.0,北東,8.4,北東,22.7,,151.0,薄曇後一時晴,晴後薄曇
7,990.4,993.5,,,,0.5,4.0,-2.9,58.0,41.0,4.5,8.8,東北東,11.7,東北東,22.8,,150.0,薄曇後晴,晴一時薄曇
8,990.9,994.0,,,,-0.6,3.2,-4.3,61.0,45.0,2.2,4.1,南,5.3,南,24.0,,147.0,晴,晴後時々霧
9,986.8,989.9,,,,-0.8,2.4,-6.0,84.0,63.0,11.9,24.2,北東,28.0,北東,10.8,1.0,147.0,曇一時雪,雪
10,978.6,981.7,,,,0.3,1.2,-0.5,88.0,80.0,9.8,20.4,北東,25.5,北東,3.2,5.0,151.0,雪後曇一時晴,曇時々雪
11,978.2,981.2,,,,2.7,5.9,-0.4,67.0,45.0,2.5,5.8,東北東,8.0,東北東,6.4,,147.0,曇,曇時々晴
12,981.4,984.4,,,,1.1,3.2,-1.5,70.0,60.0,5.3,8.5,北東,11.0,北東,12.7 ),,144.0,曇後一時晴,晴
13,983.4,986.5,,,,-0.3,3.4,-3.4,68.0,48.0,3.4 ),8.9,東,11.1,東北東,22.9,,144.0,快晴,晴後時々霧
14,978.1,981.2,,,,-2.4,1.5,-6.8,73.0,55.0,3.1,7.4,東北東,9.8,東北東,19.6,,143.0,快晴,晴
15,976.3,979.4,,,,-0.4,2.0,-4.2,69.0,58.0,10.9,18.3,東北東,22.9,東北東,7.3,,142.0,曇,曇後雪
16,979.3,982.4,,,,0.0,1.3,-1.0,76.0,61.0,11.8,18.6,北東,23.2,北東,0.0,2.0,140.0,雪後曇,曇
17,984.3,987.4,,,,0.0,2.1,-1.4,69.0,50.0,4.7,10.6,北東,13.2,北東,3.4,,140.0,曇後一時雪,曇後一時雪
18,990.4,993.4,,,,0.9,4.5,-2.0,65.0,50.0,3.6,6.7,北東,8.4,北東,15.6,,139.0,曇後晴,晴
19,991.1,994.2,,,,-1.7,2.3,-5.4,81.0,69.0,2.1,4.1,西南西,4.8,西,20.3,,137.0,晴,晴時々霧一時雪
20,990.6,993.7,,,,-2.8,-0.6,-5.4,84.0,71.0,2.9,6.2,北北東,8.3,北北東,9.8,1.0,136.0,曇時々晴,晴時々曇
21,994.4,997.5,,,,-2.4,0.9,-5.4,74.0,62.0,2.0,3.9,南南西,5.3,南西,20.5,,135.0,快晴,快晴
22,994.9,998.1,,,,-2.9,-0.8,-6.6,70.0,50.0,1.3,2.8,南南東,3.7,南南東,19.4,,134.0,快晴,晴
23,996.4,999.6,,,,-1.3,2.1,-4.5,73.0,58.0,3.5,5.7,南,7.0,南,20.2,,133.0,快晴,晴
24,998.0,1001.2,,,,-1.0,3.1,-5.7,66.0,54.0,3.2,5.5,南,7.1,南,20.5,,132.0,晴,快晴
25,992.9,996.1,,,,-0.5,3.2,-3.9,63.0,46.0,1.9,4.1,南南東,5.7,南南東,20.3,,130.0,快晴,快晴
26,999.0,1002.2,,,,-1.8,0.1,-6.4,77.0,68.0,5.2,10.7,北東,12.9,北東,9.7,,128.0,晴後曇,曇後一時雪
27,995.9,999.1,,,,-0.4,2.2,-3.0,72.0,54.0,2.7,5.3,東,8.3,東,11.9,1.0,129.0,曇後晴,晴
28,974.3,977.4,,,,-0.5,2.4,-4.1,57.0,41.0,3.7,9.8,北東,13.2,北東,19.8,,129.0,薄曇時々晴,曇
29,978.3,981.4,,,,2.2,6.3,-0.4,63.0,46.0,4.8,10.6,東,14.0,東北東,8.4,,127.0,晴時々曇,曇
30,984.4,987.5,,,,2.4,6.1,0.0,64.0,44.0,3.0,7.8,北東,11.8,東北東,5.9,,124.0,曇時々晴,曇時々晴
31,987.1,990.3,,,,-0.2,1.0,-1.8,80.0,62.0,6.0,9.6,北東,12.6,北東,9.9,,121.0,晴後曇,曇一時雪
