,降水量合計 (mm),最大1時間降水量 (mm),最大10分間降水量 (mm),平均気温,最高気温,最低気温,平均風速 (m/s),最大風速 (m/s),最大風向,最大瞬間風速 (m/s),最大瞬間風速風向,最多風向,日照時間 (h),降雪合計 (cm),最深積雪 (cm)
1,0.0,0.0,0.0,2.9,8.7,-1.6,1.4,3.0,北,6.9,南西,北北東,4.6,,
2,0.0,0.0,0.0,4.3,11.0,-0.6,1.3,2.8,南西,6.6,南西,北東,6.8,,
3,0.0,0.0,0.0,6.0,12.4,2.3,1.2,3.4,南西,8.6,西南西,北北東,5.5,,
4,0.0,0.0,0.0,6.1,12.0,0.8,1.0,2.7,西,8.8,西,北西,4.4,,
5,0.0,0.0,0.0,5.2,8.2,1.3,1.7,4.6,北,10.7,北東,北,2.0,,
6,0.0,0.0,0.0,4.5,10.0,-1.3,1.7,3.4,北,5.4,南東,北東,6.6,,
7,0.5,0.5,0.5,5.4,11.8,2.1,1.8,3.5,北北東,5.7,北北東,東北東,0.0,,
8,18.0,15.0,7.5,12.6,17.2,8.4,2.5,4.7,西北西,14.5,西南西,北西,1.6,,
9,0.0,0.0,0.0,8.7,12.8,6.3,1.2,3.0,南西,7.3,北西,西北西,3.8,,
10,0.0,0.0,0.0,6.9,11.3,2.1,1.3,5.0,北,9.2,北北西,北,3.4,,
11,0.0,0.0,0.0,5.0,12.6,0.5,1.9,3.8,西南西,8.0,西南西,北東,7.7,,
12,0.0,0.0,0.0,5.6,9.0,1.4,1.3,3.9,北北東,5.3,北北東,北東,0.0,,
13,0.0,0.0,0.0,6.5,10.7,3.4,1.4,3.6,西,10.2,西南西,北西,6.3,,
14,5.5,1.5,0.5,4.2,10.0,-0.5,1.5,3.3,北,5.5,北,北東,4.3,,
15,1.0,1.0,0.5,4.5,8.8,1.1,1.2,3.1,北,7.1,西南西,北,2.0,,
16,0.0,0.0,0.0,2.9,8.1,-1.2,1.7,3.4,北北東,4.5,北北東,北東,1.8,,
17,6.0,1.5,0.5,3.4,5.3,1.3,2.0,4.2,北北東,5.5,北東,北東,0.0,,
18,3.5,1.5,0.5,4.8,9.1,0.8,1.6,4.5,北,8.6,北,北東,3.5,,
19,0.0,0.0,0.0,4.5,10.9,-1.3,1.3,3.4,東北東,5.1,北,北北東,5.9,,
20,0.0,0.0,0.0,6.3,11.3,1.3,1.2,3.4,北北西,9.3,北,西北西,5.3,,
21,0.0,0.0,0.0,5.4,10.5,-0.1,1.8,7.0,北,10.5,北,北,3.5,,
22,4.0,1.5,0.5,5.0,13.7,-2.0,2.0,3.5,南西,7.1,西南西,北東,4.7,,
23,19.0,5.0,1.5,8.3,10.3,5.8,1.8,5.0,北北東,8.1,東北東,北東,0.0,,
24,0.0,0.0,0.0,9.0,11.8,7.1,2.0,4.4,北東,8.3,東北東,北東,0.1,,
25,1.0,0.5,0.5,6.2,8.6,3.9,2.8,5.8,北東,11.3,北北東,東北東,1.0,,
26,4.5,2.0,0.5,5.9,8.5,3.7,2.1,4.3,北北東,6.6,北北東,北東,0.0,,
27,10.0,2.5,1.0,7.6,10.9,4.8,4.1,10.0,北東,16.2,北東,北東,0.0,,
28,0.0,0.0,0.0,10.1 ),16.6 ),6.2 ),2.5 ),8.6 ),北北東 ),14.1 ),北北東 ),西 ),2.8 ],,
29,3.0,1.5,0.5,8.6,11.4,4.8,1.0,2.3,西,6.2,西南西,北西,0.7,,
30,0.0,0.0,0.0,6.4,11.5,2.7,1.2,3.7,北,6.7,北北西,北北西,1.7,,
31,0.0,0.0,0.0,4.9,7.9,3.1,1.5,3.9,北北西,9.6,西北西,西,1.1,,
