,降水量合計 (mm),最大1時間降水量 (mm),最大10分間降水量 (mm),平均気温,最高気温,最低気温,平均風速 (m/s),最大風速 (m/s),最大風向,最大瞬間風速 (m/s),最大瞬間風速風向,最多風向,日照時間 (h),降雪合計 (cm),最深積雪 (cm)
1,0.0,0.0,0.0,2.7,12.2,-3.5,0.8,2.7,北北東,5.8,北,北西,8.4,,
2,0.0,0.0,0.0,2.5,13.7,-4.8,0.7,2.3,北,5.2,北,南西,8.2,,
3,0.0,0.0,0.0,4.7,13.5,-2.4,0.9,2.3,南西,5.2,北,南南西,7.9,,
4,0.0,0.0,0.0,6.4,15.0,-1.9,1.0,3.2,北北東,7.7,北北東,南西,8.4,,
5,0.0,0.0,0.0,3.7,11.3,-2.0,1.0,4.0,北東,7.5,北東,北北東,6.1,,
6,0.0,0.0,0.0,4.7,11.9,-2.5,0.4 ),1.8 ),北東 ),2.8 ),東 ),東北東 ),0.6,,
7,0.0,0.0 ],0.0 ),12.5 ),19.3 ),6.7 ),1.4 ),4.8 ),南西 ),8.4 ),南南西 ),南西 ),0.7 ],,
8,3.5,3.0,1.0,12.2,16.8,4.2,2.1,4.7,西南西,14.7,南南西,西北西,6.6,,
9,0.0,0.0,0.0,8.9,16.0,2.2,0.9,2.9,北,6.4,北北東,北北西,7.6,,
10,0.0,0.0,0.0,6.3,12.4,-0.4,1.2,4.0,北北東,8.1,北北東,北北東,7.9,,
11,0.0,0.0,0.0,5.4,13.7,-0.6,0.5,3.3,東,6.5,東,北東,3.4,,
12,0.0,0.0,0.0,6.9,11.5,4.9,1.0,2.5,北北西,7.8,北北西,北北東,0.4,,
13,0.0,0.0,0.0,6.1,12.0,-1.5,1.4,3.8,北東,8.6,北北西,北,8.6,,
14,1.5,1.0,0.5,1.8,5.1,-2.7,0.4,1.6,南南東,3.6,西北西,南西,0.0,,
15,0.0,0.0,0.0,3.0,9.3,-1.8,0.8,3.4,北北東,7.1,北東,北北東,6.9,,
16,0.0,0.0,0.0,3.4,7.9,-0.6,0.4,1.8,東,3.4,東,北東,0.0,,
17,0.5,0.5,0.5,4.3,10.3,-1.4,0.7,4.0,北北東,6.6,北北東,南西,2.5,,
18,0.0,0.0,0.0,4.1,13.4,-2.0,1.0,3.9,北北東,8.9,北,北北東,7.3,,
19,0.0,0.0,0.0,4.6,14.2,-2.7,0.7,2.0,北北西,6.3,北西,北北東,4.2,,
20,0.0,0.0,0.0,6.3,12.6,-0.2,1.3,3.6,北,8.9,北西,北北西,5.8,,
21,0.0,0.0,0.0,5.0,11.3,-1.8,1.2,4.6,北東,7.8,北北東,北北東,8.9,,
22,0.0,0.0,0.0,4.5,11.7,-2.5,0.6,2.9,南南西,8.4,南南東,北東,0.0,,
23,3.0,2.0,1.0,13.7,21.3,9.9,1.0,4.4,南,8.3,南南東,南,4.9,,
24,0.0,0.0,0.0,11.9,14.7,9.9,1.0,3.1,北北東,5.7,北北東,北東,0.0,,
25,23.5,5.5,1.5,7.8,11.3,6.2,0.3,1.6,北北東,3.4,北北東,北東,0.0,,
26,8.0,2.0,0.5,7.3,8.9,6.2,0.4,2.4,北東,4.3,北東,北北東,0.0,,
27,55.0,8.0,2.5,8.8,12.2,6.6,0.7,3.1,北,6.5,西北西,北北東,0.0,,
28,0.0,0.0,0.0,10.1,15.2,4.3,1.0,3.5,北東,8.0,北東,西,4.4,,
29,0.0,0.0,0.0,7.7,14.6,2.7,0.9,3.4,北北東,7.4,北北東,北北東,4.3,,
30,0.0,0.0,0.0,6.3,11.5,2.3,1.2,4.8,北東,8.7,北東,北,2.6,,
31,0.0,0.0,0.0,5.1,10.1,0.1,1.4,4.3,北北東,10.2,北東,北北東,5.1,,
