,降水量合計 (mm),最大1時間降水量 (mm),最大10分間降水量 (mm),平均気温,最高気温,最低気温,平均風速 (m/s),最大風速 (m/s),最大風向,最大瞬間風速 (m/s),最大瞬間風速風向,最多風向,日照時間 (h),降雪合計 (cm),最深積雪 (cm)
1,0.0,0.0,0.0,0.4,8.5,-4.5,0.7 ],2.7 ],西 ],6.4 ],西南西 ],西南西 ],8.4,,
2,0.0,0.0,0.0,2.1,10.5,-4.2,0.5,3.6,南西,7.2,南南西,西南西,7.7,,
3,0.0,0.0,0.0,4.3,11.5,-0.3,0.5,3.2,南南西,5.9,北北西,南西,5.1,,
4,0.0,0.0,0.0,3.2,10.9,-1.8,0.7,3.4,南西,7.5,西,南西,7.4,,
5,0.0,0.0,0.0,2.9,10.5,-1.9,0.6,3.3,北東,6.3,北東,北北東,6.8,,
6,0.0,0.0,0.0,4.6,12.6,-2.4,0.4,2.4,北北東,5.2,北北東,北,0.4,,
7,0.0,0.0,0.0,13.7,18.6,7.1,1.5,5.8,南南西,13.8,南,南南西,0.4,,
8,18.0,9.0,4.0,9.8,17.5,3.8,2.4,6.4,南南西,13.8,南西,南西,3.8,,
9,0.0,0.0,0.0,6.4,11.5,2.9,0.6,2.8,西南西,6.2,西南西,南西,4.0,,
10,0.0,0.0,0.0,3.8,11.0,-1.0,0.7,3.6,北東,6.9,東北東,北東,8.5,,
11,0.0,0.0,0.0,4.6,12.5,-1.5,0.5 ),2.8 ),南西 ),5.2 ),南南西 ),西 ),4.3,,
12,0.0,0.0,0.0,5.1,8.6,2.7,0.6,3.2,南西,7.5,西,南南西,0.7,,
13,0.0,0.0,0.0,4.0,8.1,-1.8,0.9,2.6,西南西,7.6,北北西,西南西,4.0,,
14,3.0,1.5,0.5,1.1,3.5,-2.6,0.2,1.6,南西,2.8,南西,西南西,0.0,,
15,0.0,0.0,0.0,1.0,5.0,-1.3,0.2,2.5,南西,5.2,南南西,西南西,0.4,,
16,0.0,0.0,0.0,1.9,6.7,-1.3,0.2 ],1.7 ],北北東 ],3.7 ],北北東 ],北 ],0.0,,
17,0.0,0.0,0.0,4.2,10.1,0.1,0.6,3.5,北北東,6.3,北東,北北東,5.2,,
18,0.0,0.0,0.0,3.5,10.4,-1.3,0.6,2.5,西,6.2,北西,西南西,2.5,,
19,0.0,0.0,0.0,3.1,9.7,-2.5,0.4,2.6,南西,6.5,西南西,西南西,1.0,,
20,0.0,0.0,0.0,4.2,7.8,0.7,0.7,2.9,西南西,8.3,南西,西南西,1.2,,
21,0.0,0.0,0.0,2.3,9.9,-2.2,0.8,3.9,北東,7.5,東北東,北東,7.6,,
22,3.0,1.5,0.5,3.4,7.4,-2.5,0.2,1.7,南西,3.0,南南西,南西,0.0,,
23,15.0,6.5,1.5,12.2,18.9,7.0,0.7,2.7,南西,5.5,南南西,西南西,5.4,,
24,0.0,0.0,0.0,11.1,13.6,8.8,1.1,3.1,北北東,5.6,北東,北東,0.1,,
25,15.5,4.0,1.5,7.3,9.6,5.9,1.4,3.2,北北東,6.1,北北東,北北東,0.0,,
26,5.5,2.0,0.5,6.9,9.1,5.3,1.5,3.9,北北東,7.2,北北東,北北東,0.0,,
27,20.0,4.0,1.5,7.3,9.3,5.4,2.6,6.5,東北東,13.5,東,北東,0.0,,
28,4.5,2.5,1.5,7.8,10.9,6.0,0.5,2.7,北東,5.6,北東,北北東,0.1,,
29,4.5,1.5,0.5,6.8,11.1,4.9,0.6,2.5,南西,4.5,北北東,北東,1.4,,
30,0.0,0.5,0.0,5.3,8.9,1.6,0.9,3.4,北東,7.1,北東,北北東,2.0,,
31,0.5,0.5,0.5,3.3,6.8,0.5,0.7,3.0,北東,7.6,北北東,北北東,1.6,,
