,降水量合計 (mm),最大1時間降水量 (mm),最大10分間降水量 (mm),平均気温,最高気温,最低気温,平均風速 (m/s),最大風速 (m/s),最大風向,最大瞬間風速 (m/s),最大瞬間風速風向,最多風向,日照時間 (h),降雪合計 (cm),最深積雪 (cm)
1,5.0,2.0,1.0,-7.7,-5.2,-10.3,3.6,6.2,南西,13.1,西,西南西,0.1,14.0,53.0
2,2.0,1.0,0.5,-5.9,-4.4,-7.0,2.5,6.1,西,11.6,西,西,0.3,7.0,56.0
3,2.5,1.0,0.5,-7.2,-3.2,-16.8,1.3,6.0,西南西,10.3,西,西南西,0.0,8.0,55.0
4,0.5,0.5,0.5,-13.0,-6.0,-19.5,0.5,2.8,西南西,6.9,西南西,西南西,0.5,0.0,53.0
5,1.5,1.0,0.5,-10.9,-3.5,-18.1,0.8 ),3.1 ),西南西 ),6.3 ),西南西 ),西南西 ),3.1,5.0,52.0
6,0.5,0.5,0.5,-3.8,-1.1,-11.1,1.3,3.6,北北西,7.7,西北西,西北西,0.9,3.0,52.0
7,0.0,0.0,0.0,-2.1,-0.2,-5.0,0.9,2.5,西北西,5.6,西,西北西,0.7,0.0,49.0
8,0.0,0.0,0.0,-8.0,-1.5,-18.5,0.5,2.3,東,3.6,東,南西,4.1,0.0,46.0
9,0.0,0.0,0.0,-11.3,-2.3,-19.1,0.6,2.9,北北東,5.3,北,南西,4.0,0.0,44.0
10,0.0,0.0,0.0,-10.3,-2.3,-19.6,0.5,1.3,南西,2.8,南南東,南西,1.9,0.0,43.0
11,0.0,0.0,0.0,-3.5,1.4,-10.7,0.6,1.5,西南西,3.6,南南東,西南西,1.7,0.0,43.0
12,0.0,0.0,0.0,-4.4,-1.0,-12.8,0.5,3.3,西南西,6.3,西南西,西南西,1.3,2.0,44.0
13,0.0,0.0,0.0,-8.2,-2.7,-13.1,0.1 ],0.8 ],南西 ],2.2 ],西 ],南西 ],1.3,3.0,46.0
14,1.0,0.5,0.5,-9.4,-4.7,-15.4,,,,,,,2.5,5.0,51.0
15,0.0,0.0,0.0,-12.3,-4.6,-19.8,0.3 ],1.9 ],北 ],2.8 ],北 ],北東 ],2.7,5.0,51.0
16,0.0,0.0,0.0,-10.8,-3.5,-19.5,0.7,3.9,西南西,7.3,西南西,南西,2.9,1.0,51.0
17,1.0,0.5,0.5,-8.7,-2.2,-15.9,1.0,5.2,西,9.8,西南西,西南西,3.2,5.0,53.0
18,0.0,0.0,0.0,-8.8,-0.7,-17.1,0.6,2.2,北西,4.3,北西,西南西,6.1,1.0,51.0
19,0.0,0.0,0.0,-10.5,-2.4,-18.9,0.6,2.5,西南西,4.1,西南西,西南西,5.7,0.0,48.0
20,0.0,0.0,0.0,-5.8,-1.7,-12.1,0.5,1.8,西南西,2.6,西南西,西南西,1.3,3.0,48.0
21,1.0,0.5,0.5,-7.4,-2.4,-14.1,1.3,4.3,西南西,8.8,西南西,西南西,1.9,3.0,51.0
22,4.0,2.5,1.0,-3.2,1.2,-15.3,1.3,5.2,西南西,10.8,西南西,南西,1.9,5.0,52.0
23,0.0,0.0,0.0,-6.6,0.4,-13.0,0.8 ),3.4 ),西南西 ),5.4 ),南西 ),南西 ),4.2,0.0,51.0
24,5.5,2.0,1.0,-6.9,-2.9,-10.5,2.1,5.8,西南西,12.9,西,西南西,0.8,14.0,62.0
25,0.5,0.5,0.5,-9.9,-8.3,-12.8,2.4,4.6,西南西,12.6,西北西,西南西,1.7,0.0,62.0
26,0.5,0.5,0.5,-10.4,-3.6,-20.8,1.8,5.7,西南西,9.6,西南西,西南西,4.0,0.0,61.0
27,0.0,0.0,0.0,-8.0,-1.4,-20.3,1.2,4.1,北,7.1,北北西,西北西,5.2,0.0,58.0
28,0.0,0.0,0.0,-13.7,-0.8,-22.6,0.7,2.5,西南西,3.9,西南西,西南西,7.3,0.0,56.0
29,0.0,0.0,0.0,-8.3,-2.3,-18.5,0.3,1.1,北北東,2.3,北北東,北東,0.3,1.0,54.0
30,44.5,5.0,1.5,-2.1,0.1,-4.2,4.0,8.8,北東,18.6,北東,北東,0.0,43.0,97.0
31,42.5,6.0,1.5,-3.9,-2.6,-4.4,5.2,7.9,北北東,16.7,北北東,北北東,0.0,13.0,110.0
