,降水量合計 (mm),最大1時間降水量 (mm),最大10分間降水量 (mm),平均気温,最高気温,最低気温,平均風速 (m/s),最大風速 (m/s),最大風向,最大瞬間風速 (m/s),最大瞬間風速風向,最多風向,日照時間 (h),降雪合計 (cm),最深積雪 (cm)
1,0.0,0.0,0.0,-7.8,-5.0,-11.0,11.9,15.6,西,21.1,西,西,,,
2,0.0,0.0,0.0,-5.5,-3.0,-7.2,10.0,13.7,西,19.0,西,西,,,
3,0.0,0.0,0.0,-5.8,-3.5,-8.5,8.3,12.0,西北西,18.0,西北西,西北西,,,
4,0.0,0.0,0.0,-6.3,-4.0,-8.2,5.4,7.9,西北西,12.3,西北西,北西,,,
5,0.0,0.0,0.0,-4.1,-2.6,-5.7,5.5,7.8,西北西,11.8,西北西,西北西,,,
6,0.0,0.0,0.0,-1.7,0.3,-3.8,7.2,9.2,北西,15.4,北北東,北北西,,,
7,0.0,0.0,0.0,-0.9,-0.1,-1.9,3.0,6.5,北,10.8,北,北,,,
8,0.0,0.0,0.0,-1.8,0.2,-3.9,3.9,7.2,東北東,10.3,東,東,,,
9,0.0,0.0,0.0,-2.2,-0.9,-4.4,4.8,7.9,北北東,11.3,北北東,北北東,,,
10,0.0,0.0,0.0,-1.5,0.6,-5.7,2.8,5.1,西,7.2,南西,南南西,,,
11,3.5,1.0,0.5,0.0,1.6,-1.2,3.3,8.3,西南西,10.8,西南西,南南西,,,
12,0.0,0.0,0.0,-3.0,-1.0,-5.1,4.6,6.5,西,9.8,西南西,西,,,
13,5.0,2.0,1.0,-4.6,-3.8,-5.9,4.3,7.8,西北西,10.8,西,西北西,,,
14,2.5,1.5,1.0,-5.7,-3.6,-8.7,2.9,9.2,北,13.4,北,北東,,,
15,3.0,1.0,0.5,-5.8,-4.9,-9.1,2.6,5.9,北北西,8.7,北北西,東,,,
16,0.0,0.0,0.0,-4.6,-3.3,-6.3,4.8,7.7,西南西,11.3,西南西,西,,,
17,0.0,0.0,0.0,-4.3,-3.1,-5.3,6.4,8.7,西南西,11.8,西,西,,,
18,0.0,0.0,0.0,-5.3,-2.0,-9.0,3.2,6.5,西,9.8,西,西,,,
19,0.0,0.0,0.0,-3.4,-0.7,-8.6,4.2,10.6,南西,12.3,南西,東,,,
20,0.5,0.5,0.5,-2.0,-0.4,-3.5,3.4,6.8,西南西,9.8,北西,北西,,,
21,0.5,0.5,0.5,-3.9,-2.4,-5.1,5.9,8.8,西,12.3,西,北西,,,
22,0.0,0.0,0.0,-0.9,1.3,-3.2,8.6,11.7,西南西,14.9,南西,西南西,,,
23,0.0,0.0,0.0,-2.7,-0.3,-6.4,3.7,8.4,南西,10.8,西南西,西北西,,,
24,0.0,0.0,0.0,-5.2,-0.3,-8.7,8.8,11.3,西,15.9,西北西,西北西,,,
25,0.0,0.0,0.0,-9.3,-8.1,-10.7,8.6,11.4,西,17.0,西,北西,,,
26,0.0,0.0,0.0,-6.0,-2.7,-9.8,7.3,11.3,西,15.4,西,西,,,
27,0.0,0.0,0.0,-4.3,-1.9,-7.9,3.5,6.6,北西,9.8,北西,北西,,,
28,0.0,0.0,0.0,-4.8,1.8,-9.5,2.6,5.1,東,7.2,東,南南東,,,
29,0.0,0.0,0.0,-2.5,-0.8,-6.1,6.7,9.8,東北東,12.9,東北東,東,,,
30,2.5,1.5,0.5,-1.0,0.3,-2.4,14.6,20.2,北東,27.3,北東,東北東,,,
31,0.5,0.5,0.5,-3.2,-2.0,-4.0,13.9,18.1,北東,24.2,東北東,北東,,,
