,降水量合計 (mm),最大1時間降水量 (mm),最大10分間降水量 (mm),平均気温,最高気温,最低気温,平均風速 (m/s),最大風速 (m/s),最大風向,最大瞬間風速 (m/s),最大瞬間風速風向,最多風向,日照時間 (h),降雪合計 (cm),最深積雪 (cm)
1,0.0,0.0,0.0,-6.7,-4.2,-10.1,6.2,10.7,西北西,16.8,西北西,西,0.1,,
2,0.0,0.0,0.0,-4.5,-2.2,-6.3,6.3,9.7,西北西,15.7,西北西,西北西,0.4,,
3,0.0,0.0,0.0,-5.0,-2.4,-8.1,5.4,8.8,西北西,15.3,北北西,西北西,0.5,,
4,0.0,0.0,0.0,-5.5,-3.0,-7.3,3.9,7.1,西北西,12.3,西北西,北西,0.0,,
5,0.0,0.0,0.0,-3.4,-1.7,-4.8,3.8,6.7,西北西,12.3,西北西,北西,0.8,,
6,0.0,0.0,0.0,-1.3,0.5,-3.2,5.4,9.1,北,16.3,北,北,0.5,,
7,0.0,0.0,0.0,-0.5,0.2,-1.2,3.1,6.5,北北東,12.2,北,北北東,0.0,,
8,0.0,0.0,0.0,-1.2,1.2,-2.8,2.9,7.6,北北東,11.6,北,北北東,4.1,,
9,0.0,0.0,0.0,-2.0,-0.9,-3.4,4.3,6.7,北北東,10.9,北北東,北北東,4.0,,
10,0.0,0.0,0.0,-0.5,1.2,-3.9,2.1,4.7,南南西,7.7,南南西,北東,1.3,,
11,4.0,1.0,1.0,0.3,1.9,-1.0,2.6,7.1,南西,11.6,南,南,0.1,,
12,1.5,1.5,0.5,-2.4,-0.3,-3.8,2.8,5.2,西北西,8.4,西北西,西北西,0.6,,
13,2.5,1.5,0.5,-3.7,-3.1,-4.4,4.0,7.5,西北西,10.6,西北西,西北西,1.9,,
14,2.0,0.5,0.5,-5.2,-2.8,-7.3,2.9,7.4,北,12.8,北,北北東,1.7,,
15,1.5,1.0,0.5,-5.2,-3.5,-6.3,2.1,4.1,西北西,6.8,西北西,北北東,1.6,,
16,0.0,0.0,0.0,-3.9,-2.4,-5.3,2.8,5.3,南西,8.6,南西,西,1.2,,
17,0.0,0.0,0.0,-3.6,-2.3,-4.6,3.5,5.7,西北西,9.2,西北西,西北西,1.8,,
18,0.0,0.0,0.0,-4.4,-2.3,-8.0,2.0,4.0,西,7.4,西北西,東北東,5.5,,
19,0.0,0.0,0.0,-2.7,0.3,-7.1,2.1,7.1,南西,9.8,南西,南,3.4,,
20,0.5,0.5,0.5,-1.8,-0.3,-3.1,2.5,4.8,北,8.2,北北西,北,1.1,,
21,0.5,0.5,0.5,-3.3,-1.4,-4.8,4.4,6.9,西北西,12.4,西北西,北北西,1.4,,
22,0.0,0.0,0.0,0.1,2.0,-2.0,4.3,7.0,南西,10.9,南西,南西,3.1,,
23,0.0,0.0,0.0,-1.9,0.7,-4.5,2.4,5.5,南西,8.9,南南西,北北西,5.1,,
24,0.0,0.0,0.0,-4.3,0.6,-7.9,6.6,9.9,西北西,15.5,西北西,西北西,0.1,,
25,0.0,0.0,0.0,-8.3,-6.8,-9.7,5.3,9.4,西北西,14.5,西北西,北西,0.3,,
26,0.0,0.0,0.0,-5.2,-1.7,-9.4,4.4,8.6,西北西,13.3,西北西,西北西,3.4,,
27,0.0,0.0,0.0,-3.1,-1.4,-5.9,2.7,5.3,北北西,10.4,北,北北西,6.1,,
28,0.0,0.0,0.0,-3.3,1.1,-8.3,1.1,2.9,北北東,4.6,南,東南東,7.5,,
29,2.0,0.5,0.5,-1.7,1.2,-6.1,0.9,2.7,南,3.9,南西,北北東,0.0,,
30,9.0,2.0,0.5,-1.5,0.6,-2.9,8.6,16.2,北北東,28.8,北東,北北東,0.0,,
31,5.5,1.0,0.5,-3.4,-2.7,-4.0,6.7,13.3,北北東,24.8,北北東,北北東,0.0,,
