,降水量合計 (mm),最大1時間降水量 (mm),最大10分間降水量 (mm),平均気温,最高気温,最低気温,平均風速 (m/s),最大風速 (m/s),最大風向,最大瞬間風速 (m/s),最大瞬間風速風向,最多風向,日照時間 (h),降雪合計 (cm),最深積雪 (cm)
1,2.0,0.5,0.5,-8.5,-6.5,-11.0,6.1,9.3,西南西,14.7,西南西,西南西,0.8,7.0,9.0
2,0.0,0.0,0.0,-6.5,-4.1,-7.9,4.9,8.0,西,15.7,西,西,0.8,0.0,6.0
3,1.0,0.5,0.5,-6.6,-4.2,-9.9,4.3,7.8,西,13.3,西,西南西,0.3,5.0,10.0
4,3.0,0.5,0.5,-8.2,-5.9,-10.9,3.5,7.7,北西,10.8,北北西,西北西,1.3,10.0,18.0
5,1.0,0.5,0.5,-5.6,-3.7,-8.6,3.4,6.4,北西,11.1,北西,西北西,3.7,2.0,18.0
6,0.0,0.0,0.0,-2.4,-0.6,-4.6,8.4,13.1,北西,20.4,北西,北西,0.9,2.0,15.0
7,0.0,0.0,0.0,-1.8,-0.9,-3.0,3.9,8.5,北北西,12.1,北北西,北北西,0.1,1.0,9.0
8,0.0,0.0,0.0,-3.8,-1.8,-11.0,3.1,5.4,南東,7.8,南東,南南西,5.5,0.0,9.0
9,0.0,0.0,0.0,-3.8,-1.6,-12.3,5.4,9.1,北東,11.6,北北西,北北西,5.7,0.0,9.0
10,0.0,0.0,0.0,-5.1,-0.4,-10.7,2.4,6.6,北北西,10.1,北西,南西,3.5,1.0,9.0
11,0.0,0.0,0.0,-2.0,1.1,-5.7,2.1,4.1,南南西,5.6,南西,南南西,0.7,1.0,9.0
12,0.5,0.5,0.5,-4.3,-1.6,-8.9,2.4,4.6,南西,6.7,西,南西,2.5,6.0,13.0
13,3.5,1.5,0.5,-5.5,-3.3,-9.1,3.0,6.6,北,9.7,北,南南西,3.2,19.0,27.0
14,4.0,2.5,1.0,-6.5,-4.3,-14.8,4.2,9.4,北東,12.8,北東,東北東,0.5,17.0,37.0
15,1.5,1.0,0.5,-7.6,-5.0,-15.4,3.9,6.3,東北東,7.9,東北東,東北東,0.0,14.0,46.0
16,0.0,0.0,0.0,-8.1,-3.8,-12.8,2.9,6.0,西南西,8.9,西南西,南西,6.3,0.0,44.0
17,0.0,0.0,0.0,-6.5,-3.8,-10.5,3.7,6.8,西,11.2,西,西南西,4.3,1.0,34.0
18,0.0,0.0,0.0,-7.5,-3.1,-13.8,2.5,5.0,南南西,6.6,南南西,南西,4.9,1.0,29.0
19,0.0,0.0,0.0,-7.4,-2.6,-15.8,3.0,6.2,南東,7.9,東南東,南西,6.4,1.0,26.0
20,3.5,2.0,1.5,-4.2,-0.4,-10.4,2.9,8.3,北,10.3,北,南西,1.9,6.0,29.0
21,1.5,0.5,0.5,-5.0,-2.2,-8.1,5.4,9.2,北北西,13.3,北,北北西,2.5,4 ],38 ]
22,0.0,0.0,0.0,-3.1,0.3,-9.4,3.5,9.1,西南西,13.3,西南西,西南西,5.7,3.0,37.0
23,0.0,0.0,0.0,-4.6,-1.8,-9.1,2.8,5.1,北西,7.4,北西,南西,5.7,2.0,34.0
24,2.0,1.0,1.0,-6.3,-2.3,-8.7,4.9,8.5,西,13.7,西,西,1.2,6.0,36.0
25,2.5,0.5,0.5,-10.2,-8.1,-11.5,5.2,7.5,北西,15.1,北西,西北西,0.0,6.0,29.0
26,0.0,0.0,0.0,-7.3,-3.6,-12.1,4.5,7.6,西南西,13.1,西南西,西,3.5,2.0,29.0
27,0.0,0.0,0.0,-6.3,-2.8,-15.5,3.3,6.0,北西,9.9,北西,西北西,5.2,0.0,26.0
28,0.0,0.0,0.0,-8.5,-2.1,-17.0,3.1,6.3,東南東,7.8,東南東,南西,8.3,0.0,26.0
29,0.0,0.0,0.0,-2.6,-0.6,-12.0,6.3,10.0,東,12.5,東,東,0.0,7.0,31.0
30,0.5,0.5,0.5,-1.7,-0.8,-3.4,15.2,20.3,北北東,26.5,北東,北東,0.0,1 ),31 )
31,0.0,0.0,0.0,-3.8,-3.2,-4.2,16.4,20.7,北北東,26.4,北東,北北東,0.0,0 ],14 ]
