,降水量合計 (mm),最大1時間降水量 (mm),最大10分間降水量 (mm),平均気温,最高気温,最低気温,平均風速 (m/s),最大風速 (m/s),最大風向,最大瞬間風速 (m/s),最大瞬間風速風向,最多風向,日照時間 (h),降雪合計 (cm),最深積雪 (cm)
1,0.0,0.0,0.0,1.5,7.4,-1.1,2.9,7.3,西南西,13.2,北西,北北西,6.7,,
2,0.0,0.0,0.0,2.9,7.5,-0.1,2.1,5.5,西,10.6,西,北北西,9.0,,
3,0.0,0.0,0.0,2.6,7.2,-0.7,1.8,4.8,北北西,8.5,西北西,北西,3.8,,
4,0.0,0.0,0.0,1.8,5.1,-1.4,3.1,6.5,北西,11.9,北西,北西,5.6,,
5,0.0,0.0,0.0,0.8,3.6,-1.8,4.6,7.7,西北西,19.6,北西,西北西,7.1,,
6,0.0,0.0,0.0,3.4,6.7,0.6,3.6,8.2,北西,15.1,北西,北西,3.1,,
7,2.0,1.5,0.5,1.6,5.1,-1.8,1.4,3.5,西,5.5,西,北北東,4.9,,
8,18.5,3.0,1.0,1.9,4.5,0.0,2.8 ],5.8 ],北 ],10.0 ],北 ],北北西 ],0.2,,
9,7.0,2.0,0.5,4.3,8.2,2.3,3.3,5.2,北北東,11.4,北西,北西,3.4,,
10,0.0,0.0,0.0,3.8,6.9,1.7,1.8,4.3,北北西,7.6,北北西,北北東,2.5,,
11,0.0,0.0,0.0,4.4,9.2,-0.5,1.7,4.2,西南西,7.8,西,南南西,5.0,,
12,0.0,0.0,0.0,4.1,6.9,1.5,2.0,3.5,北北西,7.1,北西,北北西,2.5,,
13,0.5,0.5,0.5,2.6,6.3,1.0,2.3,4.2,北北西,7.7,北,北北西,2.1,,
14,0.0,0.0,0.0,3.1,6.6,-0.1,1.6,3.6,北北西,7.3,北,北北西,2.9,,
15,6.0,1.5,0.5,1.6,3.2,0.2,2.9,4.7,北北西,8.7,北西,北北西,0.0,,
16,0.0,0.0,0.0,2.9,7.3,-0.2,2.2,6.3,西,11.1,西南西,西,7.4,,
17,0.0,0.0,0.0,2.9,6.1,0.0,2.7,5.2,北西,9.7,北西,北北西,5.3,,
18,0.0,0.0,0.0,0.6,3.4,-1.2,3.0,5.0,北,9.6,北北西,北,1.0,,
19,0.0,0.0,0.0,2.4,6.7,-1.8,2.1,4.6,北北西,8.0,北,北北西,6.3,,
20,0.0,0.0,0.0,4.3,9.7,0.4,2.9,8.4,西,14.6,西,北西,6.7,,
21,1.0,0.5,0.5,1.4,4.0,0.1,4.2,7.6,北西,15.6,西,北西,8.6,,
22,0.0,0.0,0.0,2.6,6.9,-1.3,1.6,3.9,北西,7.6,北西,北北西,6.4,,
23,1.0,0.5,0.5,3.4,6.3,-0.1,1.4,3.4,北北西,5.3,北北西,北北西,0.0,,
24,0.0,0.0,0.0,4.8,8.4,0.8,2.9,7.8,北西,15.8,北西,北北西,2.6,,
25,0.0,0.0,0.0,1.7,4.8,-0.2,4.3,6.6,北西,14.2,北西,北西,8.4,,
26,0.0,0.0,0.0,1.9,6.4,-1.6,2.5,6.2,北西,11.7,北西,北北西,5.1,,
27,0.0,0.0,0.0,2.6,5.7,0.0,1.8,4.2,北西,8.6,北西,北西,4.2,,
28,3.0,1.0,0.5,4.7,6.8,2.3,3.7,7.1,東南東,12.9,東,東,0.0,,
29,76.0,9.5,2.0,6.5,8.2,4.4,4.2,7.8,北西,14.4,北西,北西,0.0,,
30,0.5,0.5,0.5,6.6,9.9,4.6,2.5,5.3,北西,10.9,北西,北西,5.0,,
31,0.0,0.0,0.0,4.0,7.2,1.7,3.4,6.8,北西,13.0,西,西北西,6.9,,
