,現地平均気圧 (hPa),海面平均気圧 (hPa),降水量合計 (mm),最大1時間降水量 (mm),最大10分間降水量 (mm),平均気温,最高気温,最低気温,日平均湿度 (%),最小湿度 (%),平均風速 (m/s),最大風速 (m/s),最大風速の風向,最大瞬間風速 (m/s),最大瞬間風速風向,日照時間 (h),降雪合計 (cm),最深積雪,天気概況昼,天気概況夜
1,1026.0,1027.8,,,,6.2,12.5,1.0,74.0,50.0,3.4,5.6,西北西,7.2,西北西,8.5,,,,
2,1024.5,1026.3,,,,8.0,14.9,2.0,68.0,41.0,4.1,6.8,西北西,8.1,西北西,8.5,,,,
3,1021.2,1023.0,,,,11.6,15.5,7.5,61.0,49.0,5.1,8.1,西北西,13.5,西,8.4,,,,
4,1018.9,1020.7,,,,10.3,17.4,4.1,56.0,23.0,4.6,7.9,西北西,11.7,西北西,8.6,,,,
5,1025.0,1026.8,,,,9.1,14.5,4.7,65.0,41.0,3.4,5.4,西北西,9.5,北東,8.6,,,,
6,1025.5,1027.3,,,,11.0,16.1,6.3,77.0,59.0,3.1,6.0,西北西,7.5,西北西,4.2,,,,
7,1018.5,1020.2,0.0,0.0,0.0,16.5,20.1,11.5,77.0,62.0,2.9,4.6,南南西,8.6,南南西,0.1,,,,
8,1011.2,1012.9,9.5,8.5,3.0,15.3,20.6,9.8,63.0,46.0,7.3,14.2,西,24.4,西,8.6,,,,
9,1016.4,1018.2,,,,11.2,16.6,7.0,63.0,47.0,3.7,6.1,西北西,8.4,北西,8.1,,,,
10,1016.7,1018.5,0.0,0.0,0.0,10.9,15.3,7.5,66.0,49.0,3.7,5.7,西北西,8.6,東北東,8.5,,,,
11,1014.4,1016.1,0.0,0.0,0.0,10.7,15.1,7.4,82.0,59.0,2.9,4.9,西,7.2,西北西,3.1,,,,
12,1012.1,1013.9,1.5,0.5,0.5,10.1,14.1,5.8,76.0,53.0,3.2,9.2,西,13.8,西,2.2,,,,
13,1017.9,1019.7,,,,8.9,15.3,4.0,62.0,38.0,3.2,6.4,西,9.3,西,8.7,,,,
14,1019.4,1021.2,3.5,1.5,1.0,7.4,9.2,4.7,84.0,65.0,3.2,5.9,西北西,8.0,西北西,0.0,,,,
15,1021.8,1023.6,,,,7.7,12.8,2.2,66.0,36.0,3.1,5.8,西北西,7.9,西北西,6.8,,,,
16,1020.4,1022.2,3.0,1.0,0.5,8.5,12.1,5.8,82.0,65.0,2.6,5.1,西北西,7.2,西北西,0.4,,,,
17,1015.0,1016.8,9.0,2.0,1.0,7.4,9.0,5.0,92.0,80.0,3.3,6.3,西北西,8.2,西北西,0.0,,,,
18,1013.4,1015.2,0.0,0.0,0.0,8.6,13.8,3.6,67.0,42.0,3.6,7.9,西北西,12.1,西,8.0,,,,
19,1016.4,1018.2,,,,8.5,15.4,3.2,74.0,48.0,3.7,6.8,西,11.1,西,4.5,,,,
20,1018.4,1020.2,,,,9.3,16.0,3.7,70.0,42.0,3.0,7.4,西,11.3,西,7.4,,,,
21,1024.1,1025.9,,,,9.0,14.2,4.4,65.0,39.0,4.0,9.5,西北西,12.8,西,8.9,,,,
22,1023.7,1025.5,0.0,0.0,0.0,10.1,13.9,5.2,87.0,70.0,3.2,5.5,西北西,7.6,西北西,0.1,,,,
23,1017.6,1019.3,6.0,4.5,1.5,16.8,20.1,11.4,89.0,73.0,2.7,5.2,西南西,8.1,西南西,0.5,,,,
24,1021.2,1023.0,0.0,0.0,0.0,15.3,17.1,13.4,82.0,66.0,2.4,3.9,西北西,8.4,北東,0.1,,,,
25,1022.2,1024.0,6.0,2.5,1.5,13.2,15.5,11.0,86.0,69.0,2.2,4.3,北北東,9.3,東北東,0.0,,,,
26,1018.6,1020.4,9.0,2.0,1.0,11.8,12.7,10.2,90.0,86.0,2.7,5.2,北,12.7,北北東,0.0,,,,
27,1003.6,1005.3,60.0,12.5,4.5,15.7,19.0,12.5,89.0,70.0,5.4,10.1,西,18.1,北東,0.3,,,,
28,1007.6,1009.3,,,,13.9,18.6,10.8,64.0,45.0,4.9,9.0,西,13.5,西北西,9.1,,,,
29,1009.4,1011.1,,,,12.1,16.7,7.7,68.0,48.0,2.8,5.1,西北西,6.1,西北西,7.3,,,,
30,1006.9,1008.7,3.5,3.5,3.0,9.5,14.8,5.4,79.0,51.0,3.0,6.6,北西,11.0,西北西,4.0,,,,
31,1013.9,1015.7,,,,8.5,14.4,3.2,65.0,40.0,3.5,6.3,西北西,7.5,西北西,8.7,,,,
