,現地平均気圧 (hPa),海面平均気圧 (hPa),降水量合計 (mm),最大1時間降水量 (mm),最大10分間降水量 (mm),平均気温,最高気温,最低気温,日平均湿度 (%),最小湿度 (%),平均風速 (m/s),最大風速 (m/s),最大風速の風向,最大瞬間風速 (m/s),最大瞬間風速風向,日照時間 (h),降雪合計 (cm),最深積雪,天気概況昼,天気概況夜
1,1026.5,1029.0,,,,4.0,10.6,-1.4,75.0,46.0,1.7,5.3,西,9.4,西,8.7,,,,
2,1024.5,1027.0,,,,6.3,13.2,1.5,77.0,44.0,1.6,4.8,西,8.1,西,7.4,,,,
3,1021.1,1023.6,,,,6.3,13.6,1.4,79.0,43.0,1.6,5.4,西,9.0,西,8.8,,,,
4,1019.4,1021.9,,,,6.2,13.3,-0.5,70.0,37.0,1.9,5.7,西北西,10.2,西北西,9.1,,,,
5,1025.9,1028.3,0.0,0.0,0.0,6.6,12.6,2.1,68.0,38.0,1.6,4.1,北東,7.2,北北東,7.7,,,,
6,1025.9,1028.4,1.5,1.0,0.5,5.0,9.7,0.0,82.0,50.0,0.9,2.0,北東,3.2,北北東,0.6,,,,
7,1015.8,1018.2,1.0,1.0,0.5,11.0,17.5,6.3,92.0,68.0,1.5,6.8,南南東,13.2,南東,0.0,,,,
8,1009.9,1012.3,22.5,13.0,5.5,10.8,17.7,5.2,82.0,61.0,4.1,9.2,南東,15.7,南西,0.1,,,,
9,1016.5,1018.9,0.0,0.0,0.0,8.7,13.7,4.5,70.0,38.0,1.9,5.2,西北西,8.6,西北西,5.9,,,,
10,1017.9,1020.3,0.0,0.0,0.0,6.7,13.1,2.4,78.0,43.0,1.2,3.0,北東,5.8,北東,6.4,,,,
11,1014.6,1017.1,,,,7.2,14.9,2.1,77.0,38.0,1.4,4.3,西南西,6.8,西,7.0,,,,
12,1011.4,1013.8,1.5,1.0,0.5,6.2,9.9,2.1,89.0,71.0,1.1,3.3,西,6.5,西,0.0,,,,
13,1017.4,1019.8,0.0,0.0,0.0,5.0,10.2,1.0,79.0,46.0,1.8,5.9,西南西,10.3,西南西,4.4,,,,
14,1020.3,1022.8,2.5,1.0,0.5,4.1,7.4,1.2,89.0,67.0,0.9,4.7,北東,6.4,北東,0.0,,,,
15,1022.3,1024.7,0.0,0.0,0.0,4.0,9.8,0.5,81.0,42.0,1.2,3.7,北西,7.4,西北西,4.1,,,,
16,1021.6,1024.0,,,,3.9,9.3,0.2,81.0,51.0,1.0,2.4,西南西,3.7,南南西,0.2,,,,
17,1016.0,1018.5,0.0,0.0,0.0,6.8,13.3,1.9,73.0,40.0,1.4,4.6,北北西,8.3,北,4.5,,,,
18,1013.6,1016.1,1.5,1.0,0.5,6.2,10.9,1.8,85.0,57.0,1.1,3.5,東北東,4.8,東北東,1.1,,,,
19,1016.0,1018.5,1.0,0.5,0.5,4.1,10.5,-0.4,90.0,65.0,1.1,4.5,西,8.6,西,1.0,,,,
20,1018.2,1020.7,,,,5.3,10.5,0.6,80.0,48.0,1.5,5.8,西南西,9.2,西,1.6,,,,
21,1024.5,1027.0,,,,5.3,11.8,0.3,73.0,41.0,1.4,4.5,北北西,8.9,北北東,7.9,,,,
22,1023.4,1025.8,18.0,8.5,2.5,6.1,9.8,1.2,91.0,81.0,1.0,3.4,北東,5.7,北東,0.0,,,,
23,1017.2,1019.6,22.0,10.0,2.0,11.7,14.5,9.4,97.0,86.0,0.8,2.6,東北東,3.8,東北東,0.0,,,,
24,1022.9,1025.3,,,,11.6,15.8,9.1,83.0,62.0,1.6,4.0,北東,8.0,北,1.4,,,,
25,1024.9,1027.3,8.0,4.5,1.0,8.3,10.9,5.1,83.0,61.0,0.9,2.3,南西,3.6,南西,0.2,,,,
26,1021.5,1023.9,3.5,4.5,1.0,9.2,14.9,6.3,84.0,51.0,1.0,4.2,北北西,6.8,北北西,3.6,,,,
27,1008.4,1010.8,31.0,4.5,1.5,8.3,10.4,6.4,88.0,48.0,2.6,6.1,東,10.3,北東,0.0,,,,
28,1008.0,1010.4,0.5,1.0,0.5,10.0,14.9,7.1,87.0,66.0,1.4,4.1,北北西,8.8,西北西,2.0,,,,
29,1009.9,1012.3,2.0,1.0,0.5,9.4,12.8,5.7,79.0,57.0,2.0,4.2,北東,7.5,東北東,4.2,,,,
30,1008.7 ),1011.1 ),0.0 ),0.0 ),0.0 ),6.6 ),11.8 ),3.0 ),77 ),48 ),1.9 ),5.2 ),北北西 ),11.9 ),北北西 ),3.6 ],-- ),-- ),,
31,1014.8,1017.3,1.5,0.5,0.5,5.8,9.9,2.9,73.0,47.0,2.1,5.5,北,10.8,北北西,2.8,,,,
