,降水量合計 (mm),最大1時間降水量 (mm),最大10分間降水量 (mm),平均気温,最高気温,最低気温,平均風速 (m/s),最大風速 (m/s),最大風向,最大瞬間風速 (m/s),最大瞬間風速風向,最多風向,日照時間 (h),降雪合計 (cm),最深積雪 (cm)
1,0.0,0.0,0.0,2.1,6.6,-1.9,0.7,3.2,西,7.1,西,北西,2.4,,
2,0.0,0.0,0.0,3.3,9.1,-1.2,0.6,3.3,西,6.5,北西,西北西,4.1,,
3,0.0,0.0,0.0,4.1,10.2,-0.5,0.8,3.9,西北西,7.4,西北西,東,2.9,,
4,0.0,0.0,0.0,3.4,10.1,-2.5,1.3,5.6,西北西,10.4,北北西,西北西,6.3,,
5,0.0,0.0,0.0,4.1,9.5,-2.0,0.8,2.6,東北東,6.4,東,北東,5.1,,
6,0.5,0.5,0.5,1.8,6.5,-3.6,0.3,1.3,北西,2.3,北西,東,0.3,,
7,4.0,2.0,0.5,12.1,15.9,4.0,2.8,5.3,南,12.5,南東,西南西,0.7,,
8,26.0,11.0,4.5,9.1,15.9,5.8,2.9,6.2,西南西,13.3,南西,西南西,0.0,,
9,1.0,0.5,0.5,6.5,9.8,2.6,1.2,4.4,西,8.4,西,西,3.6,,
10,0.0,0.0,0.0,3.9,9.6,-1.0,0.7,2.5,北東,5.7,北東,北東,3.5,,
11,0.0,0.0,0.0,3.5,11.4,-1.3,0.7,3.3,西北西,5.6,西北西,西,6.8,,
12,3.0,2.0,0.5,3.6,6.4,1.8,0.4,3.1,西,6.3,西,西南西,0.0,,
13,1.0,0.5,0.5,3.1,6.6,0.7,0.7,3.0,南西,6.2,西,南西,0.6,,
14,6.5,3.0,1.0,1.9,5.9,0.1,0.4,2.3,南西,4.0,南西,西南西,0.0,,
15,0.0,0.0,0.0,1.5,6.2,-1.4,0.9 ],3.6 ],西 ],6.3 ],西 ],北北西 ],5.6,,
16,0.0,0.0,0.0,1.2,7.0,-2.4,0.4,1.7,東北東,3.5,東,東南東,0.2,,
17,0.0,0.0,0.0,3.9,10.3,-1.1,0.5,2.9,東北東,8.0,東,北東,2.8,,
18,0.5,0.5,0.5,4.8,10.1,-1.3,0.9,2.5,東,6.6,東,北東,4.4,,
19,0.0,0.0,0.0,2.0,7.6,-3.9,0.8,3.3,西北西,7.7,南南西,南西,0.1,,
20,0.0,0.0,0.0,4.0,7.4,0.7,1.0,4.3,西,7.0,西,西南西,0.7,,
21,0.0,0.0,0.0,3.5,8.8,-1.8,0.9,2.8,北,6.9,北北西,北,5.3,,
22,13.5,3.0,1.0,5.4,9.9,-2.2,1.5,4.2,西南西,8.1,西南西,西,0.1,,
23,22.5,6.5,1.5,11.2,13.8,8.8,1.0,3.7,西南西,7.6,西南西,西南西,1.3,,
24,0.0,0.0,0.0,9.0,11.8,5.1,0.7,2.4,北,5.5,北北西,北北東,0.0,,
25,3.5,2.0,1.0,6.4,9.3,2.8,0.6,1.9,南西,4.4,南南西,北東,1.0,,
26,1.0,2.0,0.5,7.0,11.6,4.7,0.9,3.1,北北西,6.8,北東,北東,2.7,,
27,38.5,5.0,2.0,5.5,8.9,4.4,1.8,4.4,北北西,9.5,北西,北北東,0.0,,
28,5.5,1.5,0.5,7.2,10.3,4.7,0.6,2.1,北,6.2,北東,北北東,0.1,,
29,8.5,2.0,1.0,6.2,9.5,3.2,1.1,2.8,北東,6.6,東,北北東,1.4,,
30,3.0,1.0,0.5,3.9,7.5,1.5,1.1,4.3,北北西,8.8,北西,北東,2.5,,
31,3.0,1.0,0.5,2.8,6.3,0.7,1.4,3.4,北北西,7.8,東北東,北東,2.5,,
