,現地平均気圧 (hPa),海面平均気圧 (hPa),降水量合計 (mm),最大1時間降水量 (mm),最大10分間降水量 (mm),平均気温,最高気温,最低気温,日平均湿度 (%),最小湿度 (%),平均風速 (m/s),最大風速 (m/s),最大風速の風向,最大瞬間風速 (m/s),最大瞬間風速風向,日照時間 (h),降雪合計 (cm),最深積雪,天気概況昼,天気概況夜
1,1001.7,1020.9,0.5,0.5,0.5,1.1,5.3,-1.3,81.0,51.0,2.2,7.2,南南西,12.4,南南西,4.2,1.0,1.0,曇時々みぞれ一時雪,雪後曇一時晴
2,1003.2,1022.4,0.0,0.0,0.0,1.8,6.0,-1.1,74.0,48.0,1.8,4.0,北北西,8.4,北北西,3.6,,0.0,曇時々晴一時雪,晴一時曇
3,997.9,1017.0,0.5,0.5,0.5,2.2,6.8,-1.3,81.0,57.0,2.1,4.3,南南西,8.1,南西,3.3,,,雨時々曇一時晴,雨時々曇一時みぞれ
4,996.8,1015.9,1.0,0.5,0.5,2.0,5.3,0.0,76.0,47.0,1.5,4.2,北,7.5,西,3.4,2.0,2.0,曇時々晴一時雪,雪時々曇
5,1002.9,1022.3,1.5,0.5,0.5,0.1,1.9,-1.4,86.0,72.0,1.5,3.9,西北西,7.2,西北西,1.8,5.0,4.0,雪一時曇,曇一時雪
6,1007.3,1026.6,0.0,0.0,0.0,2.7,7.0,-0.5,69.0,45.0,2.0,4.8,西北西,8.0,西北西,2.6,,1.0,晴後曇,晴時々曇
7,1006.2,1025.6,3.5,2.5,1.0,0.4,3.6,-3.5,81.0,55.0,1.0,2.8,南南東,3.4,南南東,1.6,4.0,4.0,曇,雪一時みぞれ
8,985.1,1003.9,14.0,3.5,1.0,2.7,10.0,0.0,93.0,67.0,1.6,7.8,南,15.6,南,0.0,1.0,5.0,雨一時曇,雨
9,991.1,1009.9,1.0,1.0,0.5,5.2,8.4,1.6,83.0,60.0,2.1,6.3,南南西,12.8,南南西,2.4,,,雨時々曇,曇
10,998.6,1017.6,0.0,0.0,0.0,3.3,7.8,1.1,85.0,56.0,1.1,3.5,北,6.2,北北西,1.4,,,曇時々雨,曇時々晴一時雨
11,996.0,1015.0,1.5,1.5,1.0,3.3,11.1,-0.6,83.0,39.0,1.8,5.1,西,9.3,西南西,5.7,,,晴時々曇一時雨,晴一時雨、霧を伴う
12,993.0,1012.0,0.0,0.0,0.0,2.1,7.6,-1.5,91.0,66.0,1.1,2.8,南,4.2,南南東,2.6,,,霧時々薄曇一時雨,曇時々雪一時雨、霧を伴う
13,994.6,1013.6,0.0,0.0,0.0,2.7,5.8,1.1,87.0,67.0,1.1,3.6,北北東,6.7,北北東,0.2,,,雨時々曇一時晴,曇時々雪一時みぞれ
14,1001.4,1020.5,2.5,1.0,0.5,3.2,7.9,0.7,87.0,66.0,1.8,5.4,南南西,9.3,南南西,1.3,,,雨一時曇,曇一時雨
15,999.4,1018.6,2.5,0.5,0.5,2.1,3.7,0.7,93.0,83.0,0.8,2.7,北北西,4.7,北北西,0.3,,,みぞれ時々雨一時雪,曇時々雪一時晴
16,1002.2,1021.4,0.0,0.0,0.0,2.3,5.7,-0.6,80.0,51.0,2.0,4.8,南,7.1,南,2.8,1.0,1.0,曇一時みぞれ,曇一時雨
17,1001.6,1020.8,0.0,0.0,0.0,2.4,7.0,-0.8,73.0,46.0,1.8,4.2,南南西,6.9,南南西,4.7,,,晴時々曇一時雪,晴後薄曇
18,997.6,1016.9,,,,-0.3,1.9,-3.1,80.0,62.0,0.9,2.0,南東,2.9,東,0.0,,,曇,曇
19,995.6,1014.8,1.5,1.5,1.0,1.5,5.5,-1.7,80.0,57.0,1.1,2.5,南南東,4.4,北北東,2.5,1.0,1.0,曇一時晴,雨時々曇一時雪、みぞれを伴う
20,993.1,1012.1,3.5,2.0,0.5,3.8,6.8,0.4,79.0,55.0,2.5,5.0,南南西,8.5,南西,1.1,1.0,2.0,雨時々曇,雨後一時雪
21,1002.6,1022.0,11.0,3.5,1.0,0.5,3.3,-1.3,91.0,74.0,2.0,5.6,西北西,11.1,北北西,0.6,6.0,3.0,雪,曇時々晴一時雪
22,1009.0,1028.4,,,,0.8,5.8,-3.4,84.0,58.0,1.2,3.1,南東,4.8,南東,6.8,,3.0,晴時々薄曇,曇時々晴一時霧
23,1003.6,1022.9,1.5,0.5,0.5,1.1,3.0,-1.4,95.0,86.0,0.9,2.6,南南東,3.8,南南東,0.0,,,曇後雨,霧時々雨
24,1004.8,1024.0,0.5,0.5,0.5,2.8,6.7,0.1,87.0,57.0,1.6,4.5,北北東,8.1,北北東,1.8,,,雨一時曇、霧を伴う,晴一時曇
25,1010.7,1030.1,,,,1.4,5.3,-1.9,59.0,37.0,1.8,4.4,北西,8.6,北西,7.6,,,薄曇時々晴,薄曇一時晴
26,1008.7,1028.1,,,,0.8,6.8,-3.4,69.0,45.0,1.6,4.2,北西,8.0,北西,5.2,,,曇時々晴,晴
27,1007.9,1027.3,,,,1.0,4.6,-2.9,66.0,49.0,1.3,3.1,南,5.4,北北西,1.3,,,薄曇一時晴,曇後一時雨
28,1002.0,1021.1,2.0,1.0,0.5,3.8,6.3,1.6,78.0,58.0,2.2,6.5,東,11.6,東,0.0,,,雨,雨
29,988.6,1007.4,33.0,10.0,2.0,4.8,7.1,3.1,92.0,79.0,1.7,4.6,南東,7.5,東北東,0.0,,,大雨,雨時々曇、霧を伴う
30,980.2,998.7,0.0,0.0,0.0,6.5,11.4,2.7,80.0,57.0,2.5,6.5,南南西,11.8,南南西,1.1,,,雨時々曇,雨時々晴一時曇
31,986.4,1005.3,0.0,0.0,0.0,3.1,6.8,0.8,78.0,46.0,2.5,5.7,西,10.4,西,5.8,,,みぞれ時々曇一時晴,雪時々曇
