,降水量合計 (mm),最大1時間降水量 (mm),最大10分間降水量 (mm),平均気温,最高気温,最低気温,平均風速 (m/s),最大風速 (m/s),最大風向,最大瞬間風速 (m/s),最大瞬間風速風向,最多風向,日照時間 (h),降雪合計 (cm),最深積雪 (cm)
1,16.0,7.0,2.0,0.1,2.0,-2.1,2.0,4.5,南西,13.3,北西,北北西,0.4,,
2,2.0,1.5,0.5,2.2,4.1,-1.6,2.1,5.1,西南西,13.7,北西,西,1.8,,
3,17.5,4.0,2.0,0.4,2.7,-1.9,0.8,2.7,北北西,8.3,北西,北,0.3,,
4,0.5,0.5,0.5,1.0,3.9,-1.9,1.4,3.5,北北西,9.5,北西,北北西,3.7,,
5,2.5,1.0,0.5,-0.6,2.4,-5.4,1.5,3.8,北北西,12.6,北北西,北北西,1.5,,
6,1.5,1.0,0.5,2.5,5.4,-2.8,1.6,3.9,北北西,10.3,北北西,北北西,2.3,,
7,1.0,1.0,0.5,-1.1,3.8,-7.1,0.4,2.2,南南東,2.7,南南東,北北西,0.1,,
8,55.5,8.0,2.0,1.0,2.2,-0.6,0.6 ],2.4 ],南南西 ],4.9 ],南西 ],北 ],0.0,,
9,15.5,7.5,1.5,2.6,6.9,-1.6,0.9,3.3,西北西,6.9,北西,北北西,3.4,,
10,0.5,0.5,0.5,1.1,5.4,-1.2,0.6,2.6,南南東,4.6,北北東,北,3.0,,
11,9.5,4.0,1.0,1.1,3.7,-0.8,0.4 ],3.3 ],北西 ],6.7 ],西北西 ],北 ],0.6,,
12,2.5,1.0,0.5,1.1,2.8,0.0,0.4 ],1.4 ],南南東 ],2.2 ],北西 ],西北西 ],0.0,,
13,0.0,0.0,0.0,1.1,4.9,-0.7,0.4,2.4,東,3.7,東,北,2.4,,
14,4.5,2.5,1.0,0.4,2.9,-1.6,0.5,2.2,南南西,3.4,南,南西,0.0,,
15,4.5,2.0,0.5,1.2,2.8,-0.3,0.4,2.6,西南西,7.7,西南西,西南西,0.0,,
16,2.0,1.0,0.5,1.8,4.8,-1.2,1.6,4.5,南南東,11.3,西南西,西,1.8,,
17,0.5,0.5,0.5,1.6,5.3,-2.5,1.1,4.4,南南西,9.4,南西,北北西,2.9,,
18,0.0,0.0,0.0,-0.5,3.3,-3.4,0.6,2.5,南,3.8,南,南南東,3.2,,
19,1.0,1.0,0.5,0.2,3.2,-3.1,0.5,2.4,南東,3.2,南南東,南南東,1.9,,
20,27.5,6.5,2.5,2.5,7.1,0.1,1.3 ],4.8 ],西 ],18.1 ],北北西 ],西北西 ],4.3,,
21,8.5,2.5,1.0,0.4,2.2,-1.6,1.2 ],3.6 ],北北西 ],10.0 ],北西 ],北北西 ],2.2,,
22,0.0,0.0,0.0,-0.6,3.1,-2.6,0.3,1.2,東南東,2.3,北北西,南南西,2.8,,
23,2.0,0.5,0.5,0.4,1.9,-2.4,0.3,1.2,南南東,1.8,南南東,南東,0.0,,
24,1.5,1.0,0.5,1.9,6.9,0.1,1.3,4.0,西,10.5,西南西,北北西,1.3,,
25,0.0,0.0,0.0,0.5,2.5,-2.1,1.2,3.2,北北西,8.3,北北東,北,2.7,,
26,0.0,0.0,0.0,0.2,4.8,-3.3,0.8,2.9,西,8.1,西北西,北,6.0,,
27,0.0,0.0,0.0,0.5,5.2,-3.5,0.9,4.7,南南東,7.8,南,北東,6.0,,
28,0.5,0.5,0.5,4.2,6.2,1.2,3.0,5.4,南南西,8.8,南南西,南,0.0,,
29,10.0,2.5,1.0,3.9,6.0,2.2,1.0,4.2,南南西,7.1,南,北,0.0,,
30,29.5,5.5,1.5,4.4,6.7,2.3,0.7,2.0,北西,6.3,北,北西,0.1,,
31,19.5,2.5,1.0,2.5,4.7,1.0,1.7,3.7,西南西,10.4,北西,北北西,0.5,,
