,降水量合計 (mm),最大1時間降水量 (mm),最大10分間降水量 (mm),平均気温,最高気温,最低気温,平均風速 (m/s),最大風速 (m/s),最大風向,最大瞬間風速 (m/s),最大瞬間風速風向,最多風向,日照時間 (h),降雪合計 (cm),最深積雪 (cm)
1,5.0,1.5,0.5,0.6,3.7,-1.5,2.6,6.5,南,13.3,西南西,南東,2.3,5.0,4.0
2,0.5,0.5,0.5,1.4,3.5,-1.9,2.7,6.8,西北西,13.4,北西,西北西,2.1,1.0,4.0
3,1.5,0.5,0.5,1.2,5.6,-2.2,1.4,5.6,北西,15.9,北西,西北西,4.3,0.0,0.0
4,0.5,0.5,0.5,2.1,4.3,-0.4,2.5,7.1,西北西,14.9,西,西北西,3.5,0.0,0.0
5,4.0,1.0,0.5,-0.1,1.9,-1.7,1.2,4.0,北西,9.4,西北西,北北東,0.1,7.0,7.0
6,0.0,0.0,0.0,2.6,5.6,-1.6,2.3,5.2,南,10.9,西南西,西北西,0.6,0.0,4.0
7,4.5,2.5,0.5,0.0,3.9,-3.8,1.1,2.9,北,4.5,北北東,北,1.2,2.0,2.0
8,28.0,4.0,1.0,3.2,9.8,0.0,2.8,9.4,西,25.4,西北西,北,0.2,1.0,3.0
9,17.0,3.0,1.0,4.4,9.0,0.2,1.7,6.6,南南西,18.5,西,南,1.5,0.0,0.0
10,0.0,0.0,0.0,2.2,7.0,-0.1,0.8,3.5,西北西,5.9,西,西,1.6,0.0,0.0
11,6.0,4.5,1.0,2.5,8.8,-0.4,1.2,4.6,西,9.1,西,南南東,4.3,0.0,0.0
12,0.0,0.0,0.0,2.8,7.4,-0.1,0.7,3.1,南,4.6,北西,南南西,3.3,0.0,0.0
13,0.5,0.5,0.5,2.2,5.2,0.4,0.4,2.1,北北東,4.1,北北東,南東,0.7,0.0,0.0
14,3.0,1.0,0.5,2.8,6.9,0.3,1.9,5.0,南,10.8,西南西,南,1.4,0.0,0.0
15,9.5,2.5,1.0,1.1,3.0,0.1,0.8,4.8,西北西,9.7,西,西,0.3,2.0,2.0
16,2.5,0.5,0.5,1.2,3.6,-0.2,2.5,5.3,南,8.5,南東,南,1.4,4.0,4.0
17,0.0,0.0,0.0,1.2,5.6,-2.4,0.8,3.1,南南西,6.6,西,西,3.5,0.0,0.0
18,0.0,0.0,0.0,-0.7,1.5,-3.3,0.5,2.5,南南東,3.3,南南東,南,0.0,0.0,0.0
19,3.5,3.5,1.5,1.1,5.5,-1.8,0.7,3.8,西北西,7.1,西,南,1.8,2.0,2.0
20,13.0,5.0,1.0,3.1,5.5,-0.1,2.4,5.6,西北西,14.4,北西,西,1.4,3.0,5.0
21,13.0,4.0,1.0,0.6,2.9,-1.7,2.5,6.1,西北西,13.9,北西,北西,1.1,5.0,5.0
22,0.0,0.0,0.0,-0.2,4.5,-2.3,0.6,2.7,北北東,3.5,東北東,北北東,5.1,0.0,3.0
23,2.0,1.0,0.5,1.3,3.2,-1.1,0.4,1.9,北,2.8,北北東,北,0.0,0.0,0.0
24,1.5,0.5,0.5,3.3,6.9,1.6,1.9,5.7,西北西,13.0,西,西北西,1.0,0.0,0.0
25,0.0,0.0,0.0,1.5,3.9,-1.8,1.9,5.3,西北西,9.6,西,西,5.7,0.0,0.0
26,0.0,0.0,0.0,0.4,5.6,-4.1,1.2,4.4,西,8.6,西,西南西,5.9,0.0,0.0
27,0.0,0.0,0.0,0.2,4.2,-4.3,1.2,3.3,北東,5.6,南東,北北東,0.9,0.0,0.0
28,0.0,0.0,0.0,2.2,3.2,0.3,1.7,3.5,北,5.5,東北東,北,0.0,0.0,0.0
29,16.0,4.0,1.0,3.8,6.2,2.3,1.3,3.7,南東,6.5,北東,北,0.0,0.0,0.0
30,5.0,2.5,1.0,6.6,10.2,2.6,2.3,5.5,南南東,13.0,西北西,南西,3.5,0.0,0.0
31,4.5,1.5,0.5,2.3,4.8,0.3,2.3,6.1,西北西,12.8,北西,西北西,1.2,0.0,0.0
