,降水量合計 (mm),最大1時間降水量 (mm),最大10分間降水量 (mm),平均気温,最高気温,最低気温,平均風速 (m/s),最大風速 (m/s),最大風向,最大瞬間風速 (m/s),最大瞬間風速風向,最多風向,日照時間 (h),降雪合計 (cm),最深積雪 (cm)
1,6.5,4.5,1.5,2.2,4.1,-0.6,4.3,7.3,西北西,14.4,西,西北西,0.8,,
2,0.0,0.0,0.0,4.3,6.2,1.6,3.7,6.9,西北西,14.8,西北西,西,0.6,,
3,8.5,2.5,1.0,3.4,5.6,1.3,2.3,5.9,西北西,11.7,西北西,南西,0.1,,
4,4.5,1.5,0.5,3.1,6.9,1.0,2.9,5.4,西北西,12.7,西,西,2.3,,
5,0.5,0.5,0.5,2.5,4.7,0.3,3.7,6.5,西北西,12.3,西北西,西北西,1.4,,
6,0.0,0.0,0.0,5.0,8.6,1.5,2.9,5.7,西北西,10.6,西北西,西北西,1.6,,
7,1.0,1.0,0.5,2.4,5.5,-2.0,1.2,3.5,東,6.6,東北東,東南東,1.4,,
8,19.0,3.0,1.5,7.4,11.3,2.9,2.6,5.5,西,10.4,西,東,0.4,,
9,17.5,8.0,2.5,6.4,10.1,4.1,2.7,7.4,西,15.7,西北西,北西,0.1,,
10,5.5,1.5,1.5,4.0,6.9,2.6,1.0,2.2,北,4.4,北,南南西,1.6,,
11,9.0,3.5,1.5,5.2,9.6,2.4,1.3,4.2,西南西,9.7,西南西,南,2.0,,
12,0.0,0.5,0.5,4.8,8.3,1.6,1.0,2.9,西,6.0,西,南,1.6,,
13,0.5,0.5,0.5,3.6,6.0,1.6,0.9,3.1,北,6.4,北西,北,1.0,,
14,6.0,3.0,1.5,3.2,6.3,0.8,1.0,5.0,西南西,11.3,南西,東南東,0.4,,
15,5.5,2.0,1.0,3.8,6.9,1.6,1.7,5.2,西北西,10.6,西北西,東,0.0,,
16,1.0,0.5,0.5,4.2,6.8,2.1,2.8,5.1,西北西,11.6,西北西,西,0.5,,
17,1.5,0.5,0.5,4.1,7.8,1.3,2.1,4.5,西北西,8.7,西北西,西北西,2.8,,
18,0.0,0.0,0.0,2.3,5.8,-0.8,0.9,2.8,東北東,5.1,北北西,北,3.3,,
19,0.5,0.5,0.5,3.3,6.0,1.2,1.1,2.5,西南西,6.3,南南西,西南西,1.1,,
20,19.0,4.0,1.5,4.7,8.3,0.6,2.7,6.6,西,13.0,西南西,西,0.8,,
21,11.0,7.0,2.5,2.5,4.0,0.5,3.4,7.1,西北西,15.0,西,西北西,0.2,,
22,0.0,0.0,0.0,3.9,7.9,1.6,0.8,2.6,東,4.3,南東,南東,2.1,,
23,3.0,1.0,0.5,4.7,7.8,1.1,0.6,1.8,東南東,3.2,南南西,東,0.0,,
24,1.5,1.0,1.0,4.8,8.9,2.7,2.0,5.1,北西,10.7,北西,北西,0.0,,
25,0.0,0.0,0.0,2.6,6.0,-0.1,2.0,3.6,西北西,7.7,西,西北西,2.5,,
26,0.0,0.0,0.0,2.9,5.9,0.5,1.0,2.8,北西,6.2,北北西,北北西,0.4,,
27,0.0,0.0,0.0,3.8,6.6,0.0,1.8,4.9,東,9.8,東,東,3.2,,
28,0.0,0.0,0.0,6.3,8.3,4.3,4.1,6.8,東,14.8,東,東,0.0,,
29,12.0,4.5,1.5,7.4,9.6,5.2,2.3,5.6,東,12.0,東,東,0.0,,
30,33.0,5.5,2.0,6.8,8.6,4.8,2.1,5.2,西北西,10.5,西,西北西,0.0,,
31,8.5,2.0,1.0,3.9,5.7,2.3,4.9,7.3,西北西,13.8,西北西,西北西,2.0,,
