,降水量 (mm),気温,風速 (m/s),風向,日照時間 (h),降雪 (cm),積雪 (cm)
1,0.0,2.8,0.7,北西,,,
2,0.0,3.7,2.3,東,,,
3,0.0,1.8,0.5,西,,,
4,0.0,1.2,0.9,東,,,
5,0.0,0.3,0.2,静穏,,,
6,0.0,0.0,0.5,南南東,,,
7,0.0,-0.3,0.2,静穏,0.0,,
8,0.0,0.7,0.3,東,0.4,,
9,0.0,4.5,0.3,東南東,1.0,,
10,0.0,6.6,0.6,南東,1.0,,
11,0.0,7.2,0.8,西北西,1.0,,
12,0.0,9.7,1.3,南西,1.0,,
13,0.0,10.7,2.1,南南西,1.0,,
14,0.0,10.6,1.7,南南西,0.9,,
15,0.0,11.2,1.6,南南西,0.9,,
16,0.0,9.0,1.7,南東,0.7,,
17,0.0,7.3,5.1,南東,0.0,,
18,0.0,6.3,4.9,南東,,,
19,0.0,6.4,3.8,東南東,,,
20,0.0,6.3,1.9,東,,,
21,0.0,5.4,2.2,東,,,
22,0.0,5.3,0.7,南西,,,
23,0.5,4.1,1.5,東,,,
24,0.0,2.4,1.4,東,,,
