,降水量合計 (mm),最大1時間降水量 (mm),最大10分間降水量 (mm),平均気温,最高気温,最低気温,平均風速 (m/s),最大風速 (m/s),最大風向,最大瞬間風速 (m/s),最大瞬間風速風向,最多風向,日照時間 (h),降雪合計 (cm),最深積雪 (cm)
1,0.0,0.0,0.0,-0.4,4.9,-4.3,1.1,3.5,南東,5.3,南南東,南東,3.9,,
2,0.0,0.0,0.0,1.9,9.5,-1.4,2.2,3.9,南東,6.0,南東,南東,4.6,,
3,0.0,0.0,0.0,2.4,10.1,-1.3,2.0,3.8,南東,6.0,南南東,南東,4.8,,
4,0.0,0.0,0.0,2.8,8.7,-0.9,1.8,4.0,南東,5.9,南東,南東,4.7,,
5,0.0,0.0,0.0,0.2,6.2,-3.4,1.1,3.7,西南西,8.4,西,東南東,4.8,,
6,0.0,0.0,0.0,0.4,6.3,-3.9,1.2,3.2,南東,5.4,南東,南東,4.9,,
7,0.0,0.0,0.0,2.7,7.1,-1.2,1.3,3.4,西北西,6.2,西北西,西北西,0.3,,
8,14.0,6.5,2.0,5.6,11.5,2.7,1.5,5.9,北東,11.3,北東,西北西,1.6,,
9,0.0,0.0,0.0,6.1,11.5,2.3,1.6,3.4,西南西,9.8,西南西,東南東,5.0,,
10,0.0,0.0,0.0,3.5,10.4,-0.2,1.3,3.3,西南西,6.6,南西,南東,4.3,,
11,0.0,0.0,0.0,2.9,9.9,-1.3,1.6,3.7,南東,8.2,東北東,南東,4.7,,
12,0.0,0.0,0.0,2.3,7.5,-2.1,1.5,3.5,南東,5.4,西北西,南東,0.7,,
13,0.0,0.0,0.0,2.7,10.3,-1.3,1.7,3.7,南東,5.8,南東,南東,5.1,,
14,0.0,0.0,0.0,3.5,9.5,-1.1,1.9,4.3,南東,7.7,北北西,南東,4.7,,
15,3.0,2.0,0.5,3.0,8.7,-1.5,1.0,3.5,南西,8.7,西,南東,3.6,,
16,0.0,0.0,0.0,1.3,6.1,-3.2,1.1,2.8,南東,4.7,東,南東,2.0,,
17,0.0,0.0,0.0,2.9,8.1,-1.9,0.9,2.2,南東,5.0,南南西,南東,4.1,,
18,7.0,1.5,0.5,0.7,2.6,0.0,0.3 ],1.5 ],西北西 ],3.2 ],西北西 ],西 ],0.0,,
19,0.5,0.5,0.5,0.6,4.8,-2.5,1.0 ],2.5 ],南東 ],4.1 ],南南東 ],南東 ],3.8,,
20,0.0,0.0,0.0,2.3,10.3,-1.0,2.4,4.0,南東,5.9,南東,南東,5.3,,
21,0.0,0.0,0.0,1.9,8.8,-1.9,1.8,5.3,南西,9.5,南西,南東,5.3,,
22,0.0,0.0,0.0,3.1,10.4,-2.7,1.6,6.1,東北東,12.3,東北東,西北西,2.2,,
23,3.5,1.5,0.5,4.0,6.4,0.7,1.2,3.7,西北西,6.4,西北西,南東,0.0,,
24,0.0,0.0,0.0,6.0,11.6,2.5,0.7,2.8,南南東,4.1,南南東,西北西,2.4,,
25,0.0,0.0,0.0,3.7,7.2,0.8,0.6,2.4,西北西,4.3,西北西,西北西,0.0,,
26,3.0,1.5,0.5,2.0,4.5,0.2,1.0 ),2.8 ),南南東 ),6.5 ),南 ),南東 ),0.0,,
27,11.0,2.5,0.5,1.1,3.7,-0.2,0.7 ],2.1 ],南 ],4.7 ],南南西 ],東 ],0.0,,
28,29.0,4.5,1.0,1.3,2.8,-0.3,1.5 ],3.3 ],南東 ],5.2 ],南東 ],南東 ],0.0,,
29,12.5,7.0,1.5,5.2,11.3,1.8,1.8,4.6,南東,6.6,南南東,南東,5.4,,
30,0.0,0.0,0.0,4.7,12.3,1.1,2.0,4.3,南東,6.9,西,南東,5.8,,
31,0.0,0.0,0.0,2.1,8.5,-2.3,1.6,4.9,西南西,11.6,西,東南東,5.8,,
