,降水量合計 (mm),最大1時間降水量 (mm),最大10分間降水量 (mm),平均気温,最高気温,最低気温,平均風速 (m/s),最大風速 (m/s),最大風向,最大瞬間風速 (m/s),最大瞬間風速風向,最多風向,日照時間 (h),降雪合計 (cm),最深積雪 (cm)
1,0.0,0.0,0.0,-1.1,5.5,-6.8,0.9,3.9,南東,6.6,南東,南東,5.9,,
2,0.0,0.0,0.0,-1.4,5.3,-7.3,0.5,3.0,南東,7.0,東南東,南東,6.3,,
3,0.0,0.0,0.0,-0.7,7.4,-7.0,0.7,3.3,北西,8.5,西北西,南,7.8,,
4,0.0,0.0,0.0,-0.2,6.2,-6.4,0.6,3.0,東南東,5.5,東南東,南東,4.6,,
5,0.0,0.0,0.0,-1.3,3.3,-5.6,1.5,4.5,北西,9.4,北西,北西,7.8,,
6,0.0,0.0,0.0,0.1,7.7,-8.6,0.8,3.6,東南東,6.6,北西,南東,7.3,,
7,0.0,0.0,0.0,1.3,5.3,-1.6,0.6,2.8,東南東,5.2,東南東,西北西,0.8,,
8,23.0,11.5,2.5,8.2,14.8,2.3,1.7,5.0,北西,11.4,北西,西北西,3.2,,
9,0.0,0.0,0.0,5.5,9.8,1.5,2.3,5.8,北西,13.0,北北西,北西,7.5,,
10,0.0,0.0,0.0,1.3,7.4,-3.5,0.5,2.9,北西,6.0,北西,北西,6.2,,
11,0.0,0.0,0.0,0.6,7.9,-4.5,0.5,5.6,南東,10.4,南東,南東,5.9,,
12,0.0,0.0,0.0,-0.3,5.0,-5.6,0.3,2.6,南東,5.4,南東,東南東,1.1,,
13,0.0,0.0,0.0,0.1,8.1,-5.2,0.6,3.3,南東,7.2,北北西,北西,6.9,,
14,0.0,0.0,0.0,-0.3,6.9,-7.0,0.8,3.7,南東,8.0,東南東,南東,5.9,,
15,4.5,3.0,1.0,1.2,5.4,-3.1,1.5 ],4.5 ],北西 ],10.1 ],北北西 ],北西 ],5.1,,
16,0.0,0.0,0.0,-1.4,3.1,-5.8,0.5,4.0,南東,6.7,東南東,南東,0.7,,
17,1.0,1.0,0.5,-0.2,5.2,-5.0,0.4,3.0,南東,5.2,南東,北西,4.4,,
18,6.5,1.5,0.5,-2.2,-0.9,-3.0,0.9,2.1,北西,4.6,北西,西北西,0.0,,
19,0.0,0.0,0.0,-1.7,3.5,-8.6,0.4,3.3,南東,6.0,東南東,南東,5.6,,
20,0.0,0.0,0.0,-0.9,7.2,-7.2,0.4,2.9,南東,6.0,東南東,南南東,8.1,,
21,0.0,0.0,0.0,-0.6,5.6,-6.3,1.2,5.0,北西,10.1,北北西,北西,8.1,,
22,0.0,0.0,0.0,0.2,7.8,-7.1,0.4,2.3,東南東,6.4,南東,南西,4.2,,
23,3.0,1.0,0.5,4.0,9.8,-1.5,0.5,2.0,北西,4.0,北西,西北西,0.0,,
24,0.0,0.0,0.0,5.5,9.7,2.5,0.6,3.3,東南東,5.1,東南東,南東,2.1,,
25,0.0,0.0,0.0,2.0,5.1,-0.9,0.6,3.2,東南東,5.2,東南東,東南東,0.0,,
26,5.0,2.5,0.5,-1.5,0.6,-3.7,0.4 ),2.1 ),北西 ),4.4 ),北北西 ),北西 ),0.0,,
27,17.5,4.0,1.0,-1.5,0.7,-3.5,0.2 ],1.7 ],東南東 ],3.2 ],東南東 ],南東 ],0.0,,
28,76.0,8.5,2.0,0.5,2.9,-2.2,0.1 ],1.0 ],西北西 ],2.2 ],北西 ],西北西 ],0.0,,
29,19.0,7.5,2.0,5.0,11.2,1.0,0.6,2.4,北西,5.9,西北西,北北西,5.9,,
30,0.0,0.0,0.0,3.5,9.0,-1.4,1.1,4.2,北北西,8.8,北西,北西,8.3,,
31,0.0,0.0,0.0,0.7,4.9,-3.4,1.6,4.4,北西,8.2,西北西,北西,6.1,,
