,降水量合計 (mm),最大1時間降水量 (mm),最大10分間降水量 (mm),平均気温,最高気温,最低気温,平均風速 (m/s),最大風速 (m/s),最大風向,最大瞬間風速 (m/s),最大瞬間風速風向,最多風向,日照時間 (h),降雪合計 (cm),最深積雪 (cm)
1,0.0,0.0,0.0,,,,,,,,,,,,
2,0.5,0.5,0.5,,,,,,,,,,,,
3,1.0,1.0,0.5,,,,,,,,,,,,
4,9.0,4.5,1.5,,,,,,,,,,,,
5,0.0,0.0,0.0,,,,,,,,,,,,
6,0.0,0.0,0.0,,,,,,,,,,,,
7,21.5,4.5,1.0,,,,,,,,,,,,
8,23.5,6.5,1.5,,,,,,,,,,,,
9,1.5,1.0,0.5,,,,,,,,,,,,
10,3.0,1.0,0.5,,,,,,,,,,,,
11,0.0,0.0,0.0,,,,,,,,,,,,
12,0.0,0.0,0.0,,,,,,,,,,,,
13,0.5,0.5,0.5,,,,,,,,,,,,
14,1.0,1.0,0.5,,,,,,,,,,,,
15,0.0,0.0,0.0,,,,,,,,,,,,
16,0.0,0.0,0.0,,,,,,,,,,,,
17,0.0,0.0,0.0,,,,,,,,,,,,
18,0.0,0.0,0.0,,,,,,,,,,,,
19,0.0,0.0,0.0,,,,,,,,,,,,
20,0.0,0.0,0.0,,,,,,,,,,,,
21,2.5,1.0,0.5,,,,,,,,,,,,
22,0.0,0.0,0.0,,,,,,,,,,,,
23,20.0,4.0,1.5,,,,,,,,,,,,
24,0.0,0.0,0.0,,,,,,,,,,,,
25,0.0,0.0,0.0,,,,,,,,,,,,
26,0.0,0.0,0.0,,,,,,,,,,,,
27,3.0,2.0,1.0,,,,,,,,,,,,
28,2.0,1.0,0.5,,,,,,,,,,,,
29,4.5,1.5,1.0,,,,,,,,,,,,
30,1.5,0.5,0.5,,,,,,,,,,,,
31,3.0,1.0,0.5,,,,,,,,,,,,
