,降水量合計 (mm),最大1時間降水量 (mm),最大10分間降水量 (mm),平均気温,最高気温,最低気温,平均風速 (m/s),最大風速 (m/s),最大風向,最大瞬間風速 (m/s),最大瞬間風速風向,最多風向,日照時間 (h),降雪合計 (cm),最深積雪 (cm)
1,0.0,0.0,0.0,2.9,7.9,-1.9,1.1,3.4,南西,7.2,北北西,北西,1.2,,
2,0.0,0.0,0.0,4.6,11.2,0.7,0.9,4.0,西南西,7.5,西,西南西,4.8,,
3,0.0,0.0,0.0,5.0,10.0,3.1,0.7,2.3,南東,4.2,南東,西北西,1.7,,
4,2.5,2.0,1.0,5.0,10.9,1.9,1.2,4.2,西南西,9.0,西南西,南南西,5.1,,
5,0.0,0.0,0.0,2.3,6.0,-0.5,1.7,5.2,北東,11.3,北東,西,2.5,,
6,0.0,0.0,0.0,3.5,11.6,-2.1,1.1,3.6,西,7.3,西北西,南西,5.7,,
7,10.5,2.0,0.5,3.1,5.6,-0.8,0.4,1.4,西,2.5,西,南西,0.0,,
8,38.0,12.0,3.0,8.1,15.5,4.9,0.8,4.0,南西,8.5,南南東,南南西,1.5,,
9,0.5,0.5,0.5,6.7,13.2,2.4,1.0,3.7,北東,10.0,北東,西,5.4,,
10,0.0,0.5,0.0,5.3,11.7,-0.2,1.0,3.8,北東,9.0,北東,北東,6.9,,
11,0.0,0.0,0.0,3.0,12.0,-1.7,0.7,1.8,西南西,3.7,南南東,南西,7.3,,
12,0.5,0.5,0.5,3.5,8.7,-0.8,0.5,1.4,東南東,2.1,南東,東南東,0.7,,
13,0.0,0.5,0.5,4.7,9.1,2.9,0.8,3.5,南南西,5.7,南南西,南南西,1.4,,
14,1.0,1.0,0.5,4.7,9.3,1.3,0.9,2.5,南南西,4.4,南南西,南東,2.8,,
15,0.0,0.5,0.0,4.2,9.7,-0.3,1.0,3.3,北東,8.2,東北東,北西,3.2,,
16,0.0 ],0.0 ],0.0 ),0.5 ),7.4 ),-2.2 ),0.6 ),2.7 ),南南西 ),4.7 ),南南西 ),南西 ),1.6 ],,
17,0.0,0.0,0.0,3.5,10.6,-1.5,0.6,1.7,南南西,2.9,南南東,西南西,2.9,,
18,0.0,0.0,0.0,5.7,9.8,1.6,1.5,3.0,西,7.8,北東,北北西,1.4,,
19,0.0,0.0,0.0,4.4,11.2,-1.0,1.3,4.4,南南西,8.3,東北東,東北東,4.9,,
20,0.0,0.0,0.0,4.7,8.9,2.4,0.6,2.1,北北西,3.9,北北西,南,1.2,,
21,0.0,0.0,0.0,3.4,8.2,-1.6,1.4,5.9,北東,12.8,東北東,西北西,4.6,,
22,0.0,0.0,0.0,3.9,11.9,-2.9,0.7,3.1,西南西,5.1,南西,西南西,1.5,,
23,17.5,3.0,1.0,6.8,8.6,4.9,0.4,1.8,西北西,4.0,北東,西北西,0.0,,
24,0.0,0.0,0.0,8.5,14.9,5.4,1.3,4.9,北東,10.0,北東,北北西,5.0,,
25,0.0,0.0,0.0,6.0,11.6,0.4,0.9,2.4,北北東,5.5,北東,北東,2.1,,
26,0.0,0.0,0.0,7.6,14.0,4.3,0.9,2.4,北北東,4.6,北東,東北東,3.3,,
27,0.5,0.5,0.5,5.0,7.6,3.2,0.5,1.6,南西,3.7,南,東,0.0,,
28,7.0,5.5,1.5,7.6,11.7,4.3,0.7,2.8,西南西,6.1,南南西,南西,0.4,,
29,2.0,1.0,0.5,8.8,15.2,3.4,0.8,4.1,南西,8.9,南南西,西南西,4.2,,
30,0.0,0.0,0.0,5.4,12.3,2.6,1.0,4.2,北東,7.5,北東,北北東,4.4,,
31,0.5,0.5,0.5,2.9,7.9,-1.0,1.6,4.8,北東,11.1,東北東,西,2.1,,
