,降水量合計 (mm),最大1時間降水量 (mm),最大10分間降水量 (mm),平均気温,最高気温,最低気温,平均風速 (m/s),最大風速 (m/s),最大風向,最大瞬間風速 (m/s),最大瞬間風速風向,最多風向,日照時間 (h),降雪合計 (cm),最深積雪 (cm)
1,0.0,0.0,0.0,0.2,5.0,-5.2,0.2,1.4,東南東,6.0,西南西,西南西,2.8,,
2,0.0,0.0,0.0,2.2,9.0,-1.6,0.2,1.0,南西,3.5,南,西南西,5.8,,
3,0.5,0.5,0.5,3.1,7.3,1.1,0.1,1.2,東,3.4,北北西,北東,1.2,,
4,2.5,2.0,0.5,2.5,8.2,-1.9,0.2 ),1.7 ),西 ),5.7 ),北北西 ),西南西 ),5.6,,
5,0.0,0.0,0.0,0.8,4.9,-2.4,0.7 ],3.2 ],東 ],10.2 ],東 ],南西 ],5.9,,
6,0.0,0.0,0.0,0.9,9.3,-5.0,0.1,1.6,南南西,3.5,南,南南西,6.5,,
7,9.0,1.5,0.5,2.3,5.6,-2.3,0.1,1.6,東北東,3.3,北,東北東,0.0,,
8,39.0,14.0,4.5,8.4,12.4,4.3,0.7,3.9,東,9.7,東南東,西南西,1.7,,
9,0.5,0.5,0.5,4.9,10.1,1.9,0.4,3.6,東,9.4,東北東,南南東,6.9,,
10,0.0,0.5,0.0,3.0,9.5,-1.9,0.3,2.1,北西,6.1,東,西南西,6.4,,
11,0.0,0.0,0.0,1.4,9.6,-2.9,0.1,0.8,南南西,3.2,南南西,南西,7.1,,
12,0.5,0.5,0.5,1.9,6.6,-2.3,0.0,0.5,北北西,1.3,北,北北西,0.2,,
13,1.5,1.0,0.5,2.3,7.2,-0.6,0.1,1.1,北東,2.7,南,南西,1.2,,
14,0.5,0.5,0.5,1.9,6.6,-2.2,0.1,0.6,南西,2.2,南,南西,4.5,,
15,0.5,0.5,0.5,1.9,7.3,-2.2,0.2,1.3,東南東,4.9,南,南南西,2.3,,
16,0.0,0.0,0.0,-0.3,4.6,-3.7,0.1,1.0,東北東,3.1,北北東,東,1.2,,
17,0.0,0.0,0.0,1.9,7.2,-2.7,0.0,0.3,西南西,2.0,南,西南西,2.7,,
18,0.0,0.0,0.0,2.9,8.0,-2.1,0.3,2.5,北西,7.9,北西,北北西,0.7,,
19,0.0,0.0,0.0,1.9,9.7,-4.0,0.3 ],1.7 ],東南東 ],3.7 ],東南東 ],西南西 ],6.1,,
20,0.0,0.0,0.0,3.1,7.9,0.1,0.1,1.4,北北西,4.6,北北西,南西,0.9,,
21,0.0,0.0,0.0,1.8,6.8,-3.7,0.7,3.7,東南東,9.2,東南東,南南西,7.1,,
22,0.0,0.0,0.0,2.6,10.8,-4.5,0.1,1.6,南東,4.5,東南東,西南西,1.9,,
23,21.5,3.5,1.0,6.5,9.2,3.7,0.1,1.3,北東,2.9,北東,北北西,0.0,,
24,0.0,0.0,0.0,6.0,11.6,2.0,0.4,1.7,南西,6.0,北北西,南西,4.6,,
25,0.0,0.0,0.0,3.9,9.6,-1.6,0.1,0.8,南南西,2.7,南,南南西,3.2,,
26,2.0,1.5,0.5,5.2,11.5,1.4,0.1,2.5,東,5.1,東,西南西,3.3,,
27,1.0,1.0,0.5,3.2,6.3,0.9,0.0,1.8,東北東,3.8,東,北,0.0,,
28,7.0,4.0,1.0,5.8,9.5,2.4,0.3,2.6,東北東,4.6,東北東,西南西,0.6,,
29,1.0,1.0,0.5,7.2,12.4,2.4,0.2,1.6,西南西,6.5,西,西南西,2.3,,
30,0.5,0.5,0.5,2.8,8.4,-1.0,0.1,2.2,北北東,4.9,北東,西南西,1.8,,
31,0.0,0.0,0.0,1.0,5.7,-2.2,0.6,2.8,東,7.0,南,南南西,4.4,,
