,降水量合計 (mm),最大1時間降水量 (mm),最大10分間降水量 (mm),平均気温,最高気温,最低気温,平均風速 (m/s),最大風速 (m/s),最大風向,最大瞬間風速 (m/s),最大瞬間風速風向,最多風向,日照時間 (h),降雪合計 (cm),最深積雪 (cm)
1,0.0,0.0,0.0,,,,,,,,,,,,
2,0.0,0.0,0.0,,,,,,,,,,,,
3,0.0,0.0,0.0,,,,,,,,,,,,
4,9.5,3.0,1.0,,,,,,,,,,,,
5,4.0,3.5,0.5,,,,,,,,,,,,
6,0.0,0.0,0.0,,,,,,,,,,,,
7,6.5,2.0,1.0,,,,,,,,,,,,
8,25.0,7.0,2.5,,,,,,,,,,,,
9,7.5,2.0,1.0,,,,,,,,,,,,
10,5.5,1.5,0.5,,,,,,,,,,,,
11,0.0,0.0,0.0,,,,,,,,,,,,
12,0.5,0.5,0.5,,,,,,,,,,,,
13,0.0,0.0,0.0,,,,,,,,,,,,
14,0.5,0.5,0.5,,,,,,,,,,,,
15,20.0,4.5,1.5,,,,,,,,,,,,
16,0.0,0.0,0.0,,,,,,,,,,,,
17,0.0,0.0,0.0,,,,,,,,,,,,
18,1.0,1.0,0.5,,,,,,,,,,,,
19,0.0,0.0,0.0,,,,,,,,,,,,
20,0.0,0.0,0.0,,,,,,,,,,,,
21,4.5,2.5,1.0,,,,,,,,,,,,
22,1.0,1.0,0.5,,,,,,,,,,,,
23,12.0,3.5,1.0,,,,,,,,,,,,
24,2.5,0.5,0.5,,,,,,,,,,,,
25,0.0,0.0,0.0,,,,,,,,,,,,
26,0.0,0.0,0.0,,,,,,,,,,,,
27,10.5,4.0,1.0,,,,,,,,,,,,
28,13.5,2.5,0.5,,,,,,,,,,,,
29,19.5,2.5,1.0,,,,,,,,,,,,
30,24.0,3.0,1.0,,,,,,,,,,,,
31,11.5,2.0,1.0,,,,,,,,,,,,
