,降水量合計 (mm),最大1時間降水量 (mm),最大10分間降水量 (mm),平均気温,最高気温,最低気温,平均風速 (m/s),最大風速 (m/s),最大風向,最大瞬間風速 (m/s),最大瞬間風速風向,最多風向,日照時間 (h),降雪合計 (cm),最深積雪 (cm)
1,0.0,0.0,0.0,3.0,9.4,-2.2,1.1,2.9,北西,6.7,北,北北西,4.9,,
2,0.0,0.0,0.0,4.3,11.8,-1.6,0.9,2.8,南南東,7.8,南,北北西,6.3,,
3,0.0,0.0,0.0,5.8,13.0,0.2,0.9,3.2,南,7.0,西,北北西,7.1,,
4,0.5,0.5,0.5,4.7,12.8,-2.1,1.1,3.8,北西,7.9,北西,北西,6.3,,
5,0.0,0.5,0.0,3.8,9.1,-0.2,1.1,3.5,北北西,7.0,西北西,北北西,2.1,,
6,0.0,0.0,0.0,3.7,9.6,-1.3,0.7,2.1,東北東,3.4,南南東,北東,2.9,,
7,2.0,1.0,0.5,5.3,6.2,4.0,0.7,2.1,北北西,3.9,北,北,0.0,,
8,9.0,6.0,3.0,9.2,15.0,4.4,1.7,5.0,西北西,14.6,西,北北西,2.8,,
9,0.0,0.0,0.0,6.1,13.5,0.8,1.2,3.8,南,9.7,南,北北西,5.7,,
10,0.0,0.0,0.0,4.3,11.3,-0.6,1.2,4.5,北,9.4,北,北,5.3,,
11,0.0,0.0,0.0,4.2,12.6,-1.0,1.2,2.8,南南東,5.5,南南東,東北東,5.8,,
12,0.0,0.0,0.0,4.7,10.1,0.9,0.7,2.5,北北西,4.5,北北西,北北西,0.1,,
13,0.0,0.0,0.0,3.0,10.9,-2.2,1.1,4.0,南西,8.3,西北西,北北西,7.0,,
14,0.0,0.0,0.0,2.8,8.2,-2.8,0.8,2.5,南南東,4.4,南,南南東,1.2,,
15,0.0,0.0,0.0,3.8,9.9,-1.2,1.4,4.6,北,8.6,北北西,北東,6.0,,
16,0.0,0.0,0.0,2.3,10.3,-2.3,0.7,2.4,東北東,3.4,東,北北西,4.5,,
17,0.0,0.0,0.0,4.9,11.7,0.2,0.7,2.3,北東,4.4,南東,北北西,3.3,,
18,0.0,0.0,0.0,4.6,11.2,-0.9,1.6,4.9,北北西,9.3,北西,北北西,7.4,,
19,0.0,0.0,0.0,3.5,11.0,-3.3,1.0,3.4,南南西,7.0,南南西,南,3.6,,
20,0.0,0.0,0.0,5.6,10.3,1.8,1.4,4.1,北西,7.9,北北西,北北西,2.5,,
21,0.0,0.0,0.0,4.0,10.5,-1.5,1.5,4.1,北北西,8.1,北,北北西,4.8,,
22,2.0,1.5,0.5,2.9,7.7,-2.4,0.6,1.6,東北東,2.4,北北西,北,0.5,,
23,21.0,4.5,1.0,8.3,13.0,4.7,0.6,1.5,南南東,2.9,北北西,北,0.1,,
24,0.0,0.0,0.0,9.1,13.6,5.7,1.4,4.8,北北西,9.2,北北西,北,1.8,,
25,0.0,0.0,0.0,5.5,9.6,0.4,0.9,2.4,東北東,4.5,北,東北東,3.1,,
26,0.0,0.0,0.0,7.7,14.1,3.9,1.0,3.3,北北西,6.6,北,北北東,4.6,,
27,8.0,2.5,1.0,6.3,7.7,4.9,1.1,2.9,北北西,6.3,北北西,北北西,0.0,,
28,7.0,2.0,1.0,8.1,10.2,6.3,0.7,2.2,北北西,4.0,北北西,北,0.0,,
29,0.0,0.0,0.0,6.3,11.9,1.8,1.5,4.6,北北西,8.6,北北西,北北西,3.4,,
30,0.0 ),0.0 ),0.0 ),3.3 ),11.0 ),-0.7 ),1.2 ),4.4 ),北北西 ),7.8 ),北西 ),北北西 ),3.4 ],,
31,0.0,0.0,0.0,2.5,7.1,-2.1,2.0,5.6,北西,10.5,北北西,北北西,3.0,,
