,降水量合計 (mm),最大1時間降水量 (mm),最大10分間降水量 (mm),平均気温,最高気温,最低気温,平均風速 (m/s),最大風速 (m/s),最大風向,最大瞬間風速 (m/s),最大瞬間風速風向,最多風向,日照時間 (h),降雪合計 (cm),最深積雪 (cm)
1,0.5,0.5,0.5,-1.1,0.4,-2.3,1.7,5.8,西北西,9.5,西,西,0.4,,
2,0.0,0.0,0.0,0.4,3.7,-2.6,2.1,4.9,西北西,10.6,西北西,西,4.7,,
3,0.5,0.5,0.5,-1.8,3.3,-6.1,1.4 ),3.6 ),西 ),7.9 ),西北西 ),南東 ),2.8,,
4,0.0,0.0,0.0,-2.5,3.1,-7.5,2.2 ],4.4 ],西北西 ],8.4 ],西北西 ],西北西 ],6.2,,
5,0.0,0.0,0.0,-2.8,1.2,-8.2,2.0,4.8,西北西,9.6,西,西北西,2.4,,
6,0.0,0.0,0.0,0.0,5.4,-5.0,2.8,7.3,西北西,14.9,西北西,西北西,3.1,,
7,0.0,0.0,0.0,-2.3,2.0,-7.9,1.4,3.8,南東,4.6,南東,東南東,4.4,,
8,20.0,2.5,0.5,0.2,1.6,-1.3,0.6 ),3.3 ),西 ),5.0 ),南東 ),西 ),0.2,,
9,3.5,1.0,0.5,1.7,5.1,0.1,0.6,2.5,西南西,4.4,南西,南東,0.1,,
10,0.0,0.0,0.0,1.2,5.0,-1.5,1.1,3.2,西,5.4,西,東南東,6.1,,
11,2.0,1.5,0.5,1.7,6.6,-1.0,0.9,2.3,南南東,6.1,東南東,東南東,1.8,,
12,0.0,0.0,0.0,-0.1,2.9,-2.2,0.6 ],2.1 ],南東 ],3.0 ],南東 ],東南東 ],0.0,,
13,1.0,1.0,0.5,-0.3,4.9,-2.6,0.6,2.6,南東,4.3,西南西,西,1.3,,
14,0.0,0.0,0.0,-0.3,4.5,-3.9,1.0,2.9,西,5.1,西,東南東,3.6,,
15,1.5,1.0,0.5,0.2,3.6,-2.7,0.9,2.8,西,4.3,西,西,0.4,,
16,0.0,0.0,0.0,-0.8,2.1,-3.9,1.0 ],3.1 ],西 ],6.1 ],西南西 ],東南東 ],0.8,,
17,0.0,0.0,0.0,-0.4,4.5,-4.5,1.9,6.1,西,11.6,西,東南東,5.2,,
18,0.0,0.0,0.0,-3.3,2.3,-7.6,1.3,3.3,南東,5.5,南南東,東南東,3.3,,
19,0.0,0.0,0.0,-1.5,5.3,-8.3,1.5,3.2,南東,4.7,南東,東南東,6.4,,
20,3.0,1.0,0.5,1.2,5.4,-2.3,1.6,6.4,西,15.6,西南西,東南東,3.3,,
21,2.5,1.0,0.5,-0.4,2.5,-4.3,2.1,5.7,西北西,10.0,北西,西北西,5.5,,
22,0.0,0.0,0.0,-1.4,5.7,-6.1,1.8,3.7,南東,6.4,西,東南東,3.2,,
23,0.0,0.0,0.0,0.7,4.9,-3.4,1.6,4.5,南東,6.9,南東,東南東,0.1,,
24,0.0,0.0,0.0,0.7,6.7,-3.4,3.1,7.2,西北西,14.8,西,西北西,4.6,,
25,0.0,0.0,0.0,-1.3,2.8,-5.4,2.4,4.9,西北西,9.3,西北西,西北西,8.9,,
26,0.0,0.0,0.0,-2.0,3.9,-8.1,2.1,5.5,北西,10.2,北西,東南東,8.1,,
27,0.0,0.0,0.0,-0.5,5.7,-6.7,1.9,4.1,南東,6.9,南東,東南東,6.9,,
28,0.5,0.5,0.5,1.9,6.7,-2.0,1.5,4.2,東南東,10.9,南南東,東南東,0.0,,
29,4.0,1.0,0.5,2.7,5.1,0.7,1.7,7.0,西北西,14.4,西北西,西北西,0.0,,
30,0.5,0.5,0.5,3.2,5.8,0.3,2.4,6.9,西,14.5,西,西,0.0,,
31,0.0,0.0,0.0,2.0,7.3,-1.0,1.7,5.3,西,10.4,西,東南東,4.1,,
