,降水量合計 (mm),最大1時間降水量 (mm),最大10分間降水量 (mm),平均気温,最高気温,最低気温,平均風速 (m/s),最大風速 (m/s),最大風向,最大瞬間風速 (m/s),最大瞬間風速風向,最多風向,日照時間 (h),降雪合計 (cm),最深積雪 (cm)
1,0.0,0.0,0.0,1.6,4.4,-0.9,1.9,4.7,北西,13.7,北西,西北西,2.5,,
2,0.0,0.0,0.0,3.0,5.4,-0.4,3.9,7.3,西北西,17.5,北西,西北西,8.1,,
3,0.0,0.0,0.0,1.3,8.4,-3.4,0.8,2.2,南,6.8,南南西,南,5.9,,
4,0.0,0.0,0.0,-0.1,6.8,-4.0,0.5,1.6,東南東,4.2,東,東南東,6.0,,
5,0.0,0.0,0.0,-0.6,5.0,-5.5,1.0,3.4,北西,8.2,北北西,西北西,6.7,,
6,0.0,0.0,0.0,1.0,7.3,-3.5,1.2,4.3,北西,11.2,西北西,西北西,7.4,,
7,0.0,0.0,0.0,0.3,8.0,-5.2,0.5,2.1,南南東,4.1,東南東,南西,5.3,,
8,28.5,3.5,1.0,2.5,5.2,0.3,1.2 ],3.9 ],北西 ],7.8 ],西北西 ],北西 ],0.0,,
9,16.0,2.5,1.0,3.7,5.9,0.9,1.0,2.3,北西,5.8,西北西,北西,0.0,,
10,0.0,0.0,0.0,1.5,6.2,-1.4,0.7,2.6,北西,5.6,北北西,北西,5.6,,
11,0.0,0.0,0.0,3.2,10.7,-0.6,0.5,1.7,南南東,4.6,南西,西,2.6,,
12,0.0,0.0,0.0,1.2,6.1,-1.7,0.4,1.4,西南西,4.7,西南西,西南西,0.0,,
13,0.5,0.5,0.5,1.3,5.7,-1.6,0.4,1.5,西,3.4,西,西南西,0.2,,
14,3.0,1.0,0.5,1.2,3.0,-0.4,0.4,1.5,北西,3.2,西南西,西南西,0.0,,
15,2.5,1.5,0.5,2.1,4.8,-0.8,0.9,3.0,北西,5.8,北北西,北西,0.0,,
16,0.0,0.0,0.0,1.2,6.2,-2.0,0.5 ),1.4 ),西 ),3.9 ),西 ),西南西 ],3.8,,
17,0.0,0.0,0.0,1.7,7.0,-2.5,0.7,2.9,西北西,7.3,西,西南西,7.2,,
18,0.0,0.0,0.0,0.6,2.5,-2.1,1.2,3.0,北西,7.0,北西,北西,1.0,,
19,0.0,0.0,0.0,3.2,10.1,-0.5,0.6,2.2,北北西,5.9,東北東,西南西,5.3,,
20,0.0,0.0,0.0,3.9,9.6,-1.9,1.1,3.2,北西,8.9,西,西南西,6.9,,
21,0.0,0.0,0.0,1.9,7.2,-2.0,1.4,4.5,北西,9.8,北西,西北西,8.2,,
22,0.0,0.0,0.0,0.4,6.9,-4.8,0.6,3.0,西,5.7,南,西南西,2.3,,
23,0.0,0.0,0.0,5.1,9.0,-1.2,0.5,1.8,西北西,4.1,西,西,0.0,,
24,0.0,0.0,0.0,3.5,12.1,-1.9,1.1,4.4,西北西,11.4,北西,西北西,7.9,,
25,0.0,0.0,0.0,-0.5,6.8,-4.9,0.5,1.3,東南東,5.9,東,東南東,8.5,,
26,0.0,0.0,0.0,-1.2,6.7,-5.2,0.6,2.1,南東,4.9,東,西南西,6.5,,
27,0.0,0.0,0.0,0.6,8.7,-5.8,0.8,3.0,南東,6.8,南東,西南西,7.6,,
28,6.5,1.5,0.5,2.8,5.8,0.1,0.9,3.5,東南東,7.5,南東,西南西,0.0,,
29,76.5,10.5,2.5,7.3,9.1,4.2,1.9,5.8,北西,16.0,西北西,東南東,0.0,,
30,0.0,1.0,0.0,6.7,9.7,3.5,1.2,5.2,北西,12.2,北西,北西,0.1,,
31,0.0,0.0,0.0,5.4,11.1,1.8,0.9,4.0,北西,10.0,北北西,西北西,5.6,,
