,降水量合計 (mm),最大1時間降水量 (mm),最大10分間降水量 (mm),平均気温,最高気温,最低気温,平均風速 (m/s),最大風速 (m/s),最大風向,最大瞬間風速 (m/s),最大瞬間風速風向,最多風向,日照時間 (h),降雪合計 (cm),最深積雪 (cm)
1,1.0,0.5,0.5,-0.9,0.6,-2.2,3.7,8.0,北西,14.9,西北西,西北西,,,
2,0.0,0.0,0.0,0.5,3.6,-2.6,3.7,9.1,西,17.0,西北西,西,,,
3,0.0,0.0,0.0,-0.4,2.0,-4.3,1.9,4.9,南,6.2,南,南,,,
4,0.0,0.0,0.0,-0.4,3.8,-5.6,2.1,6.6,西,12.9,西,西北西,,,
5,0.0,0.0,0.0,-2.3,2.5,-8.2,2.1,5.9,西北西,8.7,西北西,北北西,,,
6,0.0,0.0,0.0,1.3,6.0,-4.3,2.8,7.1,西北西,14.4,西北西,西北西,,,
7,0.0,0.0,0.0,-2.3,1.6,-7.8,1.5,5.0,北北東,6.2,北北東,北北東,,,
8,31.5,4.0,1.0,0.0,2.0,-1.8,2.4,6.7,北北東,8.7,北北東,北北東,,,
9,3.0,1.5,0.5,2.6,5.5,0.1,2.1,7.7,北,10.8,北,北北西,,,
10,0.0,0.0,0.0,1.8,5.1,-1.2,2.2,5.3,北北東,7.2,北北東,北,,,
11,4.0,2.5,1.0,1.0,4.8,-2.5,1.0,2.9,北,4.1,北東,北,,,
12,0.5,0.5,0.5,-1.2,1.2,-3.7,1.1,2.7,北北東,3.6,北北東,北北東,,,
13,0.5,0.5,0.5,-0.2,4.7,-4.0,1.9,4.7,北北東,6.2,北,北北東,,,
14,0.5,0.5,0.5,-1.0,3.0,-4.1,1.6,4.1,北,5.1,北,北北東,,,
15,1.5,1.0,0.5,-0.2,3.6,-3.0,2.5,5.0,北,6.7,北,北北東,,,
16,0.0,0.0,0.0,0.0,2.5,-3.2,1.8,5.3,南南東,7.2,南南東,南東,,,
17,0.0,0.0,0.0,0.7,5.8,-4.7,2.3,5.7,西北西,8.2,西北西,西北西,,,
18,0.0,0.0,0.0,-1.7,2.6,-6.4,3.7,6.6,北北東,8.7,北,北北東,,,
19,0.0,0.0,0.0,-1.0,4.9,-7.1,1.5,4.3,北北東,5.7,北北東,北,,,
20,4.5,2.0,1.0,1.4,6.8,-2.5,2.1,7.0,西,14.4,西南西,西北西,,,
21,3.0,1.5,0.5,-0.4,3.9,-4.0,2.9,7.2,西北西,11.3,西北西,北西,,,
22,0.0,0.0,0.0,-1.8,4.1,-5.8,1.0,2.4,西,3.6,南西,西南西,,,
23,0.0,0.0,0.0,-0.2,3.7,-5.0,0.9,2.2,北,3.1,北,北,,,
24,0.0,0.0,0.0,0.0,7.5,-5.2,2.5,9.2,西,14.9,西,北北東,,,
25,0.0,0.0,0.0,-0.4,2.4,-4.9,3.8,7.7,西北西,12.9,西北西,西北西,,,
26,0.0,0.0,0.0,-2.2,4.1,-7.8,1.8,5.0,西北西,7.7,西,北東,,,
27,0.0,0.0,0.0,-0.7,6.1,-7.6,1.4,3.1,北,5.1,北,北,,,
28,2.0,1.5,1.0,1.7,6.4,-2.0,2.6,6.3,南南東,9.3,南南東,北,,,
29,6.5,1.5,0.5,3.0,5.4,0.6,3.9,7.8,北,11.8,北北西,北北東,,,
30,1.0,0.5,0.5,4.0,6.1,1.4,2.9,9.5,北,14.9,北,北北西,,,
31,0.0,0.0,0.0,3.7,7.1,0.1,3.2,6.8,西,12.3,西,西,,,
