,降水量合計 (mm),最大1時間降水量 (mm),最大10分間降水量 (mm),平均気温,最高気温,最低気温,平均風速 (m/s),最大風速 (m/s),最大風向,最大瞬間風速 (m/s),最大瞬間風速風向,最多風向,日照時間 (h),降雪合計 (cm),最深積雪 (cm)
1,0.0,0.0,0.0,-6.0,-3.6,-7.6,3.0,5.3,南南西,16.0,西,西南西,1.6,,
2,0.0,0.0,0.0,-4.9,-2.4,-7.0,2.9,5.6,西南西,12.8,南南西,西南西,6.8,,
3,0.0,0.0,0.0,-4.8,-1.4,-12.1,2.0,3.8,西南西,9.3,西,西南西,3.9,,
4,0.0,0.0,0.0,-6.7,-2.3,-14.2,1.6,4.7,西北西,8.7,西北西,西,4.6,,
5,0.0,0.0,0.0,-7.3,-4.0,-15.7,1.4,3.9,北西,8.0,北,西,1.4,,
6,0.0,0.0,0.0,-5.0,-0.8,-13.7,1.6,5.4,西,12.0,西北西,西南西,1.8,,
7,0.0,0.0,0.0,-7.9,0.3,-18.0,0.7,2.1,西南西,4.3,西,東北東,3.3,,
8,17.5,2.0,0.5,-0.3,2.4,-3.6,0.8 ],3.7 ],北北東 ],8.7 ],北北東 ],北北東 ],0.0,,
9,1.5,0.5,0.5,-0.4,1.7,-2.2,1.4,5.1,東北東,10.2,東北東,北東,1.0,,
10,0.5,0.5,0.5,-3.2,0.0,-5.7,0.8,3.3,東北東,5.5,東北東,東北東,5.3,,
11,4.5,2.0,0.5,-1.2,1.5,-4.8,1.0 ),3.2 ),南西 ),7.2 ),南西 ),西南西 ),1.4,,
12,0.0,0.0,0.0,-4.7,-0.7,-10.7,0.4 ],2.6 ],南南西 ],5.4 ],南南西 ],南南西 ],0.0,,
13,0.0,0.0,0.0,-5.5,-0.4,-12.6,0.4,1.8,西南西,5.3,南南西,西南西,0.3,,
14,0.0,0.0,0.0,-6.4,-1.1,-11.3,0.7,2.0,西,4.9,西,東北東,0.1,,
15,2.5,1.5,0.5,-4.4,1.2,-13.4,0.8,2.5,北東,4.3,北東,北東,0.8,,
16,0.0,0.5,0.5,-4.4,-3.0,-8.3,1.7,4.2,西南西,11.3,西,南西,1.5,,
17,0.0,0.0,0.0,-6.3,-1.2,-15.9,1.5,5.3,西南西,9.4,南南西,西南西,2.4,,
18,0.0,0.0,0.0,-10.2,-1.2,-18.8,1.2,3.6,北東,6.3,東北東,北東,4.0,,
19,0.5,0.5,0.5,-5.7,1.1,-16.0,1.0,3.1,西南西,6.1,南,南西,6.5,,
20,3.5,1.0,0.5,-3.0,1.0,-11.3,2.0,5.6,西南西,13.1,西,西南西,1.6,,
21,2.0,1.0,0.5,-6.2,-2.4,-16.6,1.6,4.8,西北西,12.5,西北西,西,4.1,,
22,0.0,0.0,0.0,-8.2,-0.4,-18.7,1.1,3.1,南南西,6.8,南,南西,0.2,,
23,0.0,0.0,0.0,-0.7,3.3,-10.9,0.7,2.3,南西,6.5,南南西,南西,1.2,,
24,0.0,0.0,0.0,-4.5,1.3,-8.2,1.9,5.0,西北西,10.9,西,西,4.0,,
25,0.0,0.0,0.0,-8.9,-3.0,-14.3,1.1,3.7,西,6.6,西北西,東北東,6.8,,
26,0.0,0.0,0.0,-10.8,-2.0,-19.1,1.1,3.6,西,7.3,西,北東,6.7,,
27,0.0,0.0,0.0,-7.8,0.6,-18.0,0.9,3.2,北西,7.3,北西,東北東,7.1,,
28,1.0,1.0,0.5,-2.4,1.7,-8.9,1.1,3.9,東,8.3,東北東,東北東,0.5,,
29,7.0,1.5,0.5,1.5,3.6,-1.3,1.0,4.2,北東,9.1,北東,東北東,0.0,,
30,2.0,1.5,0.5,0.1,1.8,-1.7,0.9 ],2.4 ],西南西 ],5.3 ],西南西 ],西南西 ],0.1,,
31,0.0,0.0,0.0,-1.1,1.5,-3.9,1.4,3.7,西北西,8.2,西,西南西,0.7,,
