,降水量合計 (mm),最大1時間降水量 (mm),最大10分間降水量 (mm),平均気温,最高気温,最低気温,平均風速 (m/s),最大風速 (m/s),最大風向,最大瞬間風速 (m/s),最大瞬間風速風向,最多風向,日照時間 (h),降雪合計 (cm),最深積雪 (cm)
1,0.0,0.0,0.0,2.1,4.6,0.2,3.8,9.5,西,17.6,西,西,2.0,,
2,0.0,0.0,0.0,3.5,6.1,1.4,5.5,9.5,西,20.6,西,西,8.2,,
3,0.0,0.0,0.0,2.5,7.0,-1.3,1.4,5.6,西南西,10.7,西南西,北西,3.9,,
4,0.0,0.0,0.0,1.5,6.3,-2.0,1.4,4.0,西,8.2,西,西,6.2,,
5,0.0,0.0,0.0,1.1,3.7,-3.0,2.1,4.8,西,10.6,西北西,西北西,5.6,,
6,0.0,0.0,0.0,3.4,7.3,-0.9,2.5,5.6,西北西,15.0,西,西北西,7.7,,
7,0.0,0.0,0.0,1.5,5.7,-2.9,1.8,3.4,西北西,6.1,北西,北西,5.4,,
8,25.0,3.0,1.0,2.0,5.9,0.5,1.8,3.8,西北西,7.8,西北西,西北西,0.0,,
9,10.5,2.5,0.5,4.5,6.9,1.9,0.9,2.4,西北西,5.9,北,西北西,0.0,,
10,0.0,0.0,0.0,2.5,6.4,-0.7,1.5,3.2,西北西,5.9,東,北西,3.3,,
11,0.0,0.0,0.0,4.5,9.9,0.6,1.4,3.5,西,5.8,西,西北西,4.7,,
12,0.0,0.0,0.0,2.7,7.7,-0.1,1.3,2.6,西北西,5.1,西北西,西北西,0.2,,
13,0.0,0.0,0.0,1.9,5.5,-0.3,1.7,3.6,西北西,5.8,西北西,北西,0.1,,
14,2.0,1.0,0.5,2.4,4.5,1.0,1.0,2.5,西北西,4.7,西北西,北西,0.0,,
15,1.5,1.0,0.5,2.7,5.5,0.4,1.5,3.3,西,5.9,西北西,西北西,0.0,,
16,0.0,0.0,0.0,2.5,5.3,-0.8,1.5,4.1,西,10.1,西,西,3.5,,
17,0.0,0.0,0.0,3.1,6.3,0.0,1.7,4.0,西,8.2,西北西,西北西,2.5,,
18,0.0,0.0,0.0,1.7,4.0,-0.9,1.4,3.8,西,6.9,西,西北西,1.6,,
19,0.0,0.0,0.0,4.0,7.6,1.3,1.7,3.1,西,6.1,東南東,西北西,4.0,,
20,0.0,0.0,0.0,4.3,9.0,-0.1,2.1,5.6,西,13.4,西,西南西,5.4,,
21,0.0,0.0,0.0,2.6,6.0,-0.3,2.6,7.3,西,18.2,西,西北西,7.6,,
22,0.0,0.0,0.0,1.1,8.2,-2.7,1.6,3.3,西,6.6,西,北西,2.9,,
23,0.0,0.0,0.0,4.8,9.3,-0.5,1.8,3.5,西北西,6.8,西北西,西北西,0.0,,
24,0.0,0.0,0.0,4.1,10.5,-0.2,2.7,6.6,西,13.5,西,西北西,7.3,,
25,0.0,0.0,0.0,1.2,5.8,-1.9,1.5,4.5,西,10.7,西,西北西,8.9,,
26,0.0,0.0,0.0,0.2,4.9,-3.4,1.6,4.0,南東,5.9,南東,西北西,8.1,,
27,0.0,0.0,0.0,1.6,6.5,-3.5,1.6,4.2,東南東,6.5,東南東,西北西,7.7,,
28,6.5,2.0,0.5,3.2,6.2,1.2,1.7,3.8,東,8.0,東南東,西北西,0.0,,
29,62.0,6.0,1.5,7.4,9.5,3.3,2.1,5.9,西,13.6,西,東北東,0.0,,
30,0.0,0.0,0.0,7.6,10.8,3.8,2.3,5.2,西,9.8,西南西,西北西,3.3,,
31,0.0,0.0,0.0,6.4,9.4,3.3,1.7,4.8,西南西,11.5,西南西,北西,4.7,,
