,降水量合計 (mm),最大1時間降水量 (mm),最大10分間降水量 (mm),平均気温,最高気温,最低気温,平均風速 (m/s),最大風速 (m/s),最大風向,最大瞬間風速 (m/s),最大瞬間風速風向,最多風向,日照時間 (h),降雪合計 (cm),最深積雪 (cm)
1,0.0,0.0,0.0,,,,,,,,,,,,
2,0.0,0.0,0.0,,,,,,,,,,,,
3,0.0,0.0,0.0,,,,,,,,,,,,
4,1.0,1.0,0.5,,,,,,,,,,,,
5,0.0,0.0,0.0,,,,,,,,,,,,
6,0.0,0.0,0.0,,,,,,,,,,,,
7,3.5,1.0,0.5,,,,,,,,,,,,
8,27.0,10.0,4.5,,,,,,,,,,,,
9,6.0,2.5,1.0,,,,,,,,,,,,
10,3.0,1.5,1.0,,,,,,,,,,,,
11,0.0,0.0,0.0,,,,,,,,,,,,
12,5.0,2.0,0.5,,,,,,,,,,,,
13,0.0,0.0,0.0,,,,,,,,,,,,
14,3.0,1.0,0.5,,,,,,,,,,,,
15,28.0,4.5,2.0,,,,,,,,,,,,
16,0.0,0.0,0.0,,,,,,,,,,,,
17,0.0,0.0,0.0,,,,,,,,,,,,
18,1.0,0.5,0.5,,,,,,,,,,,,
19,2.0,1.0,0.5,,,,,,,,,,,,
20,0.0,0.0,0.0,,,,,,,,,,,,
21,0.0,0.0,0.0,,,,,,,,,,,,
22,3.5,2.0,0.5,,,,,,,,,,,,
23,13.5,3.0,1.0,,,,,,,,,,,,
24,0.5,0.5,0.5,,,,,,,,,,,,
25,0.0,0.0,0.0,,,,,,,,,,,,
26,0.0,0.0,0.0,,,,,,,,,,,,
27,20.0,5.5,1.5,,,,,,,,,,,,
28,14.5,3.0,1.0,,,,,,,,,,,,
29,11.5,4.0,1.5,,,,,,,,,,,,
30,17.0,4.5,1.5,,,,,,,,,,,,
31,2.0,0.5,0.5,,,,,,,,,,,,
