,降水量合計 (mm),降水量日最大 (mm),1時間最大降水量 (mm),10分間最大降水量 (mm),日平均気温,日最高気温,日最低気温,最高気温,最低気温,平均風速 (m/s),最大風速 (m/s),最大風速風向,最大瞬間風速 (m/s),最大瞬間風速風向,日照時間 (h),降雪の合計 (cm),日降雪の最大 (cm),最深積雪 (cm)
1,83.0,28.0,11.0,3.5,6.0,11.0,2.0,15.0,-2.0,0.9,6.4,南西,14.9,南南西,98.2,,,
2,60.0,20.5,5.0,1.5,5.7,11.4,0.9,18.1,-3.3,1.0 ),5.3 ),西南西,12.3 ),北,132.4 ),,,
3,157.0,46.0,7.5,2.0,9.1 ),15.3 ),3.6 ),19.5 ),-1.6 ),1.2,5.6,南西,11.9,南西,171.9,,,
4,166.5,38.5,14.5,3.5,11.2,17.5,5.0,23.6,0.5,1.5,6.3,南西,14.2,北東,213.4,,,
5,130.0,36.5,12.5,4.5,18.6,24.6,13.3,28.4,7.7,1.3,5.4,南南西,11.2,南南西,203.9,,,
6,312.5,106.0,18.0,7.0,22.7,27.5,18.3,32.6,15.0,1.2,5.4,南,9.7,南南西,168.2,,,
7,718.0,146.5,24.5,8.5,23.8,27.4,21.1,32.7,15.8,1.1,5.3,南,15.7,南西,71.5,,,
8,4.5,4.5,4.5,3.5,28.0,34.1,23.4,38.1,21.3,1.4,6.1,南西,11.7,南南西,241.0,,,
9,222.0,69.5,36.0,15.0,22.9,28.2,18.7,34.7,12.1,1.4,9.2,南南西,20.5,南,148.1,,,
10,91.0,58.5,9.0,3.0,16.4,22.5,11.6,27.1,4.5,1.1,4.2,北東,12.1,北北西,188.3,,,
11,29.0,12.0,4.5,1.5,11.5 ),17.9 ),6.3 ),24.0 ],1.6 ),0.9 ),5.7 ],南西,11.7 ],南西,157.5 ),,,
12,50.0,17.0,9.0,3.0,4.8,10.4,0.4,15.6,-3.6,0.8 ),4.9 ),南西,13.2 ),西南西,110.3,,,
