,降水量合計 (mm),最大1時間降水量 (mm),最大10分間降水量 (mm),平均気温,最高気温,最低気温,平均風速 (m/s),最大風速 (m/s),最大風向,最大瞬間風速 (m/s),最大瞬間風速風向,最多風向,日照時間 (h),降雪合計 (cm),最深積雪 (cm)
1,0.0,0.0,0.0,3.0,9.0,-1.3,0.6,3.4,南西,7.2,南西,北北西,5.2,,
2,0.0,0.0,0.0,4.2,11.3,-1.3,0.7,3.2,南,5.4,南,北北東,5.7,,
3,0.0,0.0,0.0,6.5,13.3,1.9,0.9,3.5,南南西,6.1,西北西,南南西,8.0,,
4,0.0,0.0,0.0,5.6,12.8,-0.6,1.1,4.2,西北西,9.4,北西,南南西,7.7,,
5,0.0,0.0,0.0,5.1,11.2,0.7,1.0,3.8,北東,7.8,北東,北東,3.4,,
6,0.0,0.0,0.0,4.1,9.0,-1.4,0.5,2.0,東,4.0,東,西南西,1.2,,
7,2.5,1.5,0.5,6.7,8.1,5.3,0.2,1.0,南南西,2.2,南南西,西,0.0,,
8,17.0,11.0,3.5,10.5,14.2,6.4,2.2,6.4,南西,14.9,南南西,南西,0.7,,
9,0.0,0.0,0.0,8.3,13.7,4.2,1.1,4.2,西北西,7.9,西北西,北北東,5.4,,
10,0.0,0.0,0.0,5.7,12.2,0.9,0.9,3.5,北東,6.4,北東,北,6.5,,
11,0.0,0.0,0.0,5.8,13.0,0.7,0.8,3.4,南西,6.6,西南西,南西,6.7,,
12,0.0,0.0,0.0,6.3,9.4,3.6,0.5,1.8,北東,4.4,北東,西南西,0.0,,
13,0.5,0.5,0.5,5.1,10.2,1.2,0.8,2.9,北北西,6.8,西南西,北北西,3.9,,
14,1.5,1.0,0.5,3.9,8.1,-0.1,0.6,2.8,南西,5.6,南西,南西,0.2,,
15,0.0,0.0,0.0,3.4,9.4,-1.0,0.7,3.0,北北西,8.4,西,北,4.6,,
16,0.0,0.0,0.0,2.7,9.0,-1.8,0.5,2.2,南西,3.7,西南西,西北西,1.0,,
17,0.0,0.0,0.0,6.2,11.9,1.5,1.0,2.9,東,5.8,北北東,東北東,4.5,,
18,0.0,0.0,0.0,5.1,12.5,-0.2,1.2,4.1,北東,7.8,北東,北東,8.2,,
19,0.0,0.0,0.0,3.6,9.5,-2.0,0.7,3.2,南南西,6.2,南,南西,1.4,,
20,0.0,0.0,0.0,6.1,10.2,2.6,0.7,3.1,西北西,6.4,西北西,西北西,1.6,,
21,0.0,0.0,0.0,5.9,11.2,0.4,1.1,3.9,北北東,8.7,北東,北東,5.7,,
22,6.5,1.5,0.5,4.5,8.0,0.0,0.4,1.6,北東,3.5,北東,西南西,0.6,,
23,19.5,5.5,1.5,9.4,12.9,6.4,0.7,3.7,北東,6.7,北東,南西,0.0,,
24,0.0,0.0,0.0,10.3,15.0,7.3,1.1,3.4,北東,7.2,北東,北東,0.8,,
25,1.0,1.0,0.5,7.3,10.2,3.8,1.0,3.2,北東,6.0,北東,北東,1.6,,
26,1.0,1.0,0.5,8.6,13.5,5.1,1.1,3.2,東,6.2,東,北北東,3.7,,
27,28.0,6.0,2.0,7.6,9.3,5.7,2.5,5.2,北北東,11.5,北東,北東,0.0,,
28,5.5,2.0,1.0,8.6,11.8,6.7,0.4,3.1,北東,5.9,北東,南,0.3,,
29,0.0,0.0,0.0,7.4,12.2,3.4,0.9,4.1,北,7.5,西,北東,3.7,,
30,0.0,0.0,0.0,5.4,10.6,1.3,1.1,3.4,北西,7.7,北東,北,2.7,,
31,0.0,0.0,0.0,4.2,7.7,1.2,1.2,5.3,北東,9.5,東北東,北北東,3.2,,
