,降水量合計 (mm),降水量日最大 (mm),1時間最大降水量 (mm),10分間最大降水量 (mm),日平均気温,日最高気温,日最低気温,最高気温,最低気温,平均風速 (m/s),最大風速 (m/s),最大風速風向,最大瞬間風速 (m/s),最大瞬間風速風向,日照時間 (h),降雪の合計 (cm),日降雪の最大 (cm),最深積雪 (cm)
1,229.5,56.5,8.0,4.0,,,,,,,,,,,,17.0,8.0,8.0
2,169.0,34.0,10.0,3.0,,,,,,,,,,,,83.0,35.0,46.0
3,239.5,59.0,9.0,6.5,,,,,,,,,,,,36.0,20.0,25.0
4,215.5,56.0,6.5,2.5,,,,,,,,,,,,17.0,14.0,16.0
5,82.5,26.0,7.5,4.0,,,,,,,,,,,,0.0,0.0,0.0
6,411.0,119.5,31.5,10.5,,,,,,,,,,,,0.0,0.0,0.0
7,622.0,101.5,29.0,11.5,,,,,,,,,,,,0.0,0.0,0.0
8,20.0,8.0,8.0,6.5,,,,,,,,,,,,0.0,0.0,0.0
9,318.0,75.0,21.0,10.0,,,,,,,,,,,,0.0,0.0,0.0
10,91.0,61.5,5.5,2.0,,,,,,,,,,,,0.0,0.0,0.0
11,71.5,21.0,4.5,2.5,,,,,,,,,,,,0.0,0.0,0.0
12,138.5,42.0,5.5,2.0,,,,,,,,,,,,96.0,24.0,39.0
