,降水量合計 (mm),最大1時間降水量 (mm),最大10分間降水量 (mm),平均気温,最高気温,最低気温,平均風速 (m/s),最大風速 (m/s),最大風向,最大瞬間風速 (m/s),最大瞬間風速風向,最多風向,日照時間 (h),降雪合計 (cm),最深積雪 (cm)
1,0.0,0.0,0.0,2.6,8.3,-0.5,1.1,3.6,南西,7.0,西南西,南東,4.1,,
2,0.0,0.0,0.0,4.1,13.0,-1.0,0.9,4.1,南西,7.4,西南西,南南西,4.8,,
3,0.0,0.0,0.0,6.1,12.6,2.0,1.3,5.2,西南西,9.7,西,東南東,6.3,,
4,0.0,0.0,0.0,5.3,13.0,-0.2,1.4,5.6,西南西,10.8,北北西,北西,6.4,,
5,0.5,0.5,0.5,4.4,11.8,-0.6,0.9,2.6,北西,6.6,北西,北北西,3.8,,
6,0.5,0.5,0.5,2.2,6.6,-2.5,0.5,2.5,西南西,4.5,西,西北西,0.5,,
7,7.0,2.5,1.0,6.1,13.8,3.9,0.5,2.4,南南西,7.4,南南東,東南東,0.0,,
8,23.0,10.0,2.5,9.6,14.0,5.8,2.2,8.0,西南西,19.2,西南西,西,0.8,,
9,1.0,0.5,0.5,7.3,12.4,4.7,1.1,4.5,南西,10.0,西南西,西北西,4.4,,
10,1.5,1.5,0.5,4.7,12.1,-0.3,0.7,3.1,東南東,4.7,西,北西,5.0,,
11,0.0,0.0,0.0,4.4,13.3,-0.4,0.7,2.8,西南西,7.4,西南西,北西,5.5,,
12,1.0,0.5,0.5,4.3,7.7,2.5,0.4,1.5,北東,2.6,東北東,北北東,0.1,,
13,4.0,1.5,0.5,3.7,8.2,0.9,0.8,2.9,南西,6.2,北西,東北東,2.1,,
14,4.0,2.5,1.0,3.1,8.7,0.6,0.6,2.8,南南東,5.0,南,北北西,0.9,,
15,0.5,0.5,0.5,2.4,8.3,-1.7,0.8,3.3,北西,7.0,北北西,北西,5.6,,
16,0.0,0.0,0.0,1.6,8.5,-2.0,0.6,1.9,北東,3.2,北北西,北西,0.6,,
17,0.0,0.0,0.0,4.3,12.4,-0.5,0.6,2.2,西北西,5.6,西北西,西北西,4.4,,
18,0.0,0.0,0.0,3.6,13.6,-1.1,0.8,4.0,東南東,7.5,東南東,西北西,7.2,,
19,0.0,0.0,0.0,2.6,9.8,-2.9,0.6,1.9,西北西,5.4,西北西,北西,0.7,,
20,0.0,0.0,0.0,4.9,9.5,2.6,0.9,2.6,西南西,6.6,北北西,東南東,0.7,,
21,0.0,0.0,0.0,4.9,11.7,-1.0,1.0,2.5,東北東,6.7,北,西,5.0,,
22,7.5,2.0,0.5,2.4,5.3,-1.4,0.3,1.2,西南西,2.3,西南西,北北西,0.1,,
23,20.0,6.0,1.5,8.4,13.4,4.3,0.5,2.4,西南西,3.8,西南西,北北西,0.8,,
24,0.0,0.0,0.0,9.0,14.7,5.7,0.8,3.0,東北東,5.0,北,西北西,0.2,,
25,0.5,0.5,0.5,6.1,11.5,2.8,0.7,2.1,南,3.7,南南東,南,1.6,,
26,0.5,1.0,0.5,7.1,13.9,3.9,0.7,2.8,東北東,3.8,南,南,3.6,,
27,43.0,6.5,2.0,5.6,7.0,4.2,1.0,2.7,南東,7.0,東南東,南南西,0.0,,
28,5.5,3.0,1.0,7.9,11.8,5.8,0.4,1.6,南東,4.3,南西,南東,0.3,,
29,3.5,1.0,0.5,6.6,11.2,3.2,0.9,2.7,北西,8.7,北西,西北西,2.6,,
30,3.0,1.5,1.0,4.2,9.6,1.9,1.1,2.9,東南東,7.0,北,東北東,1.6,,
31,0.5,0.5,0.5,3.3,8.8,1.6,1.5,3.8,北西,9.7,北北西,東北東,4.5,,
