,降水量合計 (mm),最大1時間降水量 (mm),最大10分間降水量 (mm),平均気温,最高気温,最低気温,平均風速 (m/s),最大風速 (m/s),最大風向,最大瞬間風速 (m/s),最大瞬間風速風向,最多風向,日照時間 (h),降雪合計 (cm),最深積雪 (cm)
1,0.0,0.0,0.0,1.3,5.2,-1.5,1.0,3.6,西,7.4,南西,西北西,3.0,0.0,0.0
2,0.0,0.0,0.0,2.8,9.0,-3.3,0.9,3.6,西北西,5.7,西北西,東,3.5,0.0,0.0
3,0.0,0.0,0.0,5.8,9.9,2.3,1.3,3.6,西,8.8,西,西,3.7,0.0,0.0
4,0.0,0.0,0.0,4.4,9.6,-1.1,2.6,7.5,北西,14.0,北北西,西北西,6.6,0.0,0.0
5,0.5,0.5,0.5,2.4,7.5,-3.8,1.4,4.5,北西,9.2,西北西,北北東,2.5,0.0,0.0
6,0.0,0.0,0.0,1.6,7.4,-5.9,0.7,3.2,東,4.7,東,東南東,2.2,0.0,0.0
7,5.0,2.0,0.5,7.4,13.4,3.4,1.5,4.2,南南東,11.8,南,東南東,0.0,0.0,0.0
8,23.5,8.5,2.5,9.0,13.4,5.8,4.3,8.7,北西,17.7,西,西北西,3.2,0.0,0.0
9,3.5,1.5,0.5,6.2,9.6,4.0,1.9,4.9,西,9.2,西,西,3.1,0.0,0.0
10,2.5,1.5,0.5,3.1,8.7,-2.9,1.4,3.8,西北西,6.9,西北西,西北西,4.5,0.0,0.0
11,0.0,0.0,0.0,2.3,11.2,-3.2,0.8,3.6,西北西,6.2,西北西,西北西,5.0,0.0,0.0
12,2.0,1.0,0.5,3.0,6.0,0.3,0.7,2.4,北西,4.6,北西,南南東,0.0,0.0,0.0
13,0.5,0.5,0.5,2.0,5.5,-1.5,1.1,3.3,西北西,8.4,北西,東南東,3.0,0.0,0.0
14,1.5,1.0,0.5,1.8,6.2,-2.0,0.8,2.7,北西,4.5,北北東,東北東,0.9,0.0,0.0
15,5.0,1.5,0.5,0.3,3.4,-3.3,0.8 ],2.8 ],西北西 ],4.4 ],西 ],西 ],0.1,0.0,0.0
16,0.0,0.0,0.0,-0.3,6.1,-4.2,0.6,2.5,北北西,4.3,西北西,西北西,1.6,0.0,0.0
17,0.0,0.0,0.0,2.7,8.3,-2.3,0.9,3.4,北北西,5.6,北西,北,4.6,0.0,0.0
18,0.0,0.0,0.0,1.6,9.0,-3.8,1.0,3.9,北北西,7.1,北北西,西北西,8.3,0.0,0.0
19,0.5,0.5,0.5,1.8,8.3,-5.1,0.7,2.7,西,6.2,西北西,西,1.3,0.0,0.0
20,0.0,0.0,0.0,4.0,6.5,2.2,1.0,3.4,西,7.1,西北西,西南西,0.7,0.0,0.0
21,0.0,0.0,0.0,3.2,8.1,-3.9,2.0,4.8,西北西,9.9,北西,北西,4.2,0.0,0.0
22,5.5,2.0,0.5,2.6,7.6,-4.3,0.7,3.2,東,5.4,東,東南東,0.2,0.0,0.0
23,15.5,5.0,1.0,8.4,14.4,4.6,0.8,3.3,西北西,5.5,北西,南東,0.8,0.0,0.0
24,0.0,0.0,0.0,7.7,10.1,5.1,1.3,3.9,北北西,6.4,北北西,北北東,0.0,0.0,0.0
25,0.0,0.0,0.0,4.4,7.1,-0.3,1.0,2.6,東,4.3,東南東,南南東,1.6,0.0,0.0
26,0.0,0.0,0.0,5.9,11.3,2.3,1.0,3.2,北北西,5.6,北,北,4.3,0.0,0.0
27,29.0,5.0,1.0,5.0,6.1,3.4,2.2,5.5,東,12.9,東,東南東,0.0,0.0,0.0
28,7.0,3.0,1.0,7.0,9.4,4.8,1.4,3.9,西北西,7.5,北西,西北西,0.0,0.0,0.0
29,8.0,2.0,0.5,5.8,8.5,3.0,2.5,4.6,西北西,8.2,西北西,西北西,1.8,0.0,0.0
30,3.5,2.5,1.0,3.7,7.1,1.4,2.6,4.7,西北西,10.3,西北西,西北西,1.9,0.0,0.0
31,2.5,0.5,0.5,1.9,3.7,0.2,3.0,5.6,北西,12.9,北西,北西,3.0,0.0,0.0
