,降水量合計 (mm),最大1時間降水量 (mm),最大10分間降水量 (mm),平均気温,最高気温,最低気温,平均風速 (m/s),最大風速 (m/s),最大風向,最大瞬間風速 (m/s),最大瞬間風速風向,最多風向,日照時間 (h),降雪合計 (cm),最深積雪 (cm)
1,0.0,0.0,0.0,1.8,6.2,-1.9,0.9,4.3,西,8.7,西北西,西北西,0.6,,
2,0.0,0.0,0.0,3.6,9.4,-1.4,0.8,3.5,西北西,7.2,西北西,南南東,3.5,,
3,0.0,0.0,0.0,5.0,10.8,0.0,1.2,5.3,西北西,8.3,西北西,北西,3.9,,
4,0.5,0.5,0.5,3.1,10.9,-2.3,1.8,6.3,西北西,12.1,北北西,西北西,4.5,,
5,1.5,1.5,1.0,2.8,9.3,-1.9,1.1,4.5,北北西,8.0,北,北,4.1,,
6,0.0,0.0,0.0,1.8,8.8,-3.7,0.5,1.5,北西,3.5,北西,北,2.8,,
7,4.5,1.5,0.5,5.0,7.4,3.5,0.4,1.4,北,2.1,東北東,南,0.0,,
8,12.5,7.0,3.0,7.7,11.8,4.1,2.8,7.3,西北西,15.4,西北西,西北西,0.4,,
9,1.5,0.5,0.5,5.0,10.1,1.8,1.3,5.2,西北西,10.9,西,北西,2.8,,
10,0.0,0.0,0.0,3.2,11.6,-1.4,1.1,4.9,北北西,8.8,北,西北西,7.7,,
11,0.0,0.0,0.0,2.8,12.8,-2.2,0.8,3.4,北西,7.7,南南西,北西,7.2,,
12,0.5,0.5,0.5,3.5,7.1,0.9,0.7,2.3,南,4.0,南西,南南西,0.0,,
13,0.0,0.0,0.0,2.4,6.7,-0.3,1.3,4.7,西北西,10.6,北西,西北西,2.9,,
14,2.0,1.0,0.5,2.4,6.7,-0.8,0.8,2.8,西北西,4.3,西,南南西,0.7,,
15,0.5,0.5,0.5,2.0,7.5,-1.0,1.2 ),4.1 ),西北西 ),7.5 ),西北西 ),西北西 ),2.3,,
16,0.0,0.0,0.0,1.3,7.4,-1.3,0.6,2.3,西北西,4.2,西北西,南西,2.8,,
17,0.0,0.0,0.0,3.1,9.7,-1.4,0.6,2.4,北北西,3.8,北北西,北北東,3.0,,
18,0.0,0.0,0.0,2.9,10.5,-2.2,1.2,3.9,北,9.0,北,北東,6.9,,
19,0.0,0.0,0.0,2.0,7.7,-3.0,0.7,2.5,西北西,4.6,西,西北西,2.3,,
20,0.0,0.0,0.0,3.5,7.7,0.6,1.2,4.6,西北西,8.9,西,西北西,0.7,,
21,0.0,0.0,0.0,3.2,10.3,-1.8,1.1,4.7,北北西,8.0,北北西,北東,5.3,,
22,6.0,2.5,1.0,2.5,7.6,-2.9,0.4,2.0,東北東,4.3,東,西北西,0.4,,
23,18.0,5.0,1.0,7.9,11.3,4.9,0.7,1.9,西,3.6,西,西北西,0.0,,
24,0.0,0.0,0.0,7.9,12.4,5.0,1.3,4.1,北,8.2,北,北東,1.1,,
25,0.0,0.0,0.0,5.5,9.0,1.1,1.2,3.1,北北東,7.2,北東,北東,2.2,,
26,0.0,0.0,0.0,7.2,13.7,2.6,1.2,3.1,北北東,8.2,北東,北東,4.5,,
27,12.5,3.5,1.0,5.8,7.4,3.4,2.8,5.5,東北東,15.1,東北東,東北東,0.0,,
28,3.5,1.5,0.5,7.0,9.4,5.4,0.8,4.4,東北東,10.8,東北東,南南西,0.0,,
29,0.5,0.5,0.5,5.9,11.3,0.8,1.5,4.7,西北西,11.1,北,北西,6.4,,
30,0.0,0.0,0.0,2.8,9.1,-0.2,1.4,6.3,北北西,10.9,北,北西,3.8,,
31,0.5,0.5,0.5,1.9,6.3,-1.8,2.1,6.5,北北西,12.6,北,北北西,4.0,,
