,降水量合計 (mm),降水量日最大 (mm),1時間最大降水量 (mm),10分間最大降水量 (mm),日平均気温,日最高気温,日最低気温,最高気温,最低気温,平均風速 (m/s),最大風速 (m/s),最大風速風向,最大瞬間風速 (m/s),最大瞬間風速風向,日照時間 (h),降雪の合計 (cm),日降雪の最大 (cm),最深積雪 (cm)
1,65.0,22.0,7.5,3.0,,,,,,,,,,,,,,
2,73.0,20.5,6.0,1.5,,,,,,,,,,,,,,
3,127.0,28.5,5.0,2.0,,,,,,,,,,,,,,
4,168.0,54.0,10.5,3.0,,,,,,,,,,,,,,
5,128.0,39.0,10.5,6.0,,,,,,,,,,,,,,
6,288.5,81.0,19.5,7.0,,,,,,,,,,,,,,
7,427.0,78.5,25.0,6.5,,,,,,,,,,,,,,
8,40.0,27.5,15.0,8.5,,,,,,,,,,,,,,
9,137.5,30.5,21.0,6.5,,,,,,,,,,,,,,
10,99.5,65.5,14.0,4.5,,,,,,,,,,,,,,
11,22.5,12.0,2.0,1.0,,,,,,,,,,,,,,
12,47.0,17.0,5.0,1.5,,,,,,,,,,,,,,
