,降水量合計 (mm),最大1時間降水量 (mm),最大10分間降水量 (mm),平均気温,最高気温,最低気温,平均風速 (m/s),最大風速 (m/s),最大風向,最大瞬間風速 (m/s),最大瞬間風速風向,最多風向,日照時間 (h),降雪合計 (cm),最深積雪 (cm)
1,0.0,0.0,0.0,1.5,8.2,-3.1,1.1,4.9,西南西,8.0,北西,西,8.9,,
2,0.0,0.0,0.0,2.6,10.6,-3.6,0.9,3.8,南西,7.2,西,西南西,7.3,,
3,0.0,0.0,0.0,4.4,11.4,-0.7,1.2,4.2,西南西,6.8,南西,西南西,8.1,,
4,0.0,0.0,0.0,4.6,11.4,-2.5,2.0,6.7,西北西,15.5,西,西北西,8.9,,
5,0.0,0.0,0.0,4.0,9.5,-1.4,1.7,5.5,北,9.9,北,北北西,6.2,,
6,0.0,0.0,0.0,2.9,8.2,-3.3,0.8,2.4,西北西,4.3,東南東,西南西,2.9,,
7,2.5,1.5,0.5,6.0,7.2,4.5,1.1,2.6,東北東,3.8,東,東,0.0,,
8,19.0,13.5,6.5,10.1,13.5,6.4,5.4,12.2,西南西,22.9,西,西南西,2.1,,
9,0.0,0.0,0.0,7.7,12.3,3.1,2.2,5.9,北西,9.3,北西,西南西,4.7,,
10,0.0,0.0,0.0,4.9,10.7,-1.1,1.6,5.4,北東,8.0,北北西,北,7.9,,
11,0.0,0.0,0.0,4.6,12.1,-1.3,0.8,3.0,西,6.0,西,西北西,7.4,,
12,0.0,0.0,0.0,5.7,8.8,2.6,1.3,4.3,西,7.2,西,西,0.0,,
13,0.0,0.0,0.0,4.4,9.0,-0.4,2.6,6.6,南西,11.8,北西,西北西,6.5,,
14,0.5,0.5,0.5,2.0,7.4,-2.8,0.9,3.6,南南西,6.8,南西,西南西,0.2,,
15,0.0,0.0,0.0,2.8,8.2,-2.2,2.1,5.8,西,11.8,西北西,西,7.1,,
16,0.0,0.0,0.0,1.3,7.9,-3.8,0.8,3.1,北西,4.9,北西,西北西,1.9,,
17,0.0,0.0,0.0,4.5,9.9,-0.3,1.2,4.2,北,6.3,北,西北西,3.0,,
18,0.0,0.0,0.0,3.9,11.4,-1.9,1.8,5.6,北東,8.2,東北東,北北東,9.0,,
19,0.0,0.0,0.0,2.5,8.4,-3.9,1.5,4.7,南西,7.9,西南西,西南西,3.2,,
20,0.0,0.0,0.0,5.4,9.6,1.1,2.3,6.1,西南西,11.6,南西,西南西,4.7,,
21,0.0,0.0,0.0,4.3,10.0,-1.7,1.8,5.4,北,8.5,北西,北,6.8,,
22,8.0,2.5,1.0,3.4,7.7,-2.2,0.8,2.8,東北東,3.8,東北東,東北東,0.3,,
23,23.5,6.5,1.5,8.6,12.3,4.8,0.8,2.1,南東,3.4,西南西,東北東,0.0,,
24,0.0,0.0,0.0,9.0,13.4,6.0,2.0,5.4,北東,7.8,北東,北東,0.1,,
25,1.5,1.0,0.5,5.8,7.4,4.2,2.5,5.6,東,7.4,東,東北東,0.8,,
26,2.0,2.0,0.5,6.8,11.5,3.5,1.8,4.7,東北東,7.6,東南東,東北東,4.1,,
27,18.5,6.0,1.5,6.4,7.8,4.2,5.7,10.8,東北東,16.6,北東,東北東,0.0,,
28,2.0,0.5,0.5,7.9,10.6,5.9,0.9,5.4,東,9.5,東,南,0.1,,
29,0.0,0.0,0.0,7.5,11.3,2.4,2.7,6.4,北北西,13.0,北西,北北西,5.3,,
30,0.0,0.0,0.0,4.8,9.1,0.1,2.6,5.9,北,9.2,北,北北西,4.6,,
31,0.0,0.0,0.0,3.5,5.9,1.8,3.0,7.3,北西,12.6,北北西,北北西,2.5,,
