,降水量合計 (mm),降水量日最大 (mm),1時間最大降水量 (mm),10分間最大降水量 (mm),日平均気温,日最高気温,日最低気温,最高気温,最低気温,平均風速 (m/s),最大風速 (m/s),最大風速風向,最大瞬間風速 (m/s),最大瞬間風速風向,日照時間 (h),降雪の合計 (cm),日降雪の最大 (cm),最深積雪 (cm)
1,72.5,26.5,10.5,4.0,7.9,11.3,4.5,15.5,0.6,3.4,16.0,西南西,21.6,西南西,128.2,,,
2,46.0,9.0,4.5,2.0,7.3,11.0,3.4,15.5,-0.5,3.4,15.7,西南西,20.9,西南西,164.7,,,
3,89.0,17.5,5.0,2.0,10.0,13.7,5.9,18.9,1.4,3.3,15.2,西,21.3,西,183.2,,,
4,138.5,51.0,8.5,2.5,11.9,16.0,7.6,20.2,3.4,3.4,11.1,南西,17.1,西北西,235.3,,,
5,101.5,26.5,9.5,3.5,17.7,21.4,14.5,25.2,10.8,2.3,13.5,南西,17.5,南西,219.4,,,
6,209.0,68.5,18.0,6.5,21.5,24.7,18.9,27.6,16.1,2.2,11.0,西南西,14.2,西南西,177.1,,,
7,438.5,90.5,23.0,8.0,23.3,25.9,21.4,30.4,17.0,2.0,11.2,西南西,15.2,西,100.6,,,
8,0.5,0.5,0.5,0.5,27.2,31.0,24.5,33.4,22.6,1.8,10.0,西南西,12.1,南西,295.3,,,
9,141.0,40.0,13.5,9.0,24.0,28.0,20.9,33.1,15.5,3.1,13.0,南南西,17.0,南南西,160.3,,,
10,84.5,43.0,7.0,2.0,17.9,22.0,14.1,27.0,8.1,3.2,8.9,西南西,12.2,南西,199.6,,,
11,50.5,38.5,6.5,1.5,13.6,17.7,9.5,22.4,4.9,3.4,10.4,西,13.5,西南西,185.0,,,
12,37.0,20.5,6.5,1.5,7.7,11.7,3.8,16.0,-1.4,3.9,12.7,西北西,20.1,西北西,176.4,,,
