,降水量合計 (mm),降水量日最大 (mm),1時間最大降水量 (mm),10分間最大降水量 (mm),日平均気温,日最高気温,日最低気温,最高気温,最低気温,平均風速 (m/s),最大風速 (m/s),最大風速風向,最大瞬間風速 (m/s),最大瞬間風速風向,日照時間 (h),降雪の合計 (cm),日降雪の最大 (cm),最深積雪 (cm)
1,82.5,23.5,8.0,3.0,,,,,,,,,,,,,,
2,67.0,17.0,4.5,1.5,,,,,,,,,,,,,,
3,134.0,27.5,7.5,4.5,,,,,,,,,,,,,,
4,159.5,46.0,9.0,2.5,,,,,,,,,,,,,,
5,88.0,24.0,7.5,3.0,,,,,,,,,,,,,,
6,299.0,88.5,22.5,9.0,,,,,,,,,,,,,,
7,610.5,103.0,30.5,11.0,,,,,,,,,,,,,,
8,40.0,34.0,33.5,13.0,,,,,,,,,,,,,,
9,199.5,53.0,24.0,17.0,,,,,,,,,,,,,,
10,87.0,52.0,7.5,3.0,,,,,,,,,,,,,,
11,27.0,12.0,3.0,1.0,,,,,,,,,,,,,,
12,66.5,12.0,7.5,1.5,,,,,,,,,,,,,,
